asset_family,source_id,case_label,domain_name,fit_use_status,exclusion_reason_primary
feature_keff,val_salt_test_2_coarse_mesh_laminar,Salt 2 Val,corner_lower_left,excluded,nonpositive_local_feature_proxy_excess
feature_keff,val_salt_test_2_coarse_mesh_laminar,Salt 2 Val,corner_lower_right,excluded,nonpositive_local_feature_proxy_excess
feature_keff,val_salt_test_2_coarse_mesh_laminar,Salt 2 Val,corner_upper_left,excluded,nonpositive_local_feature_proxy_excess
feature_keff,val_salt_test_2_coarse_mesh_laminar,Salt 2 Val,corner_upper_right,sensitivity_only,missing_full_path_density_integral
feature_keff,val_salt_test_2_coarse_mesh_laminar,Salt 2 Val,test_section_complex,sensitivity_only,missing_full_path_density_integral
feature_keff,viscosity_screening_salt_test_1_jin_coarse_mesh,Salt 1 Jin,corner_lower_left,excluded,nonpositive_local_feature_proxy_excess
feature_keff,viscosity_screening_salt_test_1_jin_coarse_mesh,Salt 1 Jin,corner_lower_right,excluded,nonpositive_local_feature_proxy_excess
feature_keff,viscosity_screening_salt_test_1_jin_coarse_mesh,Salt 1 Jin,corner_upper_left,sensitivity_only,missing_full_path_density_integral
feature_keff,viscosity_screening_salt_test_1_jin_coarse_mesh,Salt 1 Jin,corner_upper_right,sensitivity_only,missing_full_path_density_integral
feature_keff,viscosity_screening_salt_test_1_jin_coarse_mesh,Salt 1 Jin,test_section_complex,excluded,nonpositive_local_feature_proxy_excess
feature_keff,viscosity_screening_salt_test_1_kirst_coarse_mesh,Salt 1 Kirst,corner_lower_left,excluded,nonpositive_local_feature_proxy_excess
feature_keff,viscosity_screening_salt_test_1_kirst_coarse_mesh,Salt 1 Kirst,corner_lower_right,excluded,nonpositive_local_feature_proxy_excess
feature_keff,viscosity_screening_salt_test_1_kirst_coarse_mesh,Salt 1 Kirst,corner_upper_left,sensitivity_only,missing_full_path_density_integral
feature_keff,viscosity_screening_salt_test_1_kirst_coarse_mesh,Salt 1 Kirst,corner_upper_right,sensitivity_only,missing_full_path_density_integral
feature_keff,viscosity_screening_salt_test_1_kirst_coarse_mesh,Salt 1 Kirst,test_section_complex,excluded,nonpositive_local_feature_proxy_excess
feature_keff,viscosity_screening_salt_test_2_jin_coarse_mesh,Salt 2 Jin,corner_lower_left,excluded,nonpositive_local_feature_proxy_excess
feature_keff,viscosity_screening_salt_test_2_jin_coarse_mesh,Salt 2 Jin,corner_lower_right,excluded,nonpositive_local_feature_proxy_excess
feature_keff,viscosity_screening_salt_test_2_jin_coarse_mesh,Salt 2 Jin,corner_upper_left,sensitivity_only,missing_full_path_density_integral
feature_keff,viscosity_screening_salt_test_2_jin_coarse_mesh,Salt 2 Jin,corner_upper_right,sensitivity_only,missing_full_path_density_integral
feature_keff,viscosity_screening_salt_test_2_jin_coarse_mesh,Salt 2 Jin,test_section_complex,sensitivity_only,missing_full_path_density_integral
feature_keff,viscosity_screening_salt_test_2_kirst_coarse_mesh,Salt 2 Kirst,corner_lower_left,excluded,nonpositive_local_feature_proxy_excess
feature_keff,viscosity_screening_salt_test_2_kirst_coarse_mesh,Salt 2 Kirst,corner_lower_right,excluded,nonpositive_local_feature_proxy_excess
feature_keff,viscosity_screening_salt_test_2_kirst_coarse_mesh,Salt 2 Kirst,corner_upper_left,sensitivity_only,missing_full_path_density_integral
feature_keff,viscosity_screening_salt_test_2_kirst_coarse_mesh,Salt 2 Kirst,corner_upper_right,sensitivity_only,missing_full_path_density_integral
feature_keff,viscosity_screening_salt_test_2_kirst_coarse_mesh,Salt 2 Kirst,test_section_complex,sensitivity_only,missing_full_path_density_integral
feature_keff,viscosity_screening_salt_test_3_jin_coarse_mesh,Salt 3 Jin,corner_lower_left,excluded,nonpositive_local_feature_proxy_excess
feature_keff,viscosity_screening_salt_test_3_jin_coarse_mesh,Salt 3 Jin,corner_lower_right,excluded,nonpositive_local_feature_proxy_excess
feature_keff,viscosity_screening_salt_test_3_jin_coarse_mesh,Salt 3 Jin,corner_upper_left,excluded,nonpositive_local_feature_proxy_excess
feature_keff,viscosity_screening_salt_test_3_jin_coarse_mesh,Salt 3 Jin,corner_upper_right,sensitivity_only,missing_full_path_density_integral
feature_keff,viscosity_screening_salt_test_3_jin_coarse_mesh,Salt 3 Jin,test_section_complex,sensitivity_only,missing_full_path_density_integral
feature_keff,viscosity_screening_salt_test_3_kirst_coarse_mesh,Salt 3 Kirst,corner_lower_left,excluded,nonpositive_local_feature_proxy_excess
feature_keff,viscosity_screening_salt_test_3_kirst_coarse_mesh,Salt 3 Kirst,corner_lower_right,excluded,nonpositive_local_feature_proxy_excess
feature_keff,viscosity_screening_salt_test_3_kirst_coarse_mesh,Salt 3 Kirst,corner_upper_left,sensitivity_only,missing_full_path_density_integral
feature_keff,viscosity_screening_salt_test_3_kirst_coarse_mesh,Salt 3 Kirst,corner_upper_right,sensitivity_only,missing_full_path_density_integral
feature_keff,viscosity_screening_salt_test_3_kirst_coarse_mesh,Salt 3 Kirst,test_section_complex,sensitivity_only,missing_full_path_density_integral
feature_keff,viscosity_screening_salt_test_4_jin_coarse_mesh,Salt 4 Jin,corner_lower_left,excluded,nonpositive_local_feature_proxy_excess
feature_keff,viscosity_screening_salt_test_4_jin_coarse_mesh,Salt 4 Jin,corner_lower_right,excluded,nonpositive_local_feature_proxy_excess
feature_keff,viscosity_screening_salt_test_4_jin_coarse_mesh,Salt 4 Jin,corner_upper_left,excluded,nonpositive_local_feature_proxy_excess
