uq_row_id,source_family,case_key,qoi_name,blocking_status,neighboring_window_status,mesh_or_gci_status,next_action,source_paths
SQ-UQ-PCBR-001,pressure_corner_basis_recovery,salt2_mainline,corner_lower_right::lower_leg__s04->right_leg__s00::available_residual,fail_missing_same_qoi_UQ,blocked_missing_neighbor_window,blocked_missing_same_qoi_GCI,same-QOI mesh/time family plus low-reverse anchor or recirculation scorecard before any coefficient use,work_products/2026-07/2026-07-18/2026-07-18_two_tap_pressure_basis_recirc_audit/pressure_velocity_basis_audit.csv;work_products/2026-07/2026-07-18/2026-07-18_two_tap_pressure_basis_recirc_audit/endpoint_recirculation_metrics.csv;work_products/2026-07/2026-07-18/2026-07-18_two_tap_component_isolation_decision/component_isolation_audit.csv;work_products/2026-07/2026-07-18/2026-07-18_two_tap_same_qoi_uq_status/same_qoi_uncertainty_audit.csv;work_products/2026-07/2026-07-20/2026-07-20_two_tap_corner_lower_right_isolation_uq_progress/straight_development_subtraction_ledger.csv;work_products/2026-07/2026-07-20/2026-07-20_two_tap_corner_lower_right_admission_repair/split_decision.csv;work_products/2026-07/2026-07-20/2026-07-20_two_tap_recirc_section_effective_model/recirc_pressure_basis_table.csv;work_products/2026-07/2026-07-21/2026-07-21_litrev_model_form_extraction/pressure_corner_extraction_findings.csv;work_products/2026-07/2026-07-21/2026-07-21_litrev_model_form_extraction/cfd_postprocessing_contract.csv;work_products/2026-07/2026-07-21/2026-07-21_litrev_pressure_corner_basis_recovery/pressure_corner_basis_recovery_audit.csv
SQ-UQ-PCBR-002,pressure_corner_basis_recovery,salt3_mainline,corner_lower_right::lower_leg__s04->right_leg__s00::available_residual,fail_missing_same_qoi_UQ,blocked_missing_neighbor_window,blocked_missing_same_qoi_GCI,same-QOI mesh/time family plus low-reverse anchor or recirculation scorecard before any coefficient use,work_products/2026-07/2026-07-18/2026-07-18_two_tap_pressure_basis_recirc_audit/pressure_velocity_basis_audit.csv;work_products/2026-07/2026-07-18/2026-07-18_two_tap_pressure_basis_recirc_audit/endpoint_recirculation_metrics.csv;work_products/2026-07/2026-07-18/2026-07-18_two_tap_component_isolation_decision/component_isolation_audit.csv;work_products/2026-07/2026-07-18/2026-07-18_two_tap_same_qoi_uq_status/same_qoi_uncertainty_audit.csv;work_products/2026-07/2026-07-20/2026-07-20_two_tap_corner_lower_right_isolation_uq_progress/straight_development_subtraction_ledger.csv;work_products/2026-07/2026-07-20/2026-07-20_two_tap_corner_lower_right_admission_repair/split_decision.csv;work_products/2026-07/2026-07-20/2026-07-20_two_tap_recirc_section_effective_model/recirc_pressure_basis_table.csv;work_products/2026-07/2026-07-21/2026-07-21_litrev_model_form_extraction/pressure_corner_extraction_findings.csv;work_products/2026-07/2026-07-21/2026-07-21_litrev_model_form_extraction/cfd_postprocessing_contract.csv;work_products/2026-07/2026-07-21/2026-07-21_litrev_pressure_corner_basis_recovery/pressure_corner_basis_recovery_audit.csv
SQ-UQ-PCBR-003,pressure_corner_basis_recovery,salt4_mainline,corner_lower_right::lower_leg__s04->right_leg__s00::available_residual,fail_missing_same_qoi_UQ,blocked_missing_neighbor_window,blocked_missing_same_qoi_GCI,same-QOI mesh/time family plus low-reverse anchor or recirculation scorecard before any coefficient use,work_products/2026-07/2026-07-18/2026-07-18_two_tap_pressure_basis_recirc_audit/pressure_velocity_basis_audit.csv;work_products/2026-07/2026-07-18/2026-07-18_two_tap_pressure_basis_recirc_audit/endpoint_recirculation_metrics.csv;work_products/2026-07/2026-07-18/2026-07-18_two_tap_component_isolation_decision/component_isolation_audit.csv;work_products/2026-07/2026-07-18/2026-07-18_two_tap_same_qoi_uq_status/same_qoi_uncertainty_audit.csv;work_products/2026-07/2026-07-20/2026-07-20_two_tap_corner_lower_right_isolation_uq_progress/straight_development_subtraction_ledger.csv;work_products/2026-07/2026-07-20/2026-07-20_two_tap_corner_lower_right_admission_repair/split_decision.csv;work_products/2026-07/2026-07-20/2026-07-20_two_tap_recirc_section_effective_model/recirc_pressure_basis_table.csv;work_products/2026-07/2026-07-21/2026-07-21_litrev_model_form_extraction/pressure_corner_extraction_findings.csv;work_products/2026-07/2026-07-21/2026-07-21_litrev_model_form_extraction/cfd_postprocessing_contract.csv;work_products/2026-07/2026-07-21/2026-07-21_litrev_pressure_corner_basis_recovery/pressure_corner_basis_recovery_audit.csv
SQ-UQ-TTQ-001,two_tap_face_qref_uq_progress,salt2_mainline,corner_lower_right_section_effective_pressure_residual,fail_missing_same_qoi_UQ,blocked_missing_neighbor_window,blocked_missing_same_qoi_mesh_UQ,same-QOI mesh/time family plus low-reverse anchor or recirculation scorecard,work_products/2026-07/2026-07-18/2026-07-18_two_tap_pressure_basis_recirc_audit/pressure_velocity_basis_audit.csv;work_products/2026-07/2026-07-18/2026-07-18_two_tap_pressure_basis_recirc_audit/endpoint_recirculation_metrics.csv;work_products/2026-07/2026-07-20/2026-07-20_two_tap_recirc_section_effective_model/same_qoi_uq_sampling_contract.csv;work_products/2026-07/2026-07-20/2026-07-20_two_tap_face_qref_uq_progress/residual_uq_progress.csv
SQ-UQ-TTQ-002,two_tap_face_qref_uq_progress,salt3_mainline,corner_lower_right_section_effective_pressure_residual,fail_missing_same_qoi_UQ,blocked_missing_neighbor_window,blocked_missing_same_qoi_mesh_UQ,same-QOI mesh/time family plus low-reverse anchor or recirculation scorecard,work_products/2026-07/2026-07-18/2026-07-18_two_tap_pressure_basis_recirc_audit/pressure_velocity_basis_audit.csv;work_products/2026-07/2026-07-18/2026-07-18_two_tap_pressure_basis_recirc_audit/endpoint_recirculation_metrics.csv;work_products/2026-07/2026-07-20/2026-07-20_two_tap_recirc_section_effective_model/same_qoi_uq_sampling_contract.csv;work_products/2026-07/2026-07-20/2026-07-20_two_tap_face_qref_uq_progress/residual_uq_progress.csv
SQ-UQ-TTQ-003,two_tap_face_qref_uq_progress,salt4_mainline,corner_lower_right_section_effective_pressure_residual,fail_missing_same_qoi_UQ,blocked_missing_neighbor_window,blocked_missing_same_qoi_mesh_UQ,same-QOI mesh/time family plus low-reverse anchor or recirculation scorecard,work_products/2026-07/2026-07-18/2026-07-18_two_tap_pressure_basis_recirc_audit/pressure_velocity_basis_audit.csv;work_products/2026-07/2026-07-18/2026-07-18_two_tap_pressure_basis_recirc_audit/endpoint_recirculation_metrics.csv;work_products/2026-07/2026-07-20/2026-07-20_two_tap_recirc_section_effective_model/same_qoi_uq_sampling_contract.csv;work_products/2026-07/2026-07-20/2026-07-20_two_tap_face_qref_uq_progress/residual_uq_progress.csv
SQ-UQ-F6P-001,f6_endpoint_pair_same_qoi_uq_preflight,salt2_mainline,right_leg::right_leg__s03->right_leg__s01::p_upstream_minus_p_downstream,blocked_pending_sampler_output_neighbor_window_and_GCI,blocked_missing_neighbor_window,blocked_missing_same_qoi_mesh_GCI,"run raw endpoint face sampler on same labels/formula/sign, then repeat time-window and mesh UQ before F6 use",work_products/2026-07/2026-07-20/2026-07-20_f6_endpoint_pair_same_qoi_uq_preflight/endpoint_pair_selection.csv
SQ-UQ-F6P-002,f6_endpoint_pair_same_qoi_uq_preflight,salt2_mainline,test_section_span::test_section_span__s03->test_section_span__s01::p_upstream_minus_p_downstream,blocked_pending_sampler_output_neighbor_window_and_GCI,blocked_missing_neighbor_window,blocked_missing_same_qoi_mesh_GCI,"run raw endpoint face sampler on same labels/formula/sign, then repeat time-window and mesh UQ before F6 use",work_products/2026-07/2026-07-20/2026-07-20_f6_endpoint_pair_same_qoi_uq_preflight/endpoint_pair_selection.csv
SQ-UQ-F6P-003,f6_endpoint_pair_same_qoi_uq_preflight,salt3_mainline,right_leg::right_leg__s03->right_leg__s01::p_upstream_minus_p_downstream,blocked_pending_sampler_output_neighbor_window_and_GCI,blocked_missing_neighbor_window,blocked_missing_same_qoi_mesh_GCI,"run raw endpoint face sampler on same labels/formula/sign, then repeat time-window and mesh UQ before F6 use",work_products/2026-07/2026-07-20/2026-07-20_f6_endpoint_pair_same_qoi_uq_preflight/endpoint_pair_selection.csv
SQ-UQ-F6P-004,f6_endpoint_pair_same_qoi_uq_preflight,salt3_mainline,test_section_span::test_section_span__s03->test_section_span__s01::p_upstream_minus_p_downstream,blocked_pending_sampler_output_neighbor_window_and_GCI,blocked_missing_neighbor_window,blocked_missing_same_qoi_mesh_GCI,"run raw endpoint face sampler on same labels/formula/sign, then repeat time-window and mesh UQ before F6 use",work_products/2026-07/2026-07-20/2026-07-20_f6_endpoint_pair_same_qoi_uq_preflight/endpoint_pair_selection.csv
