uq_row_id,source_standardization_id,source_family,case_key,case_id,quantity_family,qoi_name,row_label,same_label_status,same_formula_status,same_sign_status,same_pressure_basis_status,same_velocity_or_qref_or_thermal_basis_status,retained_window_status,neighboring_window_status,mesh_or_gci_status,plane_sweep_status,recirculation_metric_status,same_qoi_uncertainty_status,admission_effect,final_use_label,next_action,reason,source_paths,component_k_admitted,cluster_k_admitted,f6_fit_performed,clipped_k,global_multiplier_applied_by_this_task
SQ-UQ-PCBR-001,PPBS-SPM-0091,pressure_corner_basis_recovery,salt2_mainline,salt_2,pressure_delta_component_section_K_pressure_recovery,corner_lower_right::lower_leg__s04->right_leg__s00::available_residual,section_effective,pass,pass_decomposed_gross_static_minus_hydrostatic_kinetic_straight_developing,pass_negative_available_residual_preserved,pass_p_rgh_plus_hydrostatic_decomposition,blocked_qref_rejected_material_reverse_flow,pass_retained_time_7915_s,blocked_missing_neighbor_window,blocked_missing_same_qoi_GCI,blocked_missing_same_basis_reference,fail_material_reverse_flow,fail_missing_same_qoi_UQ,no_admission_change,section_effective_pressure_residual;pressure_recovery_diagnostic,same-QOI mesh/time family plus low-reverse anchor or recirculation scorecard before any coefficient use,"Gross static pressure rises around this corner, but the rise is hydrostatic dominated. After hydrostatic and kinetic correction the available mechanical residual is negative, so it must not be clipped into a positive loss. Material recirculation, apparent cluster isolation, missing same-QOI UQ, and missing same-basis straight/developing reference keep the row section-effective and diagnostic for coefficients.",work_products/2026-07/2026-07-18/2026-07-18_two_tap_pressure_basis_recirc_audit/pressure_velocity_basis_audit.csv;work_products/2026-07/2026-07-18/2026-07-18_two_tap_pressure_basis_recirc_audit/endpoint_recirculation_metrics.csv;work_products/2026-07/2026-07-18/2026-07-18_two_tap_component_isolation_decision/component_isolation_audit.csv;work_products/2026-07/2026-07-18/2026-07-18_two_tap_same_qoi_uq_status/same_qoi_uncertainty_audit.csv;work_products/2026-07/2026-07-20/2026-07-20_two_tap_corner_lower_right_isolation_uq_progress/straight_development_subtraction_ledger.csv;work_products/2026-07/2026-07-20/2026-07-20_two_tap_corner_lower_right_admission_repair/split_decision.csv;work_products/2026-07/2026-07-20/2026-07-20_two_tap_recirc_section_effective_model/recirc_pressure_basis_table.csv;work_products/2026-07/2026-07-21/2026-07-21_litrev_model_form_extraction/pressure_corner_extraction_findings.csv;work_products/2026-07/2026-07-21/2026-07-21_litrev_model_form_extraction/cfd_postprocessing_contract.csv;work_products/2026-07/2026-07-21/2026-07-21_litrev_pressure_corner_basis_recovery/pressure_corner_basis_recovery_audit.csv,false,false,false,false,false
SQ-UQ-PCBR-002,PPBS-SPM-0181,pressure_corner_basis_recovery,salt3_mainline,salt_3,pressure_delta_component_section_K_pressure_recovery,corner_lower_right::lower_leg__s04->right_leg__s00::available_residual,section_effective,pass,pass_decomposed_gross_static_minus_hydrostatic_kinetic_straight_developing,pass_negative_available_residual_preserved,pass_p_rgh_plus_hydrostatic_decomposition,blocked_qref_rejected_material_reverse_flow,pass_retained_time_7618_s,blocked_missing_neighbor_window,blocked_missing_same_qoi_GCI,blocked_missing_same_basis_reference,fail_material_reverse_flow,fail_missing_same_qoi_UQ,no_admission_change,section_effective_pressure_residual;pressure_recovery_diagnostic,same-QOI mesh/time family plus low-reverse anchor or recirculation scorecard before any coefficient use,"Gross static pressure rises around this corner, but the rise is hydrostatic dominated. After hydrostatic and kinetic correction the available mechanical residual is negative, so it must not be clipped into a positive loss. Material recirculation, apparent cluster isolation, missing same-QOI UQ, and missing same-basis straight/developing reference keep the row section-effective and diagnostic for coefficients.",work_products/2026-07/2026-07-18/2026-07-18_two_tap_pressure_basis_recirc_audit/pressure_velocity_basis_audit.csv;work_products/2026-07/2026-07-18/2026-07-18_two_tap_pressure_basis_recirc_audit/endpoint_recirculation_metrics.csv;work_products/2026-07/2026-07-18/2026-07-18_two_tap_component_isolation_decision/component_isolation_audit.csv;work_products/2026-07/2026-07-18/2026-07-18_two_tap_same_qoi_uq_status/same_qoi_uncertainty_audit.csv;work_products/2026-07/2026-07-20/2026-07-20_two_tap_corner_lower_right_isolation_uq_progress/straight_development_subtraction_ledger.csv;work_products/2026-07/2026-07-20/2026-07-20_two_tap_corner_lower_right_admission_repair/split_decision.csv;work_products/2026-07/2026-07-20/2026-07-20_two_tap_recirc_section_effective_model/recirc_pressure_basis_table.csv;work_products/2026-07/2026-07-21/2026-07-21_litrev_model_form_extraction/pressure_corner_extraction_findings.csv;work_products/2026-07/2026-07-21/2026-07-21_litrev_model_form_extraction/cfd_postprocessing_contract.csv;work_products/2026-07/2026-07-21/2026-07-21_litrev_pressure_corner_basis_recovery/pressure_corner_basis_recovery_audit.csv,false,false,false,false,false
SQ-UQ-PCBR-003,PPBS-SPM-0211,pressure_corner_basis_recovery,salt4_mainline,salt_4,pressure_delta_component_section_K_pressure_recovery,corner_lower_right::lower_leg__s04->right_leg__s00::available_residual,section_effective,pass,pass_decomposed_gross_static_minus_hydrostatic_kinetic_straight_developing,pass_negative_available_residual_preserved,pass_p_rgh_plus_hydrostatic_decomposition,blocked_qref_rejected_material_reverse_flow,pass_retained_time_10000_s,blocked_missing_neighbor_window,blocked_missing_same_qoi_GCI,blocked_missing_same_basis_reference,fail_material_reverse_flow,fail_missing_same_qoi_UQ,no_admission_change,section_effective_pressure_residual;pressure_recovery_diagnostic,same-QOI mesh/time family plus low-reverse anchor or recirculation scorecard before any coefficient use,"Gross static pressure rises around this corner, but the rise is hydrostatic dominated. After hydrostatic and kinetic correction the available mechanical residual is negative, so it must not be clipped into a positive loss. Material recirculation, apparent cluster isolation, missing same-QOI UQ, and missing same-basis straight/developing reference keep the row section-effective and diagnostic for coefficients.",work_products/2026-07/2026-07-18/2026-07-18_two_tap_pressure_basis_recirc_audit/pressure_velocity_basis_audit.csv;work_products/2026-07/2026-07-18/2026-07-18_two_tap_pressure_basis_recirc_audit/endpoint_recirculation_metrics.csv;work_products/2026-07/2026-07-18/2026-07-18_two_tap_component_isolation_decision/component_isolation_audit.csv;work_products/2026-07/2026-07-18/2026-07-18_two_tap_same_qoi_uq_status/same_qoi_uncertainty_audit.csv;work_products/2026-07/2026-07-20/2026-07-20_two_tap_corner_lower_right_isolation_uq_progress/straight_development_subtraction_ledger.csv;work_products/2026-07/2026-07-20/2026-07-20_two_tap_corner_lower_right_admission_repair/split_decision.csv;work_products/2026-07/2026-07-20/2026-07-20_two_tap_recirc_section_effective_model/recirc_pressure_basis_table.csv;work_products/2026-07/2026-07-21/2026-07-21_litrev_model_form_extraction/pressure_corner_extraction_findings.csv;work_products/2026-07/2026-07-21/2026-07-21_litrev_model_form_extraction/cfd_postprocessing_contract.csv;work_products/2026-07/2026-07-21/2026-07-21_litrev_pressure_corner_basis_recovery/pressure_corner_basis_recovery_audit.csv,false,false,false,false,false
SQ-UQ-TTQ-001,PPBS-2T-0001,two_tap_face_qref_uq_progress,salt2_mainline,salt_2,section_effective_pressure_delta_residual,corner_lower_right_section_effective_pressure_residual,section_effective,same_lower_leg__s04_to_right_leg__s00_available,contracted_not_admitted_Delta_p_rgh_minus_kin_straight_dev,downstream_minus_upstream_preserved,pass_pressure_velocity_basis_audit_available,q_ref_rejected_material_reverse_flow,single_retained_window_available,blocked_missing_neighbor_window,blocked_missing_same_qoi_mesh_UQ,blocked_missing_recovery_or_straight_reference_sweep,fail_material_reverse_flow,fail_missing_same_qoi_UQ,blocks_component_K_and_F6_admission,diagnostic_only_apparent_cluster_recirculation_blocked_missing_UQ,same-QOI mesh/time family plus low-reverse anchor or recirculation scorecard,face_flux_progress_only_same_qoi_mesh_time_UQ_still_missing,work_products/2026-07/2026-07-18/2026-07-18_two_tap_pressure_basis_recirc_audit/pressure_velocity_basis_audit.csv;work_products/2026-07/2026-07-18/2026-07-18_two_tap_pressure_basis_recirc_audit/endpoint_recirculation_metrics.csv;work_products/2026-07/2026-07-20/2026-07-20_two_tap_recirc_section_effective_model/same_qoi_uq_sampling_contract.csv;work_products/2026-07/2026-07-20/2026-07-20_two_tap_face_qref_uq_progress/residual_uq_progress.csv,false,false,false,false,false
SQ-UQ-TTQ-002,PPBS-2T-0002,two_tap_face_qref_uq_progress,salt3_mainline,salt_3,section_effective_pressure_delta_residual,corner_lower_right_section_effective_pressure_residual,section_effective,same_lower_leg__s04_to_right_leg__s00_available,contracted_not_admitted_Delta_p_rgh_minus_kin_straight_dev,downstream_minus_upstream_preserved,pass_pressure_velocity_basis_audit_available,q_ref_rejected_material_reverse_flow,single_retained_window_available,blocked_missing_neighbor_window,blocked_missing_same_qoi_mesh_UQ,blocked_missing_recovery_or_straight_reference_sweep,fail_material_reverse_flow,fail_missing_same_qoi_UQ,blocks_component_K_and_F6_admission,diagnostic_only_apparent_cluster_recirculation_blocked_missing_UQ,same-QOI mesh/time family plus low-reverse anchor or recirculation scorecard,face_flux_progress_only_same_qoi_mesh_time_UQ_still_missing,work_products/2026-07/2026-07-18/2026-07-18_two_tap_pressure_basis_recirc_audit/pressure_velocity_basis_audit.csv;work_products/2026-07/2026-07-18/2026-07-18_two_tap_pressure_basis_recirc_audit/endpoint_recirculation_metrics.csv;work_products/2026-07/2026-07-20/2026-07-20_two_tap_recirc_section_effective_model/same_qoi_uq_sampling_contract.csv;work_products/2026-07/2026-07-20/2026-07-20_two_tap_face_qref_uq_progress/residual_uq_progress.csv,false,false,false,false,false
SQ-UQ-TTQ-003,PPBS-2T-0003,two_tap_face_qref_uq_progress,salt4_mainline,salt_4,section_effective_pressure_delta_residual,corner_lower_right_section_effective_pressure_residual,section_effective,same_lower_leg__s04_to_right_leg__s00_available,contracted_not_admitted_Delta_p_rgh_minus_kin_straight_dev,downstream_minus_upstream_preserved,pass_pressure_velocity_basis_audit_available,q_ref_rejected_material_reverse_flow,single_retained_window_available,blocked_missing_neighbor_window,blocked_missing_same_qoi_mesh_UQ,blocked_missing_recovery_or_straight_reference_sweep,fail_material_reverse_flow,fail_missing_same_qoi_UQ,blocks_component_K_and_F6_admission,diagnostic_only_apparent_cluster_recirculation_blocked_missing_UQ,same-QOI mesh/time family plus low-reverse anchor or recirculation scorecard,face_flux_progress_only_same_qoi_mesh_time_UQ_still_missing,work_products/2026-07/2026-07-18/2026-07-18_two_tap_pressure_basis_recirc_audit/pressure_velocity_basis_audit.csv;work_products/2026-07/2026-07-18/2026-07-18_two_tap_pressure_basis_recirc_audit/endpoint_recirculation_metrics.csv;work_products/2026-07/2026-07-20/2026-07-20_two_tap_recirc_section_effective_model/same_qoi_uq_sampling_contract.csv;work_products/2026-07/2026-07-20/2026-07-20_two_tap_face_qref_uq_progress/residual_uq_progress.csv,false,false,false,false,false
SQ-UQ-F6P-001,PPBS-SPM-0091,f6_endpoint_pair_same_qoi_uq_preflight,salt2_mainline,salt_2,F6_endpoint_pressure_delta,right_leg::right_leg__s03->right_leg__s01::p_upstream_minus_p_downstream,diagnostic,pass_pass_clean_interior_endpoint_pair,blocked_pending_face_pressure_sampling,pass_p_upstream_minus_p_downstream,blocked_pending_p_rgh_or_p_face_values,partial_coarse_centerline_velocity_available_not_qref_admission,geometry_preflight_only_no_pressure_window,blocked_missing_neighbor_window,blocked_missing_same_qoi_mesh_GCI,blocked_missing_endpoint_plane_sweep,not_evaluated_for_endpoint_pair,blocked_pending_sampler_output_neighbor_window_and_GCI,no_admission_change,geometry_preflight_only,"run raw endpoint face sampler on same labels/formula/sign, then repeat time-window and mesh UQ before F6 use",do_not_use_s00_s04_fitting_end_pair_for_straight_F6,work_products/2026-07/2026-07-20/2026-07-20_f6_endpoint_pair_same_qoi_uq_preflight/endpoint_pair_selection.csv,false,false,false,false,false
SQ-UQ-F6P-002,PPBS-SPM-0091,f6_endpoint_pair_same_qoi_uq_preflight,salt2_mainline,salt_2,F6_endpoint_pressure_delta,test_section_span::test_section_span__s03->test_section_span__s01::p_upstream_minus_p_downstream,diagnostic,pass_pass_clean_interior_endpoint_pair,blocked_pending_face_pressure_sampling,pass_p_upstream_minus_p_downstream,blocked_pending_p_rgh_or_p_face_values,partial_coarse_centerline_velocity_available_not_qref_admission,geometry_preflight_only_no_pressure_window,blocked_missing_neighbor_window,blocked_missing_same_qoi_mesh_GCI,blocked_missing_endpoint_plane_sweep,not_evaluated_for_endpoint_pair,blocked_pending_sampler_output_neighbor_window_and_GCI,no_admission_change,geometry_preflight_only,"run raw endpoint face sampler on same labels/formula/sign, then repeat time-window and mesh UQ before F6 use",do_not_use_s00_s04_fitting_end_pair_for_straight_F6,work_products/2026-07/2026-07-20/2026-07-20_f6_endpoint_pair_same_qoi_uq_preflight/endpoint_pair_selection.csv,false,false,false,false,false
SQ-UQ-F6P-003,PPBS-SPM-0181,f6_endpoint_pair_same_qoi_uq_preflight,salt3_mainline,salt_3,F6_endpoint_pressure_delta,right_leg::right_leg__s03->right_leg__s01::p_upstream_minus_p_downstream,diagnostic,pass_pass_clean_interior_endpoint_pair,blocked_pending_face_pressure_sampling,pass_p_upstream_minus_p_downstream,blocked_pending_p_rgh_or_p_face_values,partial_coarse_centerline_velocity_available_not_qref_admission,geometry_preflight_only_no_pressure_window,blocked_missing_neighbor_window,blocked_missing_same_qoi_mesh_GCI,blocked_missing_endpoint_plane_sweep,not_evaluated_for_endpoint_pair,blocked_pending_sampler_output_neighbor_window_and_GCI,no_admission_change,geometry_preflight_only,"run raw endpoint face sampler on same labels/formula/sign, then repeat time-window and mesh UQ before F6 use",do_not_use_s00_s04_fitting_end_pair_for_straight_F6,work_products/2026-07/2026-07-20/2026-07-20_f6_endpoint_pair_same_qoi_uq_preflight/endpoint_pair_selection.csv,false,false,false,false,false
SQ-UQ-F6P-004,PPBS-SPM-0181,f6_endpoint_pair_same_qoi_uq_preflight,salt3_mainline,salt_3,F6_endpoint_pressure_delta,test_section_span::test_section_span__s03->test_section_span__s01::p_upstream_minus_p_downstream,diagnostic,pass_pass_clean_interior_endpoint_pair,blocked_pending_face_pressure_sampling,pass_p_upstream_minus_p_downstream,blocked_pending_p_rgh_or_p_face_values,partial_coarse_centerline_velocity_available_not_qref_admission,geometry_preflight_only_no_pressure_window,blocked_missing_neighbor_window,blocked_missing_same_qoi_mesh_GCI,blocked_missing_endpoint_plane_sweep,not_evaluated_for_endpoint_pair,blocked_pending_sampler_output_neighbor_window_and_GCI,no_admission_change,geometry_preflight_only,"run raw endpoint face sampler on same labels/formula/sign, then repeat time-window and mesh UQ before F6 use",do_not_use_s00_s04_fitting_end_pair_for_straight_F6,work_products/2026-07/2026-07-20/2026-07-20_f6_endpoint_pair_same_qoi_uq_preflight/endpoint_pair_selection.csv,false,false,false,false,false
