source_label,source_path,exists,row_count,sha256,mutation_status
pressure_plane_basis,work_products/2026-07/2026-07-21/2026-07-21_litrev_pressure_plane_basis_standardization/pressure_plane_basis_standardization.csv,true,460,e193f289afb08087110d62360685c6b133989c5de94ddb4a7ba11117ad86170f,read_only
schema_gap,work_products/2026-07/2026-07-21/2026-07-21_litrev_cfd_postprocessing_schema_gap/cfd_postprocessing_schema_gap_audit.csv,true,18,0e13801b4fcb197b943f0ec5fd2b7af5cb5a26b6751af0390243393a409fe0d1,read_only
pressure_corner_recovery,work_products/2026-07/2026-07-21/2026-07-21_litrev_pressure_corner_basis_recovery/pressure_corner_basis_recovery_audit.csv,true,3,0f861fdca801197f00c407d19074d0358733d99ca3b5b4682b8d309e84891ec8,read_only
pressure_corner_publication,work_products/2026-07/2026-07-21/2026-07-21_pressure_corner_publication_freeze/canonical_pressure_corner_result.csv,true,3,a8e3af96dd34cc6f3d29d759401180aa3eb6020296e9140017d7e139a59fdb0b,read_only
two_tap_face_qref,work_products/2026-07/2026-07-20/2026-07-20_two_tap_face_qref_uq_progress/residual_uq_progress.csv,true,3,f1b07069f37f45ab35282000760e7fd2f86c5f76f48f74588778f8b2427a9238,read_only
f6_pair_preflight,work_products/2026-07/2026-07-20/2026-07-20_f6_endpoint_pair_same_qoi_uq_preflight/endpoint_pair_selection.csv,true,6,a0e82bdba8fd5b79d82e43bfbda5723bc5f831afd9ddd60230f9d23516476e50,read_only
f6_face_matrix,work_products/2026-07/2026-07-20/2026-07-20_f6_endpoint_face_uq_execution/endpoint_face_sampling_matrix.csv,true,20,b36121eb6b1d5f7201d5b3638638f396f38b6124af73819c88aa9fcd44daefda,read_only
pm10_uq_gate,work_products/2026-07/2026-07-20/2026-07-20_pm10_same_qoi_uq_preflight/pm10_uq_gate.csv,true,4,694125fee492847895b40ecf5c6d79e1c3940a7c24bbc8e3c952fc43c446c8c5,read_only
pm10_time_status,work_products/2026-07/2026-07-20/2026-07-20_pm10_same_qoi_uq_preflight/pm10_same_qoi_time_uq_status.csv,true,4,b00aca113135571cf8b43ae328c50a089d8390ba902e40edaaf31731297579e2,read_only
thermal_mesh_gate,work_products/2026-07/2026-07-13/2026-07-13_thermal_mesh_gate/thermal_mesh_gate_qois.csv,true,7,e83d4ab052b69fe4ba827958e7ed12a21341768a5fdb883a3e9177a8d04d1f13,read_only
thermal_row_ledger,work_products/2026-07/2026-07-15/2026-07-15_thermal_row_admission_ledger/thermal_row_admission_ledger.csv,true,40,4fdca5222217c9cdae2af7aab8ac32b55949438ce9e877aa2cac0ffe2f3efe4d,read_only
