evidence_id,case_key,split_role,span,canonical_lane,Re,Ri,reverse_area_fraction,reverse_mass_fraction,backflow_fraction,regime_class,single_stream_fit_allowed,allowed_use,blocked_labels,source_kind,source_path
f6_pm5:salt2_lo5q:left_lower_leg,salt2_lo5q,holdout,left_lower_leg,recirculating_upcomer_effective,83.1101106,70.00886497,0.6177451405,0.5000044571,,recirculating_upcomer_effective,no,regime_diagnostic_and_hybrid_model_evidence,Nu; f_D; component_K,pm5_f6_matched_plane,work_products/2026-07/2026-07-15/2026-07-15_pm5_wall_band_vtk_and_f6_unlock_repair/resampled_pm5_matched_plane_metrics.csv
f6_pm5:salt2_lo5q:test_section_span,salt2_lo5q,holdout,test_section_span,recirculating_upcomer_effective,87.454516,45.11688157,0.3692928784,0.5000060995,,recirculating_upcomer_effective,no,regime_diagnostic_and_hybrid_model_evidence,Nu; f_D; component_K,pm5_f6_matched_plane,work_products/2026-07/2026-07-15/2026-07-15_pm5_wall_band_vtk_and_f6_unlock_repair/resampled_pm5_matched_plane_metrics.csv
f6_pm5:salt2_lo5q:left_upper_leg,salt2_lo5q,holdout,left_upper_leg,recirculating_upcomer_effective,85.86111594,23.79729264,0.7901396438,0.5000621677,,recirculating_upcomer_effective,no,regime_diagnostic_and_hybrid_model_evidence,Nu; f_D; component_K,pm5_f6_matched_plane,work_products/2026-07/2026-07-15/2026-07-15_pm5_wall_band_vtk_and_f6_unlock_repair/resampled_pm5_matched_plane_metrics.csv
f6_pm5:salt2_hi5q:left_lower_leg,salt2_hi5q,holdout,left_lower_leg,recirculating_upcomer_effective,94.87281344,54.20195191,0.6096763649,0.4999936722,,recirculating_upcomer_effective,no,regime_diagnostic_and_hybrid_model_evidence,Nu; f_D; component_K,pm5_f6_matched_plane,work_products/2026-07/2026-07-15/2026-07-15_pm5_wall_band_vtk_and_f6_unlock_repair/resampled_pm5_matched_plane_metrics.csv
f6_pm5:salt2_hi5q:test_section_span,salt2_hi5q,holdout,test_section_span,recirculating_upcomer_effective,100.0030491,78.04208245,0.3748113482,0.4999916556,,recirculating_upcomer_effective,no,regime_diagnostic_and_hybrid_model_evidence,Nu; f_D; component_K,pm5_f6_matched_plane,work_products/2026-07/2026-07-15/2026-07-15_pm5_wall_band_vtk_and_f6_unlock_repair/resampled_pm5_matched_plane_metrics.csv
f6_pm5:salt2_hi5q:left_upper_leg,salt2_hi5q,holdout,left_upper_leg,recirculating_upcomer_effective,98.26301912,108.7458056,0.785845516,0.5000672828,,recirculating_upcomer_effective,no,regime_diagnostic_and_hybrid_model_evidence,Nu; f_D; component_K,pm5_f6_matched_plane,work_products/2026-07/2026-07-15/2026-07-15_pm5_wall_band_vtk_and_f6_unlock_repair/resampled_pm5_matched_plane_metrics.csv
f6_pm5:salt4_lo5q:left_lower_leg,salt4_lo5q,training,left_lower_leg,recirculating_upcomer_effective,148.9247963,16.86404752,0.5466041262,0.5000026995,,recirculating_upcomer_effective,no,regime_diagnostic_and_hybrid_model_evidence,Nu; f_D; component_K,pm5_f6_matched_plane,work_products/2026-07/2026-07-15/2026-07-15_pm5_wall_band_vtk_and_f6_unlock_repair/resampled_pm5_matched_plane_metrics.csv
f6_pm5:salt4_lo5q:test_section_span,salt4_lo5q,training,test_section_span,recirculating_upcomer_effective,160.035202,29.72248589,0.3764033442,0.4999969289,,recirculating_upcomer_effective,no,regime_diagnostic_and_hybrid_model_evidence,Nu; f_D; component_K,pm5_f6_matched_plane,work_products/2026-07/2026-07-15/2026-07-15_pm5_wall_band_vtk_and_f6_unlock_repair/resampled_pm5_matched_plane_metrics.csv
f6_pm5:salt4_lo5q:left_upper_leg,salt4_lo5q,training,left_upper_leg,recirculating_upcomer_effective,153.2865418,25.44596167,0.7765350946,0.5000757768,,recirculating_upcomer_effective,no,regime_diagnostic_and_hybrid_model_evidence,Nu; f_D; component_K,pm5_f6_matched_plane,work_products/2026-07/2026-07-15/2026-07-15_pm5_wall_band_vtk_and_f6_unlock_repair/resampled_pm5_matched_plane_metrics.csv
f6_pm5:salt4_hi5q:left_lower_leg,salt4_hi5q,training,left_lower_leg,recirculating_upcomer_effective,166.7382592,47.1734398,0.5228637749,0.4999749795,,recirculating_upcomer_effective,no,regime_diagnostic_and_hybrid_model_evidence,Nu; f_D; component_K,pm5_f6_matched_plane,work_products/2026-07/2026-07-15/2026-07-15_pm5_wall_band_vtk_and_f6_unlock_repair/resampled_pm5_matched_plane_metrics.csv
