queue_id,blocker_id,required_evidence,minimum_acceptance,current_status,why_needed,source_path
upcomer:1,upcomer-onset-data-sparsity,terminal corrected Salt-Q points near onset,"At least one admitted point below/near route_B_mid and one admitted point above route_A_mid, with no refit to validation/holdout rows.",blocked_pending_terminal_admission_or_new_design,bracket upcomer onset or make recirculation metrics admissible,work_products/2026-07/2026-07-14/2026-07-14_upcomer_onset_blocker_resolution/next_evidence_requirements.csv
upcomer:2,upcomer-onset-data-sparsity,non-recirculating or transition anchor,"A point with backflow_fraction <= 0.02 and Ri_median < 0.30, or a bounded transition pair straddling backflow_fraction 0.02-0.10.",missing,bracket upcomer onset or make recirculation metrics admissible,work_products/2026-07/2026-07-14/2026-07-14_upcomer_onset_blocker_resolution/next_evidence_requirements.csv
upcomer:3,upcomer-onset-data-sparsity,mesh/time uncertainty for onset metrics,"Coarse/medium/fine or documented time-window uncertainty for backflow_fraction, Ri_median, and Nu_upcomer.",missing,bracket upcomer onset or make recirculation metrics admissible,work_products/2026-07/2026-07-14/2026-07-14_upcomer_onset_blocker_resolution/next_evidence_requirements.csv
upcomer:4,upcomer-onset-data-sparsity,wall-core or wall-bulk Delta T extraction,Wall/bulk temperature difference on the same retained window and section definition as backflow/Ri.,missing,bracket upcomer onset or make recirculation metrics admissible,work_products/2026-07/2026-07-14/2026-07-14_upcomer_onset_blocker_resolution/next_evidence_requirements.csv
f6:non_recirculating_or_hybrid_model_evidence,f6-friction-re-correction,non-recirculating pressure rows or explicit recirculation-modeled F6/onset closure,validation/holdout improvement over F3_shah_apparent without hidden global multiplier,missing_current_pm5_rows_are_diagnostic_only,bracket upcomer onset or make recirculation metrics admissible,work_products/2026-07/2026-07-15/2026-07-15_f6_internal_nu_admission_review_and_forward_unblock/f6_fit_candidate_table.csv
m3ts:fit,predictive-wall-test-section-submodels,Salt2 setup-only TS1/TS2 candidate parameters from AGENT-458,training-only scalar recorded with zero validation/holdout leakage,open_from_agent461_contract,separate test-section heat-loss model from recirculation and ordinary upcomer coefficients,work_products/2026-07/2026-07-16/2026-07-16_coupled_m3ts_test_section_scorecard/next_execution_contract.csv
m3ts:coupled_score,predictive-wall-test-section-submodels,Fluid external-boundary table support plus frozen TS1/TS2 parameters,candidate improves or bounds coupled errors without heat-loss gate failure,open_from_agent461_contract,separate test-section heat-loss model from recirculation and ordinary upcomer coefficients,work_products/2026-07/2026-07-16/2026-07-16_coupled_m3ts_test_section_scorecard/next_execution_contract.csv
m3ts:admission,predictive-wall-test-section-submodels,"runtime audit, heat-loss W gate, percent gate, coupled M3+TS scorecard","all gates pass on validation and holdout, otherwise blocker remains open",open_from_agent461_contract,separate test-section heat-loss model from recirculation and ordinary upcomer coefficients,work_products/2026-07/2026-07-16/2026-07-16_coupled_m3ts_test_section_scorecard/next_execution_contract.csv
m3ts_candidate:TS1_salt2_fit_hA_constant_drive_deltaT,predictive-wall-test-section-submodels,Run coupled M3+TS with this Salt2-trained setup-only candidate on Salt3/Salt4.,coupled M3+TS validation/holdout score without forbidden runtime inputs,candidate_runtime_legal_but_not_admitted,avoid promoting heat-loss replay diagnostics as predictive model evidence,work_products/2026-07/2026-07-16/2026-07-16_predictive_test_section_heat_loss_model/setup_candidate_summary.csv
m3ts_candidate:TS2_salt2_fit_constant_loss_W,predictive-wall-test-section-submodels,Run coupled M3+TS with this Salt2-trained setup-only candidate on Salt3/Salt4.,coupled M3+TS validation/holdout score without forbidden runtime inputs,candidate_runtime_legal_but_not_admitted,avoid promoting heat-loss replay diagnostics as predictive model evidence,work_products/2026-07/2026-07-16/2026-07-16_predictive_test_section_heat_loss_model/setup_candidate_summary.csv
