family_id,representative_source_id,loop_order_index,span_name,plot_start_m,plot_end_m,start_label,end_label,start_label_display,end_label_display
1,viscosity_screening_salt_test_1_jin_coarse_mesh,0,lower_leg,0.6827312144224325,0.9004136306150922,ncc_pipeleg_lower_01_fitting_start,ncc_pipeleg_lower_09_fitting_end,TP3,TP2
1,viscosity_screening_salt_test_1_jin_coarse_mesh,1,right_leg,0.9004136306150922,1.2482831958324836,ncc_pipeleg_right_01_lower_start,ncc_pipeleg_right_03_upper_end,TP2,TP1
1,viscosity_screening_salt_test_1_jin_coarse_mesh,2,upper_leg,1.8247480061293375,2.7089074268971274,TP6,TP1,TP6,TP1
1,viscosity_screening_salt_test_1_jin_coarse_mesh,3,left_upper_leg,2.7387105534398613,3.0838621323872295,TP5,TP6,TP5,TP6
1,viscosity_screening_salt_test_1_jin_coarse_mesh,4,test_section_span,3.113446553439861,3.3453954765167846,TP4,TP5,TP4,TP5
1,viscosity_screening_salt_test_1_jin_coarse_mesh,5,left_lower_leg,3.3745276140459217,3.678422492833801,TP3,TP4,TP3,TP4
2,val_salt_test_2_coarse_mesh_laminar,0,lower_leg,0.6827312144224325,0.9004136306150923,ncc_pipeleg_lower_01_fitting_start,ncc_pipeleg_lower_09_fitting_end,TP3,TP2
2,val_salt_test_2_coarse_mesh_laminar,1,right_leg,0.9004136306150923,1.2482831958324836,ncc_pipeleg_right_01_lower_start,ncc_pipeleg_right_03_upper_end,TP2,TP1
2,val_salt_test_2_coarse_mesh_laminar,2,upper_leg,1.8247480061293373,2.7089074268971274,TP6,TP1,TP6,TP1
2,val_salt_test_2_coarse_mesh_laminar,3,left_upper_leg,2.7387105534398613,3.0838621323872295,TP5,TP6,TP5,TP6
2,val_salt_test_2_coarse_mesh_laminar,4,test_section_span,3.113446553439861,3.345395476516784,TP4,TP5,TP4,TP5
2,val_salt_test_2_coarse_mesh_laminar,5,left_lower_leg,3.3745276140459217,3.678422492833801,TP3,TP4,TP3,TP4
3,viscosity_screening_salt_test_3_jin_coarse_mesh,0,lower_leg,0.6827312144224325,0.9004136306150922,ncc_pipeleg_lower_01_fitting_start,ncc_pipeleg_lower_09_fitting_end,TP3,TP2
3,viscosity_screening_salt_test_3_jin_coarse_mesh,1,right_leg,0.9004136306150922,1.2482831958324836,ncc_pipeleg_right_01_lower_start,ncc_pipeleg_right_03_upper_end,TP2,TP1
3,viscosity_screening_salt_test_3_jin_coarse_mesh,2,upper_leg,1.8247480061293375,2.7089074268971274,TP6,TP1,TP6,TP1
3,viscosity_screening_salt_test_3_jin_coarse_mesh,3,left_upper_leg,2.7387105534398613,3.0838621323872295,TP5,TP6,TP5,TP6
3,viscosity_screening_salt_test_3_jin_coarse_mesh,4,test_section_span,3.113446553439861,3.3453954765167846,TP4,TP5,TP4,TP5
3,viscosity_screening_salt_test_3_jin_coarse_mesh,5,left_lower_leg,3.3745276140459217,3.678422492833801,TP3,TP4,TP3,TP4
4,viscosity_screening_salt_test_4_jin_coarse_mesh,0,lower_leg,0.6827312144224325,0.9004136306150922,ncc_pipeleg_lower_01_fitting_start,ncc_pipeleg_lower_09_fitting_end,TP3,TP2
4,viscosity_screening_salt_test_4_jin_coarse_mesh,1,right_leg,0.9004136306150922,1.2482831958324836,ncc_pipeleg_right_01_lower_start,ncc_pipeleg_right_03_upper_end,TP2,TP1
4,viscosity_screening_salt_test_4_jin_coarse_mesh,2,upper_leg,1.8247480061293375,2.7089074268971274,TP6,TP1,TP6,TP1
4,viscosity_screening_salt_test_4_jin_coarse_mesh,3,left_upper_leg,2.7387105534398613,3.0838621323872295,TP5,TP6,TP5,TP6
4,viscosity_screening_salt_test_4_jin_coarse_mesh,4,test_section_span,3.113446553439861,3.3453954765167846,TP4,TP5,TP4,TP5
4,viscosity_screening_salt_test_4_jin_coarse_mesh,5,left_lower_leg,3.3745276140459217,3.678422492833801,TP3,TP4,TP3,TP4
