qoi_family,qoi_name,blocked_or_diagnostic_reason,next_task,phase_c_effect,source_paths
pressure,lower_right_corner_available_pressure_residual,missing_same_qoi_mesh_gci,Run existing-artifact same-label/formula/sign time-window preflight for lower_leg__s04->right_leg__s00; queue compute-node sampling only if windows are absent,blocks_admission,work_products/2026-07/2026-07-21/2026-07-21_litrev_same_qoi_uq_execution/same_qoi_uq_admission_table.csv;work_products/2026-07/2026-07-21/2026-07-21_same_qoi_uq_phase_a_retained_window_inventory/qoi_retained_window_inventory.csv;work_products/2026-07/2026-07-20/2026-07-20_two_tap_corner_lower_right_isolation_uq_progress/same_qoi_mesh_uq.csv
pressure,corner_lower_right_section_effective_pressure_residual,missing_same_qoi_mesh_gci,Use pressure-corner same-QOI time/mesh inventory route; do not convert residual into component K,blocks_admission,work_products/2026-07/2026-07-21/2026-07-21_litrev_same_qoi_uq_execution/same_qoi_uq_admission_table.csv;work_products/2026-07/2026-07-21/2026-07-21_same_qoi_uq_phase_a_retained_window_inventory/qoi_retained_window_inventory.csv;work_products/2026-07/2026-07-20/2026-07-20_two_tap_corner_lower_right_isolation_uq_progress/same_qoi_mesh_uq.csv
pressure,F6_endpoint_pressure_delta,missing_same_qoi_mesh_gci,Claim raw F6 endpoint face sampler row that emits retained and neighboring windows before any F6 review,blocks_admission,work_products/2026-07/2026-07-21/2026-07-21_litrev_same_qoi_uq_execution/same_qoi_uq_admission_table.csv;work_products/2026-07/2026-07-21/2026-07-21_same_qoi_uq_phase_a_retained_window_inventory/qoi_retained_window_inventory.csv;work_products/2026-07/2026-07-20/2026-07-20_f6_endpoint_pair_same_qoi_uq_preflight/same_qoi_mesh_uq_diagnostic.csv
pressure,F6_endpoint_face_raw_pressure_velocity,missing_same_qoi_mesh_gci,Complete face sampler outputs across retained and neighboring windows with mesh-level labels; keep no-fit gate active,blocks_admission,work_products/2026-07/2026-07-21/2026-07-21_litrev_same_qoi_uq_execution/same_qoi_uq_admission_table.csv;work_products/2026-07/2026-07-21/2026-07-21_same_qoi_uq_phase_a_retained_window_inventory/qoi_retained_window_inventory.csv;work_products/2026-07/2026-07-20/2026-07-20_f6_endpoint_face_uq_execution/same_qoi_mesh_uq.csv
recirculation,pm10_pressure_partial_residual_v1,missing_same_qoi_mesh_gci,Wait for terminal same-QOI mesh family and neighboring retained windows; do not fit/select model from PM10 rows now,blocks_admission,work_products/2026-07/2026-07-21/2026-07-21_litrev_same_qoi_uq_execution/same_qoi_uq_admission_table.csv;work_products/2026-07/2026-07-21/2026-07-21_same_qoi_uq_phase_a_retained_window_inventory/qoi_retained_window_inventory.csv
recirculation,V_recirc_mdot_exchange_tau_recirc,missing_exchange_or_terminal_mesh_family,Extract or admit V_recirc; mdot_exchange; tau_recirc; paired thermal state; same-window pressure residual; same-QOI UQ in a separately claimed sampler/harvest row,blocks_admission,work_products/2026-07/2026-07-21/2026-07-21_litrev_same_qoi_uq_execution/same_qoi_uq_admission_table.csv;work_products/2026-07/2026-07-21/2026-07-21_same_qoi_uq_phase_a_retained_window_inventory/qoi_retained_window_inventory.csv
recirculation,terminal_source_family_exchange_QOIs,missing_exchange_or_terminal_mesh_family,Wait for terminal monitor then claim harvest if terminal success; do not launch duplicate sampler from Phase A,blocks_admission,work_products/2026-07/2026-07-21/2026-07-21_litrev_same_qoi_uq_execution/same_qoi_uq_admission_table.csv;work_products/2026-07/2026-07-21/2026-07-21_same_qoi_uq_phase_a_retained_window_inventory/qoi_retained_window_inventory.csv
thermal,HTC_UA_prime_Nu_and_thermal_segment_closure,two_level_or_incomplete_mesh_evidence,Resolve wallHeatFlux/enthalpy/UA sign convention and right-leg/downcomer policy then join exact retained and neighboring thermal windows before admission review,blocks_admission,work_products/2026-07/2026-07-21/2026-07-21_litrev_same_qoi_uq_execution/same_qoi_uq_admission_table.csv;work_products/2026-07/2026-07-21/2026-07-21_same_qoi_uq_phase_a_retained_window_inventory/qoi_retained_window_inventory.csv;work_products/2026-07/2026-07-13/2026-07-13_thermal_mesh_gate/thermal_mesh_gate_qois.csv;work_products/2026-07/2026-07-14/2026-07-14_thermal_closure_mesh_gate_refresh/thermal_mesh_gate_qois.csv
heat_loss,upcomer_exchange_heat_loss_fields,missing_exchange_or_terminal_mesh_family,Claim compute-node sampler implementation/execution row for required field groups; preserve no-admission/no-score guardrail,blocks_admission,work_products/2026-07/2026-07-21/2026-07-21_litrev_same_qoi_uq_execution/same_qoi_uq_admission_table.csv;work_products/2026-07/2026-07-21/2026-07-21_same_qoi_uq_phase_a_retained_window_inventory/qoi_retained_window_inventory.csv
same-QOI admission,cross_family_same_QOI_UQ_table,two_level_or_incomplete_mesh_evidence,Use this Phase A inventory as input to Phase B mesh/GCI matrix and Phase C admission table; do not admit UQ from Phase A,blocks_admission,work_products/2026-07/2026-07-21/2026-07-21_litrev_same_qoi_uq_execution/same_qoi_uq_admission_table.csv;work_products/2026-07/2026-07-21/2026-07-21_same_qoi_uq_phase_a_retained_window_inventory/qoi_retained_window_inventory.csv;work_products/2026-06/2026-06-30/2026-06-30_claude_gci_study/gci_results.csv;work_products/2026-07/2026-07-16/2026-07-16_closure_qoi_mesh_gci_resolution/mesh_gci_gate_for_admitted_candidates.csv
