qoi_family,qoi_name,time_window_gate,mesh_gci_gate,mesh_gci_blocker,source_gate,phase_c_recommended_status,next_task,source_paths
pressure,lower_right_corner_available_pressure_residual,blocked_missing_neighbor_window,blocked,missing_same_qoi_mesh_gci,pending_phase_c_source_review,blocked,Run existing-artifact same-label/formula/sign time-window preflight for lower_leg__s04->right_leg__s00; queue compute-node sampling only if windows are absent,work_products/2026-07/2026-07-21/2026-07-21_litrev_same_qoi_uq_execution/same_qoi_uq_admission_table.csv;work_products/2026-07/2026-07-21/2026-07-21_same_qoi_uq_phase_a_retained_window_inventory/qoi_retained_window_inventory.csv;work_products/2026-07/2026-07-20/2026-07-20_two_tap_corner_lower_right_isolation_uq_progress/same_qoi_mesh_uq.csv
pressure,corner_lower_right_section_effective_pressure_residual,blocked_missing_neighbor_window,blocked,missing_same_qoi_mesh_gci,pending_phase_c_source_review,blocked,Use pressure-corner same-QOI time/mesh inventory route; do not convert residual into component K,work_products/2026-07/2026-07-21/2026-07-21_litrev_same_qoi_uq_execution/same_qoi_uq_admission_table.csv;work_products/2026-07/2026-07-21/2026-07-21_same_qoi_uq_phase_a_retained_window_inventory/qoi_retained_window_inventory.csv;work_products/2026-07/2026-07-20/2026-07-20_two_tap_corner_lower_right_isolation_uq_progress/same_qoi_mesh_uq.csv
pressure,F6_endpoint_pressure_delta,blocked_missing_neighbor_window,blocked,missing_same_qoi_mesh_gci,pending_phase_c_source_review,blocked,Claim raw F6 endpoint face sampler row that emits retained and neighboring windows before any F6 review,work_products/2026-07/2026-07-21/2026-07-21_litrev_same_qoi_uq_execution/same_qoi_uq_admission_table.csv;work_products/2026-07/2026-07-21/2026-07-21_same_qoi_uq_phase_a_retained_window_inventory/qoi_retained_window_inventory.csv;work_products/2026-07/2026-07-20/2026-07-20_f6_endpoint_pair_same_qoi_uq_preflight/same_qoi_mesh_uq_diagnostic.csv
pressure,F6_endpoint_face_raw_pressure_velocity,blocked_missing_neighbor_window,blocked,missing_same_qoi_mesh_gci,pending_phase_c_source_review,blocked,Complete face sampler outputs across retained and neighboring windows with mesh-level labels; keep no-fit gate active,work_products/2026-07/2026-07-21/2026-07-21_litrev_same_qoi_uq_execution/same_qoi_uq_admission_table.csv;work_products/2026-07/2026-07-21/2026-07-21_same_qoi_uq_phase_a_retained_window_inventory/qoi_retained_window_inventory.csv;work_products/2026-07/2026-07-20/2026-07-20_f6_endpoint_face_uq_execution/same_qoi_mesh_uq.csv
recirculation,pm10_pressure_partial_residual_v1,blocked_missing_neighbor_window,blocked,missing_same_qoi_mesh_gci,pending_phase_c_source_review,blocked,Wait for terminal same-QOI mesh family and neighboring retained windows; do not fit/select model from PM10 rows now,work_products/2026-07/2026-07-21/2026-07-21_litrev_same_qoi_uq_execution/same_qoi_uq_admission_table.csv;work_products/2026-07/2026-07-21/2026-07-21_same_qoi_uq_phase_a_retained_window_inventory/qoi_retained_window_inventory.csv
recirculation,V_recirc_mdot_exchange_tau_recirc,blocked_missing_neighbor_window,blocked,missing_exchange_or_terminal_mesh_family,pending_phase_c_source_review,blocked,Extract or admit V_recirc; mdot_exchange; tau_recirc; paired thermal state; same-window pressure residual; same-QOI UQ in a separately claimed sampler/harvest row,work_products/2026-07/2026-07-21/2026-07-21_litrev_same_qoi_uq_execution/same_qoi_uq_admission_table.csv;work_products/2026-07/2026-07-21/2026-07-21_same_qoi_uq_phase_a_retained_window_inventory/qoi_retained_window_inventory.csv
recirculation,terminal_source_family_exchange_QOIs,blocked_missing_neighbor_window,blocked,missing_exchange_or_terminal_mesh_family,pending_phase_c_source_review,blocked,Wait for terminal monitor then claim harvest if terminal success; do not launch duplicate sampler from Phase A,work_products/2026-07/2026-07-21/2026-07-21_litrev_same_qoi_uq_execution/same_qoi_uq_admission_table.csv;work_products/2026-07/2026-07-21/2026-07-21_same_qoi_uq_phase_a_retained_window_inventory/qoi_retained_window_inventory.csv
thermal,HTC_UA_prime_Nu_and_thermal_segment_closure,blocked_missing_neighbor_window,diagnostic_only,two_level_or_incomplete_mesh_evidence,pending_phase_c_source_review,blocked,Resolve wallHeatFlux/enthalpy/UA sign convention and right-leg/downcomer policy then join exact retained and neighboring thermal windows before admission review,work_products/2026-07/2026-07-21/2026-07-21_litrev_same_qoi_uq_execution/same_qoi_uq_admission_table.csv;work_products/2026-07/2026-07-21/2026-07-21_same_qoi_uq_phase_a_retained_window_inventory/qoi_retained_window_inventory.csv;work_products/2026-07/2026-07-13/2026-07-13_thermal_mesh_gate/thermal_mesh_gate_qois.csv;work_products/2026-07/2026-07-14/2026-07-14_thermal_closure_mesh_gate_refresh/thermal_mesh_gate_qois.csv
thermal,internal_Nu_fit_by_segment,blocked_missing_neighbor_window,not_applicable,ledger_artifact_not_retained_mesh_gci_extract,pending_phase_c_source_review,not_applicable,Reopen only after matched-plane thermal/vector extraction; onset anchors; mesh/time uncertainty are admitted,work_products/2026-07/2026-07-21/2026-07-21_litrev_same_qoi_uq_execution/same_qoi_uq_admission_table.csv;work_products/2026-07/2026-07-21/2026-07-21_same_qoi_uq_phase_a_retained_window_inventory/qoi_retained_window_inventory.csv;work_products/2026-07/2026-07-13/2026-07-13_thermal_mesh_gate/thermal_mesh_gate_qois.csv;work_products/2026-07/2026-07-14/2026-07-14_thermal_closure_mesh_gate_refresh/thermal_mesh_gate_qois.csv
heat_loss,HX_cooler_candidate_and_final_predictive_heat_path,blocked_missing_neighbor_window,not_applicable,ledger_artifact_not_retained_mesh_gci_extract,pending_phase_c_source_review,not_applicable,Separate setup-legal heat-loss terms from diagnostic replay and scorecard lanes; keep final freeze negative until hydraulic/cfd-pp/runtime gates pass,work_products/2026-07/2026-07-21/2026-07-21_litrev_same_qoi_uq_execution/same_qoi_uq_admission_table.csv;work_products/2026-07/2026-07-21/2026-07-21_same_qoi_uq_phase_a_retained_window_inventory/qoi_retained_window_inventory.csv
