salt,cfd_mdot_kg_s,cfd_trust,closure_set,k_90deg,k_20deg,major_loss_multiplier,total_fixed_k,pred_mdot_kg_s,pred_Re_main,pred_f_main,dP_buoyancy_Pa,dP_losses_Pa,pct_err_mdot
1,0.01126494445094736,LOW(early-window terminated),model_default,1.0,0.1,1.0,4.4,0.013714192079074924,138.049006528661,0.4636034811790743,29.104048845869556,29.10404854530071,21.742207773794988
1,0.01126494445094736,LOW(early-window terminated),zero_minor,0.0,0.0,1.0,0.0,0.014071873571365903,141.4485976389704,0.45246118426251125,28.362505747490673,28.362505573143554,24.917380930204995
1,0.01126494445094736,LOW(early-window terminated),zero_major_zero_minor,0.0,0.0,0.0,0.0,0.20000000000000004,1883.1417991649057,0.03398575722145901,1.9906666634275325,0.0,1675.4193184963324
2,0.01318354663,high(continuation),model_default,1.0,0.1,1.0,4.4,0.01645717031371951,209.50202661306488,0.3054863049998241,28.45815143622633,28.45815177943875,24.831130617539372
2,0.01318354663,high(continuation),zero_minor,0.0,0.0,1.0,0.0,0.017105637669666017,217.30441328188311,0.2945177184090616,27.377010284262838,27.37701076311696,29.74989317928341
2,0.01318354663,high(continuation),zero_major_zero_minor,0.0,0.0,0.0,0.0,0.20000000000000004,2395.798026350097,0.04522451563094333,2.3361894699322647,0.0,1417.0424591580488
2,0.01318354663,high(continuation),cfd_closures_2026_07_01,11.720886665355481,0.0,1.8573170117174584,46.883546661421924,0.010992362132862997,143.3063428539054,0.44659572441427264,42.63791405005372,42.637914347976775,-16.620599590028547
3,0.01496689828,high(continuation),model_default,1.0,0.1,1.0,4.4,0.019059174948747357,293.4010492449496,0.2181314625994019,28.11145931795909,28.11145958430849,27.342182676659153
3,0.01496689828,high(continuation),zero_minor,0.0,0.0,1.0,0.0,0.020108733381844303,308.79461545941496,0.20725749995602355,26.641359769731366,26.64135976189233,34.35471402057463
3,0.01496689828,high(continuation),zero_major_zero_minor,0.0,0.0,0.0,0.0,0.20000000000000004,2914.806155408194,0.04306099446343096,2.6730546035689713,0.0,1236.2822159836314
3,0.01496689828,high(continuation),cfd_closures_2026_07_01,10.668198194136934,0.0,1.9367352756000897,42.67279277654774,0.01237450854497837,194.82048106841773,0.32850755551478317,43.34313350544801,43.34313410428633,-17.320821499039607
4,0.01698467657,high(continuation),model_default,1.0,0.1,1.0,4.4,0.022067803495506334,407.68436682906173,0.15698418974901387,28.18746615357645,28.187466164149136,29.927722818606107
4,0.01698467657,high(continuation),zero_minor,0.0,0.0,1.0,0.0,0.023756879589009468,437.7770065531293,0.14619315094666321,26.181234198541006,26.18123425065207,39.87242848634043
4,0.01698467657,high(continuation),zero_major_zero_minor,0.0,0.0,0.0,0.0,0.20000000000000004,3538.8903268655163,0.04102227096079906,3.1083464205368045,0.0,1077.5319899423912
4,0.01698467657,high(continuation),cfd_closures_2026_07_01,9.817284097552772,0.0,2.0918635926340534,39.26913639021109,0.013750073950921675,258.0260525880175,0.24803696897300093,45.145125526160655,45.14512525483006,-19.04424029358084
