loop_region,thermal_slot,admission_status,fit_allowed_now,score_allowed_now,source_sink_ownership,reason
heater,heater_fluid_fraction_model,admitted_setup_only,true_setup_only,true,explicit_setup_or_named_boundary_term;internal_Nu_must_not_absorb_source_sink_residuals,none_for_setup_heater_boundary;internal_Nu_residual_absorption_forbidden
heater,wall_layer_resistance,admitted_setup_only,true_setup_only,true,explicit_setup_or_named_boundary_term;internal_Nu_must_not_absorb_source_sink_residuals,none_for_setup_heater_boundary;internal_Nu_residual_absorption_forbidden
heater,passive_external_loss,admitted_setup_only,true_setup_only,true,explicit_setup_or_named_boundary_term;internal_Nu_must_not_absorb_source_sink_residuals,none_for_setup_heater_boundary;internal_Nu_residual_absorption_forbidden
cooler_HX,UA_or_epsilon_NTU_cooler_model,admitted_setup_only,true_setup_only,true,explicit_setup_or_named_boundary_term;internal_Nu_must_not_absorb_source_sink_residuals,pending_coupled_review
cooler_HX,distributed_UA,admitted_setup_only,true_setup_only,true,explicit_setup_or_named_boundary_term;internal_Nu_must_not_absorb_source_sink_residuals,pending_coupled_review
cooler_HX,passive_external_loss,admitted_setup_only,true_setup_only,true,explicit_setup_or_named_boundary_term;internal_Nu_must_not_absorb_source_sink_residuals,pending_coupled_review
downcomer,passive_external_boundary,validation_or_diagnostic_only,false,diagnostic,explicit_setup_or_named_boundary_term;internal_Nu_must_not_absorb_source_sink_residuals,downcomer_policy_blocks_ordinary_internal_Nu;passive_boundary_validation_only
downcomer,wall_layer_resistance,validation_or_diagnostic_only,false,diagnostic,explicit_setup_or_named_boundary_term;internal_Nu_must_not_absorb_source_sink_residuals,downcomer_policy_blocks_ordinary_internal_Nu;passive_boundary_validation_only
downcomer,optional_radiation_without_double_counting,validation_or_diagnostic_only,false,diagnostic,explicit_setup_or_named_boundary_term;internal_Nu_must_not_absorb_source_sink_residuals,downcomer_policy_blocks_ordinary_internal_Nu;passive_boundary_validation_only
upcomer,hybrid_cell_exchange,blocked_until_hybrid_calibrated,false,diagnostic,explicit_setup_or_named_boundary_term;internal_Nu_must_not_absorb_source_sink_residuals,recirculating_upcomer;hybrid_cell_exchange_not_calibrated;ordinary_internal_Nu_forbidden
upcomer,wall_core_drive,validation_or_diagnostic_only,false,diagnostic,explicit_setup_or_named_boundary_term;internal_Nu_must_not_absorb_source_sink_residuals,recirculating_upcomer;hybrid_cell_exchange_not_calibrated;ordinary_internal_Nu_forbidden
upcomer,test_section_coupling,validation_or_diagnostic_only,false,diagnostic,explicit_setup_or_named_boundary_term;internal_Nu_must_not_absorb_source_sink_residuals,recirculating_upcomer;hybrid_cell_exchange_not_calibrated;ordinary_internal_Nu_forbidden
upcomer,diagnostic_internal_Nu_only_until_admitted,not_admitted_residual_absorption_forbidden,false,diagnostic,explicit_setup_or_named_boundary_term;internal_Nu_must_not_absorb_source_sink_residuals,recirculating_upcomer;hybrid_cell_exchange_not_calibrated;ordinary_internal_Nu_forbidden
test_section,setup-only distributed test-section heat-loss model,validation_or_diagnostic_only,false,diagnostic,explicit_setup_or_named_boundary_term;internal_Nu_must_not_absorb_source_sink_residuals,predictive-wall-test-section-submodels;candidate_q_loss_gates_fail;no_coupled_m3ts_candidate
test_section,quartz_wall_resistance,validation_or_diagnostic_only,false,diagnostic,explicit_setup_or_named_boundary_term;internal_Nu_must_not_absorb_source_sink_residuals,predictive-wall-test-section-submodels;candidate_q_loss_gates_fail;no_coupled_m3ts_candidate
test_section,external_convection,validation_or_diagnostic_only,false,diagnostic,explicit_setup_or_named_boundary_term;internal_Nu_must_not_absorb_source_sink_residuals,predictive-wall-test-section-submodels;candidate_q_loss_gates_fail;no_coupled_m3ts_candidate
test_section,radiation_if_admitted,validation_or_diagnostic_only,false,diagnostic,explicit_setup_or_named_boundary_term;internal_Nu_must_not_absorb_source_sink_residuals,predictive-wall-test-section-submodels;candidate_q_loss_gates_fail;no_coupled_m3ts_candidate
junction_stub_connector,junction/stub heat loss,validation_or_diagnostic_only,false,diagnostic,explicit_setup_or_named_boundary_term;internal_Nu_must_not_absorb_source_sink_residuals,local_component_heat_not_isolated;named_boundary_term_required
junction_stub_connector,mixing residual,validation_or_diagnostic_only,false,diagnostic,explicit_setup_or_named_boundary_term;internal_Nu_must_not_absorb_source_sink_residuals,local_component_heat_not_isolated;named_boundary_term_required
junction_stub_connector,passive external boundary,validation_or_diagnostic_only,false,diagnostic,explicit_setup_or_named_boundary_term;internal_Nu_must_not_absorb_source_sink_residuals,local_component_heat_not_isolated;named_boundary_term_required
lower_upper_legs,passive external boundary,validation_or_diagnostic_only,false,diagnostic,explicit_setup_or_named_boundary_term;internal_Nu_must_not_absorb_source_sink_residuals,boundary_layer_development_unscored;wall_layer_resistance_not_coupled
lower_upper_legs,wall/layer resistance,validation_or_diagnostic_only,false,diagnostic,explicit_setup_or_named_boundary_term;internal_Nu_must_not_absorb_source_sink_residuals,boundary_layer_development_unscored;wall_layer_resistance_not_coupled
lower_upper_legs,boundary-layer development sensitivity,validation_or_diagnostic_only,false,diagnostic,explicit_setup_or_named_boundary_term;internal_Nu_must_not_absorb_source_sink_residuals,boundary_layer_development_unscored;wall_layer_resistance_not_coupled
