source_path,exists,role
jadyn_runs/modern_runs/2026-07-16_high_heat_no_recirc_probe/high_heat_probe_manifest.csv,True,input_or_live_log
jadyn_runs/modern_runs/2026-07-16_high_heat_no_recirc_probe/high_heat_bracket_pack_manifest.csv,True,input_or_live_log
jadyn_runs/modern_runs/2026-07-16_high_heat_no_recirc_probe/slurm-salt4_q3x_probe-3299610.out,True,input_or_live_log
jadyn_runs/modern_runs/2026-07-16_high_heat_no_recirc_probe/slurm-salt4_heat_pack-3299620.out,True,input_or_live_log
jadyn_runs/modern_runs/2026-07-16_high_heat_no_recirc_probe/logs/runtime_preflight_3299610.csv,True,input_or_live_log
jadyn_runs/modern_runs/2026-07-16_high_heat_no_recirc_probe/logs/bracket_runtime_preflight_3299620.csv,True,input_or_live_log
work_products/2026-07/2026-07-16/2026-07-16_recirculation_cfd_anchor_study_design/required_output_contract.csv,True,input_or_live_log
jadyn_runs/modern_runs/2026-07-16_high_heat_no_recirc_probe/runs/salt4_jin_q0500w_no_recirc_probe/case_stage/viscosity_screening_salt_test_4_jin_coarse_mesh_continuation/logs/log.foamRun_high_heat_bracket,True,input_or_live_log
jadyn_runs/modern_runs/2026-07-16_high_heat_no_recirc_probe/runs/salt4_jin_q1000w_no_recirc_probe/case_stage/viscosity_screening_salt_test_4_jin_coarse_mesh_continuation/logs/log.foamRun_high_heat_bracket,True,input_or_live_log
jadyn_runs/modern_runs/2026-07-16_high_heat_no_recirc_probe/runs/salt4_jin_q3x_no_recirc_probe/case_stage/viscosity_screening_salt_test_4_jin_coarse_mesh_continuation/logs/log.foamRun_high_heat_probe,True,input_or_live_log
jadyn_runs/modern_runs/2026-07-16_high_heat_no_recirc_probe/runs/salt4_jin_q1500w_no_recirc_probe/case_stage/viscosity_screening_salt_test_4_jin_coarse_mesh_continuation/logs/log.foamRun_high_heat_bracket,True,input_or_live_log
