case_or_form,segment,coefficient,value,units,source_method,credibility,provenance,limitation
Salt 2 Jin,lower_leg,HTC,252,W/m2-K,OF13 thermal extraction,near_paper_ready_with_GCI_caveat,reports/2026-06/2026-06-30/2026-06-30_claude_closure_results/README.md,Coarse mesh; no GCI; property and sign-convention review remain open.
Salt 2 Jin,lower_leg,UA_prime,16.6,W/m-K,OF13 thermal extraction,near_paper_ready_with_GCI_caveat,reports/2026-06/2026-06-30/2026-06-30_claude_closure_results/README.md,Coarse mesh; no GCI; property and sign-convention review remain open.
Salt 2 Jin,lower_leg,R_prime,0.060,m-K/W,OF13 thermal extraction,near_paper_ready_with_GCI_caveat,reports/2026-06/2026-06-30/2026-06-30_claude_closure_results/README.md,Coarse mesh; no GCI; property and sign-convention review remain open.
Salt 2 Jin,upcomer,HTC,77,W/m2-K,OF13 thermal extraction,diagnostic_mixed_convection,reports/2026-06/2026-06-30/2026-06-30_claude_closure_results/README.md,Coarse mesh; no GCI; property and sign-convention review remain open.
Salt 2 Jin,upcomer,Nu,3.11,-,OF13 thermal extraction,diagnostic_mixed_convection,reports/2026-06/2026-06-30/2026-06-30_claude_closure_results/README.md,Coarse mesh; no GCI; property and sign-convention review remain open.
Salt 2 Jin,upcomer,R_prime,0.196,m-K/W,OF13 thermal extraction,diagnostic_mixed_convection,reports/2026-06/2026-06-30/2026-06-30_claude_closure_results/README.md,Coarse mesh; no GCI; property and sign-convention review remain open.
Salt 3 Jin,lower_leg,HTC,269,W/m2-K,OF13 thermal extraction,near_paper_ready_with_GCI_caveat,reports/2026-06/2026-06-30/2026-06-30_claude_closure_results/README.md,Coarse mesh; no GCI; property and sign-convention review remain open.
Salt 3 Jin,lower_leg,UA_prime,17.7,W/m-K,OF13 thermal extraction,near_paper_ready_with_GCI_caveat,reports/2026-06/2026-06-30/2026-06-30_claude_closure_results/README.md,Coarse mesh; no GCI; property and sign-convention review remain open.
Salt 3 Jin,lower_leg,R_prime,0.057,m-K/W,OF13 thermal extraction,near_paper_ready_with_GCI_caveat,reports/2026-06/2026-06-30/2026-06-30_claude_closure_results/README.md,Coarse mesh; no GCI; property and sign-convention review remain open.
Salt 3 Jin,upcomer,HTC,102,W/m2-K,OF13 thermal extraction,diagnostic_mixed_convection,reports/2026-06/2026-06-30/2026-06-30_claude_closure_results/README.md,Coarse mesh; no GCI; property and sign-convention review remain open.
Salt 3 Jin,upcomer,Nu,4.06,-,OF13 thermal extraction,diagnostic_mixed_convection,reports/2026-06/2026-06-30/2026-06-30_claude_closure_results/README.md,Coarse mesh; no GCI; property and sign-convention review remain open.
Salt 3 Jin,upcomer,R_prime,0.149,m-K/W,OF13 thermal extraction,diagnostic_mixed_convection,reports/2026-06/2026-06-30/2026-06-30_claude_closure_results/README.md,Coarse mesh; no GCI; property and sign-convention review remain open.
Salt 4 Jin,lower_leg,HTC,288,W/m2-K,OF13 thermal extraction,near_paper_ready_with_GCI_caveat,reports/2026-06/2026-06-30/2026-06-30_claude_closure_results/README.md,Coarse mesh; no GCI; property and sign-convention review remain open.
Salt 4 Jin,lower_leg,UA_prime,18.9,W/m-K,OF13 thermal extraction,near_paper_ready_with_GCI_caveat,reports/2026-06/2026-06-30/2026-06-30_claude_closure_results/README.md,Coarse mesh; no GCI; property and sign-convention review remain open.
Salt 4 Jin,lower_leg,R_prime,0.053,m-K/W,OF13 thermal extraction,near_paper_ready_with_GCI_caveat,reports/2026-06/2026-06-30/2026-06-30_claude_closure_results/README.md,Coarse mesh; no GCI; property and sign-convention review remain open.
Salt 4 Jin,upcomer,HTC,126,W/m2-K,OF13 thermal extraction,diagnostic_mixed_convection,reports/2026-06/2026-06-30/2026-06-30_claude_closure_results/README.md,Coarse mesh; no GCI; property and sign-convention review remain open.
Salt 4 Jin,upcomer,Nu,4.99,-,OF13 thermal extraction,diagnostic_mixed_convection,reports/2026-06/2026-06-30/2026-06-30_claude_closure_results/README.md,Coarse mesh; no GCI; property and sign-convention review remain open.
Salt 4 Jin,upcomer,R_prime,0.121,m-K/W,OF13 thermal extraction,diagnostic_mixed_convection,reports/2026-06/2026-06-30/2026-06-30_claude_closure_results/README.md,Coarse mesh; no GCI; property and sign-convention review remain open.
major_plus_feature_probe_baseline,loop,mean_mdot_abs_error,0.00025483952391472695,kg/s,local hydraulic replay,diagnostic resistance check,reports/2026-06/2026-06-29/2026-06-29_ethan_salt_pressure_drop_predictivity/local_hydraulic_replay_summary.csv,CFD pressure drive is prescribed; this is not coupled ROM predictivity.
major_plus_feature_endpoint_baseline,loop,mean_mdot_abs_error,0.48443225029948334,kg/s,local hydraulic replay,diagnostic resistance check,reports/2026-06/2026-06-29/2026-06-29_ethan_salt_pressure_drop_predictivity/local_hydraulic_replay_summary.csv,CFD pressure drive is prescribed; this is not coupled ROM predictivity.
major_only_baseline,loop,mean_mdot_abs_error,0.5539232734458288,kg/s,local hydraulic replay,diagnostic resistance check,reports/2026-06/2026-06-29/2026-06-29_ethan_salt_pressure_drop_predictivity/local_hydraulic_replay_summary.csv,CFD pressure drive is prescribed; this is not coupled ROM predictivity.
