qoi_label,case_id,current_coarse_candidate_exists,current_coarse_time_window_s,current_coarse_target_value,current_coarse_formula_sign_basis,strict_same_label_mesh_rows_coarse_medium_fine,direct_same_label_coarse_admitted,coarse_equivalence_admitted,formal_gci_unlocked,resolution,reason
Q_wall_W,salt_2,True,7915,23.1161370708,true,0;0;0,False,False,False,current_coarse_reference_candidate_only_not_equivalent_yet,"current-coarse reconstructed target rows exist, but the strict same-label mesh-level preflight has zero admitted coarse/medium/fine cells and medium/fine sampler rows come from a separate exact-label runtime family"
mdot_exchange_positive_outward_proxy_kg_s,salt_2,True,7915,2.68592194714e-05,true,0;0;0,False,False,False,current_coarse_reference_candidate_only_not_equivalent_yet,"current-coarse reconstructed target rows exist, but the strict same-label mesh-level preflight has zero admitted coarse/medium/fine cells and medium/fine sampler rows come from a separate exact-label runtime family"
tau_recirc_proxy_s,salt_2,True,7915,868.807159089,true,0;0;0,False,False,False,current_coarse_reference_candidate_only_not_equivalent_yet,"current-coarse reconstructed target rows exist, but the strict same-label mesh-level preflight has zero admitted coarse/medium/fine cells and medium/fine sampler rows come from a separate exact-label runtime family"
wall_core_bulk_temperature_contrast_K,salt_2,True,7915,-0.142156641269,true,0;0;0,False,False,False,current_coarse_reference_candidate_only_not_equivalent_yet,"current-coarse reconstructed target rows exist, but the strict same-label mesh-level preflight has zero admitted coarse/medium/fine cells and medium/fine sampler rows come from a separate exact-label runtime family"
Q_wall_W,salt_3,True,7618,25.3465488205,true,0;0;0,False,False,False,current_coarse_reference_candidate_only_not_equivalent_yet,"current-coarse reconstructed target rows exist, but the strict same-label mesh-level preflight has zero admitted coarse/medium/fine cells and medium/fine sampler rows come from a separate exact-label runtime family"
mdot_exchange_positive_outward_proxy_kg_s,salt_3,True,7618,4.23665968058e-05,true,0;0;0,False,False,False,current_coarse_reference_candidate_only_not_equivalent_yet,"current-coarse reconstructed target rows exist, but the strict same-label mesh-level preflight has zero admitted coarse/medium/fine cells and medium/fine sampler rows come from a separate exact-label runtime family"
tau_recirc_proxy_s,salt_3,True,7618,547.838912867,true,0;0;0,False,False,False,current_coarse_reference_candidate_only_not_equivalent_yet,"current-coarse reconstructed target rows exist, but the strict same-label mesh-level preflight has zero admitted coarse/medium/fine cells and medium/fine sampler rows come from a separate exact-label runtime family"
wall_core_bulk_temperature_contrast_K,salt_3,True,7618,-0.154280008347,true,0;0;0,False,False,False,current_coarse_reference_candidate_only_not_equivalent_yet,"current-coarse reconstructed target rows exist, but the strict same-label mesh-level preflight has zero admitted coarse/medium/fine cells and medium/fine sampler rows come from a separate exact-label runtime family"
Q_wall_W,salt_4,True,10000,28.1231837021,true,0;0;0,False,False,False,current_coarse_reference_candidate_only_not_equivalent_yet,"current-coarse reconstructed target rows exist, but the strict same-label mesh-level preflight has zero admitted coarse/medium/fine cells and medium/fine sampler rows come from a separate exact-label runtime family"
mdot_exchange_positive_outward_proxy_kg_s,salt_4,True,10000,7.65896288069e-05,true,0;0;0,False,False,False,current_coarse_reference_candidate_only_not_equivalent_yet,"current-coarse reconstructed target rows exist, but the strict same-label mesh-level preflight has zero admitted coarse/medium/fine cells and medium/fine sampler rows come from a separate exact-label runtime family"
tau_recirc_proxy_s,salt_4,True,10000,301.390653047,true,0;0;0,False,False,False,current_coarse_reference_candidate_only_not_equivalent_yet,"current-coarse reconstructed target rows exist, but the strict same-label mesh-level preflight has zero admitted coarse/medium/fine cells and medium/fine sampler rows come from a separate exact-label runtime family"
wall_core_bulk_temperature_contrast_K,salt_4,True,10000,-0.17053292931,true,0;0;0,False,False,False,current_coarse_reference_candidate_only_not_equivalent_yet,"current-coarse reconstructed target rows exist, but the strict same-label mesh-level preflight has zero admitted coarse/medium/fine cells and medium/fine sampler rows come from a separate exact-label runtime family"
