salt_label,source_id,span,leg_class,Re,D_m,L_m,x_plus,f_lam,f_corrected_over_flam,f3h_ratio,f4_residual,buoyancy_fraction_of_raw_grad,admitted,admission_note
salt_2,viscosity_screening_salt_test_2_jin_coarse_mesh,lower_leg,heater,67.99763118,0.02182133,0.35684162,0.24049194,0.94120926,2.66558843,1.08641142,2.4535718,2.19598482,True,mainline_jin_continuation
salt_2,viscosity_screening_salt_test_2_jin_coarse_mesh,right_leg,downcomer,61.15899206,0.02181496,0.36576,0.27414574,1.04645282,2.1940772,1.07580366,2.03947735,0.25998526,True,mainline_jin_continuation
salt_2,viscosity_screening_salt_test_2_jin_coarse_mesh,left_lower_leg,upcomer,71.12521668,0.02181496,0.12192,0.07857727,0.89982151,1.55121847,1.26446896,1.22677465,0.22721141,True,mainline_jin_continuation
salt_2,viscosity_screening_salt_test_2_jin_coarse_mesh,test_section_span,upcomer,68.79759596,0.0206921,0.09807273,0.06889224,0.93026506,1.46275706,1.30164862,1.1237726,1.20155464,True,mainline_jin_continuation
salt_2,viscosity_screening_salt_test_2_jin_coarse_mesh,left_upper_leg,upcomer,66.64763747,0.02181496,0.14309042,0.09841729,0.9602741,1.03688264,1.21115447,0.85611099,0.54041865,True,mainline_jin_continuation
salt_2,viscosity_screening_salt_test_2_jin_coarse_mesh,upper_leg,cooler,62.70523293,0.02182174,0.35687444,0.26080882,1.02064847,2.23337826,1.07968001,2.06855572,1.20599867,True,mainline_jin_continuation
salt_3,viscosity_screening_salt_test_3_jin_coarse_mesh,lower_leg,heater,90.20420441,0.02182133,0.35684162,0.18128736,0.7095013,2.7153993,1.11463155,2.43614073,2.62577973,True,mainline_jin_continuation
salt_3,viscosity_screening_salt_test_3_jin_coarse_mesh,right_leg,downcomer,84.74917869,0.02181496,0.36576,0.19783645,0.75516956,2.72167095,1.10504257,2.46295574,0.13658976,True,mainline_jin_continuation
salt_3,viscosity_screening_salt_test_3_jin_coarse_mesh,left_lower_leg,upcomer,96.77024671,0.02181496,0.12192,0.05775355,0.66136031,1.78724415,1.35982634,1.31431794,0.18991326,True,mainline_jin_continuation
salt_3,viscosity_screening_salt_test_3_jin_coarse_mesh,test_section_span,upcomer,91.05094039,0.0206921,0.09807273,0.0520546,0.70290323,1.19300968,1.39922021,0.85262468,1.87676684,True,mainline_jin_continuation
salt_3,viscosity_screening_salt_test_3_jin_coarse_mesh,left_upper_leg,upcomer,88.44346572,0.02181496,0.14309042,0.07416353,0.7236261,0.90558478,1.28020847,0.7073729,0.57159398,True,mainline_jin_continuation
salt_3,viscosity_screening_salt_test_3_jin_coarse_mesh,upper_leg,cooler,83.8618341,0.02182174,0.35687444,0.19501217,0.76316003,2.29750278,1.10656386,2.0762496,1.21455467,True,mainline_jin_continuation
salt_4,viscosity_screening_salt_test_4_jin_coarse_mesh,lower_leg,heater,122.60246141,0.02182133,0.35684162,0.13338135,0.52201236,2.87876236,1.15580327,2.49070274,2.1305165,True,mainline_jin_continuation
salt_4,viscosity_screening_salt_test_4_jin_coarse_mesh,right_leg,downcomer,117.99501141,0.02181496,0.36576,0.14209479,0.54239581,3.25888187,1.1462492,2.84308323,0.07570285,True,mainline_jin_continuation
salt_4,viscosity_screening_salt_test_4_jin_coarse_mesh,left_lower_leg,upcomer,134.88326392,0.02181496,0.12192,0.04143454,0.47448437,2.20917142,1.50154416,1.47126637,0.15902798,True,mainline_jin_continuation
salt_4,viscosity_screening_salt_test_4_jin_coarse_mesh,test_section_span,upcomer,123.66235291,0.0206921,0.09807273,0.03832711,0.51753827,1.0030683,1.54220759,0.65041069,2.37255265,True,mainline_jin_continuation
salt_4,viscosity_screening_salt_test_4_jin_coarse_mesh,left_upper_leg,upcomer,119.83306251,0.02181496,0.14309042,0.05473681,0.53407631,0.82086695,1.37965766,0.59497872,0.62664287,True,mainline_jin_continuation
salt_4,viscosity_screening_salt_test_4_jin_coarse_mesh,upper_leg,cooler,114.87772116,0.02182174,0.35687444,0.14236074,0.55711412,2.38043066,1.14597599,2.07720815,1.22776489,True,mainline_jin_continuation
