loop_region,model_slot,admission_status,fit_allowed_now,score_allowed_now,reason
heater,distributed_friction,diagnostic_only_until_mesh_recirc_pressure_gates,false,diagnostic,coarse_only_no_mesh_gci;no_geometry_distance_normalization;component_K_not_isolated;recirculation_mask
heater,entrance_or_reset_development,diagnostic_only,false,diagnostic,coarse_only_no_mesh_gci;no_geometry_distance_normalization;component_K_not_isolated;recirculation_mask
heater,named_component_K_if_bracketed,diagnostic_only_until_component_bracketing,false,diagnostic,coarse_only_no_mesh_gci;no_geometry_distance_normalization;component_K_not_isolated;recirculation_mask
cooler_HX,distributed_friction,diagnostic_only_until_mesh_recirc_pressure_gates,false,diagnostic,coarse_only_no_mesh_gci;no_geometry_distance_normalization;component_K_not_isolated;recirculation_mask
cooler_HX,reducer_or_expansion_K,diagnostic_only_until_component_bracketing,false,diagnostic,coarse_only_no_mesh_gci;no_geometry_distance_normalization;component_K_not_isolated;recirculation_mask
cooler_HX,reset_development,diagnostic_only,false,diagnostic,coarse_only_no_mesh_gci;no_geometry_distance_normalization;component_K_not_isolated;recirculation_mask
cooler_HX,HX_branch_apparent_loss,diagnostic_only_until_component_bracketing,false,diagnostic,coarse_only_no_mesh_gci;no_geometry_distance_normalization;component_K_not_isolated;recirculation_mask
downcomer,ordinary_or_branch_specific_distributed_friction,diagnostic_only_until_mesh_recirc_pressure_gates,false,diagnostic,coarse_only_no_mesh_gci;no_geometry_distance_normalization;component_K_not_isolated;recirculation_mask
downcomer,reset_development,diagnostic_only,false,diagnostic,coarse_only_no_mesh_gci;no_geometry_distance_normalization;component_K_not_isolated;recirculation_mask
downcomer,bend_or_junction_apparent_loss,diagnostic_only_until_component_bracketing,false,diagnostic,coarse_only_no_mesh_gci;no_geometry_distance_normalization;component_K_not_isolated;recirculation_mask
upcomer,hybrid_throughflow_pipe_plus_recirculation_cell,diagnostic_or_blocked_until_hybrid_model,false,diagnostic,recirculation_mask;upcomer_hybrid_lane_not_ordinary_pipe_fit;coarse_only_no_mesh_gci
upcomer,onset_diagnostic,diagnostic_or_blocked_until_hybrid_model,false,diagnostic,recirculation_mask;upcomer_hybrid_lane_not_ordinary_pipe_fit;coarse_only_no_mesh_gci
upcomer,no_true_single_stream_f_D_or_K_currently,diagnostic_only_until_component_bracketing,false,diagnostic,recirculation_mask;upcomer_hybrid_lane_not_ordinary_pipe_fit;coarse_only_no_mesh_gci
test_section,upcomer_hybrid_lane,diagnostic_or_blocked_until_hybrid_model,false,diagnostic,raw_two_tap_fit_admitted_rows_zero;component_length_policy_unresolved;coarse_only_no_mesh_gci
test_section,development_or_thermal_redevelopment,diagnostic_only,false,diagnostic,raw_two_tap_fit_admitted_rows_zero;component_length_policy_unresolved;coarse_only_no_mesh_gci
test_section,no_ordinary_fit_until_gate,diagnostic_only_until_mesh_recirc_pressure_gates,false,diagnostic,raw_two_tap_fit_admitted_rows_zero;component_length_policy_unresolved;coarse_only_no_mesh_gci
junction_stub_connector,localized_component_K_if_bracketed,diagnostic_only_until_component_bracketing,false,diagnostic,component_K_not_isolated;tap_length_proxy_abs_dz_not_centerline_length;K_local_upper_bound
junction_stub_connector,branch_apparent_loss,diagnostic_only_until_component_bracketing,false,diagnostic,component_K_not_isolated;tap_length_proxy_abs_dz_not_centerline_length;K_local_upper_bound
junction_stub_connector,mixing_or_recirc_diagnostic,diagnostic_only,false,diagnostic,component_K_not_isolated;tap_length_proxy_abs_dz_not_centerline_length;K_local_upper_bound
lower_upper_legs,branch-specific distributed_friction,diagnostic_only_until_mesh_recirc_pressure_gates,false,diagnostic,coarse_only_no_mesh_gci;no_geometry_distance_normalization;component_K_not_isolated;recirculation_mask
lower_upper_legs,reset/development after components,diagnostic_only,false,diagnostic,coarse_only_no_mesh_gci;no_geometry_distance_normalization;component_K_not_isolated;recirculation_mask
lower_upper_legs,roughness sensitivity,diagnostic_only,false,diagnostic,coarse_only_no_mesh_gci;no_geometry_distance_normalization;component_K_not_isolated;recirculation_mask
