source_id,salt,fluid,case_family,span,pressure_method,closure_fit_admissible,data_quality,quality_flags,friction_available,reynolds_number,apparent_darcy_f,laminar_ref_darcy_f_64_over_Re,excess_loss_factor_fapp_over_flam,dp_loss_ds_pa_per_m,dp_signed_ds_pa_per_m,hydraulic_diameter_m,segment_temperature_k,mu_pa_s_used,flow_alignment_min,thermal_available,htc_wm2k,uaprime_wmk,nu,pr_effective,wall_duty_Q_w,qprime_wall_wm,thermal_status,thermal_note,recirculation_available,backflow_area_fraction,recirculation_intensity,ri_section_median,ri_streamwise_median,ra_section_median,re_section_median,recirculation_status,model_cfd_dp_pa,model_dP_pa,model_pct_err,model_f_over_flam,run_job_id,run_job_state,run_case_label,run_family,run_case_verdict,run_operating_point_verdict,run_recommendation,source_files
salt1_jin_hiq_balq,1,salt,salt_jin,case_status,,no,false_steady,Q perturbation operating-point gate = false_steady.,no,,,,,,,,,,,no,,,,,,,,,no,,,,,,,,,,,,3265972,CANCELLED,salt1_jin_hiq_balq,salt_q_perturbation,stationary,false_steady,document_only_false_steady,work_products/2026-07-04_postprocessing_run_status_and_next_steps/run_status_inventory.csv
salt1_jin_loq_balq,1,salt,salt_jin,case_status,,no,false_steady,Q perturbation operating-point gate = false_steady.,no,,,,,,,,,,,no,,,,,,,,,no,,,,,,,,,,,,3265971,CANCELLED,salt1_jin_loq_balq,salt_q_perturbation,stationary,false_steady,document_only_false_steady,work_products/2026-07-04_postprocessing_run_status_and_next_steps/run_status_inventory.csv
salt2_jin_hi5q_balq,2,salt,salt_jin,case_status,,no,false_steady,Q perturbation operating-point gate = false_steady.,no,,,,,,,,,,,no,,,,,,,,,no,,,,,,,,,,,,3265971,CANCELLED,salt2_jin_hi5q_balq,salt_q_perturbation,stationary,false_steady,document_only_false_steady,work_products/2026-07-04_postprocessing_run_status_and_next_steps/run_status_inventory.csv
salt2_jin_hiq_balq,2,salt,salt_jin,case_status,,no,false_steady,Q perturbation operating-point gate = false_steady.,no,,,,,,,,,,,no,,,,,,,,,no,,,,,,,,,,,,3265972,CANCELLED,salt2_jin_hiq_balq,salt_q_perturbation,stationary,false_steady,document_only_false_steady,work_products/2026-07-04_postprocessing_run_status_and_next_steps/run_status_inventory.csv
salt2_jin_lo5q_balq,2,salt,salt_jin,case_status,,no,false_steady,Q perturbation operating-point gate = false_steady.,no,,,,,,,,,,,no,,,,,,,,,no,,,,,,,,,,,,3265971,CANCELLED,salt2_jin_lo5q_balq,salt_q_perturbation,stationary,false_steady,document_only_false_steady,work_products/2026-07-04_postprocessing_run_status_and_next_steps/run_status_inventory.csv
salt3_jin_hi5q_balq,3,salt,salt_jin,case_status,,no,false_steady,Q perturbation operating-point gate = false_steady.,no,,,,,,,,,,,no,,,,,,,,,no,,,,,,,,,,,,3265969,CANCELLED,salt3_jin_hi5q_balq,salt_q_perturbation,stationary,false_steady,document_only_false_steady,work_products/2026-07-04_postprocessing_run_status_and_next_steps/run_status_inventory.csv
salt3_jin_hiq_balq,3,salt,salt_jin,case_status,,no,false_steady,Q perturbation operating-point gate = false_steady.,no,,,,,,,,,,,no,,,,,,,,,no,,,,,,,,,,,,3265972,CANCELLED,salt3_jin_hiq_balq,salt_q_perturbation,stationary,false_steady,document_only_false_steady,work_products/2026-07-04_postprocessing_run_status_and_next_steps/run_status_inventory.csv
salt3_jin_lo5q_balq,3,salt,salt_jin,case_status,,no,false_steady,Q perturbation operating-point gate = false_steady.,no,,,,,,,,,,,no,,,,,,,,,no,,,,,,,,,,,,3265969,CANCELLED,salt3_jin_lo5q_balq,salt_q_perturbation,stationary,false_steady,document_only_false_steady,work_products/2026-07-04_postprocessing_run_status_and_next_steps/run_status_inventory.csv
salt4_jin_hi5q_balq,4,salt,salt_jin,case_status,,no,false_steady,Q perturbation operating-point gate = false_steady.,no,,,,,,,,,,,no,,,,,,,,,no,,,,,,,,,,,,3265969,CANCELLED,salt4_jin_hi5q_balq,salt_q_perturbation,stationary,false_steady,document_only_false_steady,work_products/2026-07-04_postprocessing_run_status_and_next_steps/run_status_inventory.csv
salt4_jin_hiq_balq,4,salt,salt_jin,case_status,,no,false_steady,Q perturbation operating-point gate = false_steady.,no,,,,,,,,,,,no,,,,,,,,,no,,,,,,,,,,,,3265971,CANCELLED,salt4_jin_hiq_balq,salt_q_perturbation,stationary,false_steady,document_only_false_steady,work_products/2026-07-04_postprocessing_run_status_and_next_steps/run_status_inventory.csv
salt4_jin_lo5q_balq,4,salt,salt_jin,case_status,,no,false_steady,Q perturbation operating-point gate = false_steady.,no,,,,,,,,,,,no,,,,,,,,,no,,,,,,,,,,,,3265969,CANCELLED,salt4_jin_lo5q_balq,salt_q_perturbation,stationary,false_steady,document_only_false_steady,work_products/2026-07-04_postprocessing_run_status_and_next_steps/run_status_inventory.csv
viscosity_screening_salt_test_2_jin_coarse_mesh,2,salt,salt_jin,downcomer,,yes_nominal_or_screen,usable_with_span_flags,thermal_blocked,no,,,,,,,,,,,yes,nan,nan,nan,,-23.117313813,nan,thermally_blocked_segment_right_leg,,no,,,,,,,,,,,,,,,,,,,work_products/2026-06-30_claude_thermal_htc/segment_htc_uaprime_viscosity_screening_salt_test_2_jin_coarse_mesh.csv
