case_key,wave,prior_job_id,prior_status,prior_mutation,lower_bound_reference_residual_w,balanced_cooling_branch_total_removal_w,replacement_job_id,replacement_job_name,replacement_status,action,notes
salt2_jin_hiq_hiins,bracket,3250783,canceled,heater_plus_insulation,+26.932005,163.282745,3251883,ethan_salt_hiqbal3,pending,rebuilt_in_place_and_repacked,"Baseline insulation restored; +10% heater kept; cooling branch re-solved from parent ledger."
salt2_jin_loq_loins,bracket,3250779,canceled,heater_plus_insulation,-26.207995,110.142745,3251884,ethan_salt_loqbal3,pending,rebuilt_in_place_and_repacked,"Baseline insulation restored; -10% heater kept; cooling branch re-solved from parent ledger."
salt3_jin_hiq_hiins,bracket,3250782,canceled,heater_plus_insulation,+30.722496,181.492135,3251883,ethan_salt_hiqbal3,pending,rebuilt_in_place_and_repacked,"Baseline insulation restored; +10% heater kept; cooling branch re-solved from parent ledger."
salt3_jin_loq_loins,bracket,3250781,canceled,heater_plus_insulation,-28.777504,121.992135,3251884,ethan_salt_loqbal3,pending,rebuilt_in_place_and_repacked,"Baseline insulation restored; -10% heater kept; cooling branch re-solved from parent ledger."
salt4_jin_hiq_hiins,bracket,3250778,canceled,heater_plus_insulation,+34.132410,203.359224,3251883,ethan_salt_hiqbal3,pending,rebuilt_in_place_and_repacked,"Baseline insulation restored; +10% heater kept; cooling branch re-solved from parent ledger."
salt4_jin_loq_loins,bracket,3250780,canceled,heater_plus_insulation,-33.387590,135.839224,3251884,ethan_salt_loqbal3,pending,rebuilt_in_place_and_repacked,"Baseline insulation restored; -10% heater kept; cooling branch re-solved from parent ledger."
salt1_jin_optins,optimum_insulation,3250784,canceled,insulation_only,,,,"",not_relaunched,canceled_by_heat_balance_gate,"No defensible <2 W 3D residual guarantee under the current fixed-Q cooling contract."
salt2_jin_optins,optimum_insulation,3250784,canceled,insulation_only,,,,"",not_relaunched,canceled_by_heat_balance_gate,"No defensible <2 W 3D residual guarantee under the current fixed-Q cooling contract."
salt3_jin_optins,optimum_insulation,3250784,canceled,insulation_only,,,,"",not_relaunched,canceled_by_heat_balance_gate,"No defensible <2 W 3D residual guarantee under the current fixed-Q cooling contract."
salt4_jin_optins,optimum_insulation,3250784,canceled,insulation_only,,,,"",not_relaunched,canceled_by_heat_balance_gate,"No defensible <2 W 3D residual guarantee under the current fixed-Q cooling contract."
