case_id,qoi_or_claim,proxy_value,unit,proxy_basis,can_support_trend_discussion,can_support_admission,admission_status,reason_not_admissible
salt_2,exchange_flux_proxy,0.0805548458516,kg/s,rho_recirc_proxy * abs(mean_Uy) * topology_interface_area_proxy,true,false,not_admissible_proxy_only,"missing released source-bounded CV, trusted exchange surface, trusted wall/core band, Q_wall_W, and same-window UQ"
salt_2,residence_time_proxy,1.38090988886,s,V_recirc_proxy / Q_exchange_proxy,true,false,not_admissible_proxy_only,"missing released source-bounded CV, trusted exchange surface, trusted wall/core band, Q_wall_W, and same-window UQ"
salt_2,wall_heat_flow_proxy,166.349260094,W,static source minus sink net; not wallHeatFlux over released wall band,true,false,not_admissible_proxy_only,"missing released source-bounded CV, trusted exchange surface, trusted wall/core band, Q_wall_W, and same-window UQ"
salt_2,surface_intensity_proxy,19676.9928298,W/m2,static q_net divided by diagnostic topology interface area,true,false,not_admissible_proxy_only,"missing released source-bounded CV, trusted exchange surface, trusted wall/core band, Q_wall_W, and same-window UQ"
salt_2,exchange_energy_per_mass_proxy,2065.04349099,J/kg,static q_net divided by mdot_exchange_proxy,true,false,not_admissible_proxy_only,"missing released source-bounded CV, trusted exchange surface, trusted wall/core band, Q_wall_W, and same-window UQ"
salt_3,exchange_flux_proxy,0.0964918191233,kg/s,rho_recirc_proxy * abs(mean_Uy) * topology_interface_area_proxy,true,false,not_admissible_proxy_only,"missing released source-bounded CV, trusted exchange surface, trusted wall/core band, Q_wall_W, and same-window UQ"
salt_3,residence_time_proxy,1.18344032993,s,V_recirc_proxy / Q_exchange_proxy,true,false,not_admissible_proxy_only,"missing released source-bounded CV, trusted exchange surface, trusted wall/core band, Q_wall_W, and same-window UQ"
salt_3,wall_heat_flow_proxy,183.730361326,W,static source minus sink net; not wallHeatFlux over released wall band,true,false,not_admissible_proxy_only,"missing released source-bounded CV, trusted exchange surface, trusted wall/core band, Q_wall_W, and same-window UQ"
salt_3,surface_intensity_proxy,20399.230787,W/m2,static q_net divided by diagnostic topology interface area,true,false,not_admissible_proxy_only,"missing released source-bounded CV, trusted exchange surface, trusted wall/core band, Q_wall_W, and same-window UQ"
salt_3,exchange_energy_per_mass_proxy,1904.10299024,J/kg,static q_net divided by mdot_exchange_proxy,true,false,not_admissible_proxy_only,"missing released source-bounded CV, trusted exchange surface, trusted wall/core band, Q_wall_W, and same-window UQ"
salt_4,exchange_flux_proxy,0.109435101294,kg/s,rho_recirc_proxy * abs(mean_Uy) * topology_interface_area_proxy,true,false,not_admissible_proxy_only,"missing released source-bounded CV, trusted exchange surface, trusted wall/core band, Q_wall_W, and same-window UQ"
salt_4,residence_time_proxy,1.04676755296,s,V_recirc_proxy / Q_exchange_proxy,true,false,not_admissible_proxy_only,"missing released source-bounded CV, trusted exchange surface, trusted wall/core band, Q_wall_W, and same-window UQ"
salt_4,wall_heat_flow_proxy,205.373184962,W,static source minus sink net; not wallHeatFlux over released wall band,true,false,not_admissible_proxy_only,"missing released source-bounded CV, trusted exchange surface, trusted wall/core band, Q_wall_W, and same-window UQ"
salt_4,surface_intensity_proxy,22940.1868549,W/m2,static q_net divided by diagnostic topology interface area,true,false,not_admissible_proxy_only,"missing released source-bounded CV, trusted exchange surface, trusted wall/core band, Q_wall_W, and same-window UQ"
salt_4,exchange_energy_per_mass_proxy,1876.66646746,J/kg,static q_net divided by mdot_exchange_proxy,true,false,not_admissible_proxy_only,"missing released source-bounded CV, trusted exchange surface, trusted wall/core band, Q_wall_W, and same-window UQ"
