source_id,case_label,case_order,span_name,span_kind,time_sample_count,mean_mdot_mean_abs_kg_s,mean_cp_bulk_j_kg_k,mean_t_bulk_in_k,mean_t_bulk_out_k,mean_enthalpy_change_w,mean_wall_heat_total_w,mean_enthalpy_minus_wall_heat_w,mean_abs_enthalpy_minus_wall_heat_w,enthalpy_residual_fraction_of_wall_heat,fit_status,fit_reason,bulk_temperature_method
val_salt_test_2_coarse_mesh_laminar,Salt 2 val,0,left_lower_leg,main_loop_leg,5,0.013690480217333333,1423.47,460.348592660356,460.11938902108807,-4.466717804464244,-7.956422195950617,3.4897043914863737,3.4897043914863737,0.4386022141035253,do_not_fit,enthalpy_wall_heat_balance_loose,stored bulk temperature is exact for the requested rho*u*cp weighting because Cp is constant in the case_config
val_salt_test_2_coarse_mesh_laminar,Salt 2 val,0,left_upper_leg,main_loop_leg,5,0.013690480217333333,1423.47,459.6104054738328,459.40018092292866,-4.096853445356745,-9.269180785574822,5.172327340218077,5.172327340218077,0.5580134274937781,do_not_fit,enthalpy_wall_heat_balance_loose,stored bulk temperature is exact for the requested rho*u*cp weighting because Cp is constant in the case_config
val_salt_test_2_coarse_mesh_laminar,Salt 2 val,0,lower_leg,main_loop_leg,5,0.013690452818000012,1423.47,458.9264086848858,451.30357322364233,-148.55342758979413,238.25268942636148,-386.8061170161556,386.8061170161556,1.6235120700944223,do_not_fit,enthalpy_wall_heat_balance_loose,stored bulk temperature is exact for the requested rho*u*cp weighting because Cp is constant in the case_config
val_salt_test_2_coarse_mesh_laminar,Salt 2 val,0,right_leg,main_loop_leg,5,0.013690487944000001,1423.47,459.45933600505595,449.6950400960228,-190.28658664053472,-22.211293126306014,-168.0752935142287,168.0752935142287,7.567109783228613,do_not_fit,enthalpy_wall_heat_balance_loose,stored bulk temperature is exact for the requested rho*u*cp weighting because Cp is constant in the case_config
val_salt_test_2_coarse_mesh_laminar,Salt 2 val,0,test_section_span,test_section_leg,5,0.013690490330000004,1423.47,459.6104054738328,460.11938902108807,9.919072529195303,-9.484921384585496,19.403993913780802,19.403993913780802,2.045772772066975,do_not_fit,enthalpy_wall_heat_balance_loose,stored bulk temperature is exact for the requested rho*u*cp weighting because Cp is constant in the case_config
val_salt_test_2_coarse_mesh_laminar,Salt 2 val,0,upper_leg,main_loop_leg,5,0.01369049988999999,1423.47,451.2955422506182,458.92625320223044,148.70741606730263,-148.21172048940292,296.91913655670555,296.91913655670555,2.003344509977098,do_not_fit,enthalpy_wall_heat_balance_loose,stored bulk temperature is exact for the requested rho*u*cp weighting because Cp is constant in the case_config
viscosity_screening_salt_test_1_jin_coarse_mesh,Salt 1 Jin,1,left_lower_leg,main_loop_leg,4,0.011264835955833337,1423.47,437.02823586738964,436.8574154218568,-2.7391324984849366,-7.07052708842706,4.331394589942123,4.331394589942123,0.61259854262233,do_not_fit,enthalpy_wall_heat_balance_loose,stored bulk temperature is exact for the requested rho*u*cp weighting because Cp is constant in the case_config
viscosity_screening_salt_test_1_jin_coarse_mesh,Salt 1 Jin,1,left_upper_leg,main_loop_leg,4,0.011264835955833339,1423.47,436.5962136035511,436.4469734599412,-2.3930889898696277,-8.297821087578964,5.904732097709337,5.904732097709337,0.7116003147559002,do_not_fit,enthalpy_wall_heat_balance_loose,stored bulk temperature is exact for the requested rho*u*cp weighting because Cp is constant in the case_config
viscosity_screening_salt_test_1_jin_coarse_mesh,Salt 1 Jin,1,lower_leg,main_loop_leg,4,0.011264944452499995,1423.47,436.0608869903351,427.04589430185433,-144.5582067340766,207.42153533001957,-351.9797420640962,351.9797420640962,1.6969295955893693,do_not_fit,enthalpy_wall_heat_balance_loose,stored bulk temperature is exact for the requested rho*u*cp weighting because Cp is constant in the case_config
viscosity_screening_salt_test_1_jin_coarse_mesh,Salt 1 Jin,1,right_leg,main_loop_leg,4,0.011264811874999999,1423.47,436.4436078217899,425.58469989861555,-174.12391072833248,-19.814255781360654,-154.30965494697182,154.30965494697182,7.787809779468553,do_not_fit,enthalpy_wall_heat_balance_loose,stored bulk temperature is exact for the requested rho*u*cp weighting because Cp is constant in the case_config
