source_path,use,exists
work_products/2026-07/2026-07-22/2026-07-22_thesis_latex_evidence_packet_governing_equations_glossary/README.md,read_only_evidence,true
work_products/2026-07/2026-07-22/2026-07-22_thesis_latex_evidence_packet_governing_equations_glossary/governing_equation_ledger.csv,read_only_evidence,true
work_products/2026-07/2026-07-22/2026-07-22_thesis_latex_evidence_packet_governing_equations_glossary/symbol_glossary.csv,read_only_evidence,true
work_products/2026-07/2026-07-22/2026-07-22_thesis_latex_evidence_packet_governing_equations_glossary/runtime_legality_ledger.csv,read_only_evidence,true
work_products/2026-07/2026-07-22/2026-07-22_thesis_master_model_form_scoreboard/README.md,read_only_evidence,true
work_products/2026-07/2026-07-22/2026-07-22_thesis_master_model_form_scoreboard/master_model_form_scoreboard.csv,read_only_evidence,true
work_products/2026-07/2026-07-22/2026-07-22_thesis_model_form_scoreboard_training_roster/README.md,read_only_evidence,true
work_products/2026-07/2026-07-22/2026-07-22_thesis_model_form_scoreboard_training_roster/model_form_training_roster.csv,read_only_evidence,true
work_products/2026-07/2026-07-22/2026-07-22_thesis_evidence_packet_ch7_ch8_results_negative_blocked/README.md,read_only_evidence,true
work_products/2026-07/2026-07-22/2026-07-22_1d_final_pressure_energy_basis_and_bc_equivalence_contract/README.md,read_only_evidence,true
work_products/2026-07/2026-07-22/2026-07-22_1d_final_property_package_selection_gate/README.md,read_only_evidence,true
work_products/2026-07/2026-07-22/2026-07-22_1d_recirculation_switch_dry_contract/README.md,read_only_evidence,true
work_products/2026-07/2026-07-22/2026-07-22_thesis_source_property_release_unblock_study/README.md,read_only_evidence,true
work_products/2026-07/2026-07-22/2026-07-22_thesis_sensor_projection_appendix_table_packet/README.md,read_only_evidence,true
work_products/2026-07/2026-07-22/2026-07-22_thesis_cfd_run_qoi_split_chart/README.md,read_only_evidence,true
