case_id,source_id,plane_label,control_volume,control_volume_group,interface_role,span,fraction_along_span,x,y,z,nx,ny,nz,normal_positive_direction,geometry_source,notes
salt_2,viscosity_screening_salt_test_2_jin_coarse_mesh,heater_interior__cv_inlet_bracket,heater_interior,heater,cv_inlet_bracket,lower_leg,0.33333333,0.3330881713,-0.0791208788,0,0.9391852887,-0.3434108231,0,mesh_station_s00_to_s04,work_products/2026-07/2026-07-01/2026-07-01_claude_mesh_centerlines/viscosity_screening_salt_test_2_jin_coarse_mesh/mesh_stations.json,"Brackets pipeleg_lower_04_straight through pipeleg_lower_06_straight, not the full lower leg."
salt_2,viscosity_screening_salt_test_2_jin_coarse_mesh,heater_interior__cv_outlet_bracket,heater_interior,heater,cv_outlet_bracket,lower_leg,0.66666667,0.5544311859,-0.1663047183,0,0.9391852887,-0.3434108231,-0,mesh_station_s00_to_s04,work_products/2026-07/2026-07-01/2026-07-01_claude_mesh_centerlines/viscosity_screening_salt_test_2_jin_coarse_mesh/mesh_stations.json,"Brackets pipeleg_lower_04_straight through pipeleg_lower_06_straight, not the full lower leg."
salt_2,viscosity_screening_salt_test_2_jin_coarse_mesh,cooler_reducer_interior__cv_inlet_bracket,cooler_reducer_interior,cooler_reducer,cv_inlet_bracket,upper_leg,0.33333333,0.3330746279,0.8703900902,-0,0.9392633054,-0.3431973821,-0,mesh_station_s00_to_s04,work_products/2026-07/2026-07-01/2026-07-01_claude_mesh_centerlines/viscosity_screening_salt_test_2_jin_coarse_mesh/mesh_stations.json,"Brackets pipeleg_upper_06_reducer, pipeleg_upper_05_cooler, and pipeleg_upper_04_reducer."
salt_2,viscosity_screening_salt_test_2_jin_coarse_mesh,cooler_reducer_interior__cv_outlet_bracket,cooler_reducer_interior,cooler_reducer,cv_outlet_bracket,upper_leg,0.66666667,0.5544447293,0.7832153127,-0,0.9392633054,-0.3431973821,0,mesh_station_s00_to_s04,work_products/2026-07/2026-07-01/2026-07-01_claude_mesh_centerlines/viscosity_screening_salt_test_2_jin_coarse_mesh/mesh_stations.json,"Brackets pipeleg_upper_06_reducer, pipeleg_upper_05_cooler, and pipeleg_upper_04_reducer."
salt_2,viscosity_screening_salt_test_2_jin_coarse_mesh,lower_left_junction__lower_leg_face,lower_left_junction,junction,lower_leg_face,lower_leg,0.05555556,0.1457425603,-0.0163381873,-0,0.9525459152,-0.3043949399,0,mesh_station_s00_to_s04,work_products/2026-07/2026-07-01/2026-07-01_claude_mesh_centerlines/viscosity_screening_salt_test_2_jin_coarse_mesh/mesh_stations.json,Brackets a junction control-volume face just inside the adjacent pipe span.
salt_2,viscosity_screening_salt_test_2_jin_coarse_mesh,lower_left_junction__left_lower_leg_face,lower_left_junction,junction,left_lower_leg_face,left_lower_leg,0.25,0,0.1101266389,-0,-0,1,-0,mesh_station_s00_to_s04,work_products/2026-07/2026-07-01/2026-07-01_claude_mesh_centerlines/viscosity_screening_salt_test_2_jin_coarse_mesh/mesh_stations.json,Brackets a junction control-volume face just inside the adjacent pipe span.
salt_2,viscosity_screening_salt_test_2_jin_coarse_mesh,lower_right_junction__lower_leg_face,lower_right_junction,junction,lower_leg_face,lower_leg,0.94444444,0.7417767969,-0.2290874098,0,0.9525459152,-0.3043949399,0,mesh_station_s00_to_s04,work_products/2026-07/2026-07-01/2026-07-01_claude_mesh_centerlines/viscosity_screening_salt_test_2_jin_coarse_mesh/mesh_stations.json,Brackets a junction control-volume face just inside the adjacent pipe span.
salt_2,viscosity_screening_salt_test_2_jin_coarse_mesh,lower_right_junction__right_leg_face,lower_right_junction,junction,right_leg_face,right_leg,0.16666667,0.8875193572,-0.0145078472,-0,0,1,-0,mesh_station_s00_to_s04,work_products/2026-07/2026-07-01/2026-07-01_claude_mesh_centerlines/viscosity_screening_salt_test_2_jin_coarse_mesh/mesh_stations.json,Brackets a junction control-volume face just inside the adjacent pipe span.
salt_2,viscosity_screening_salt_test_2_jin_coarse_mesh,upper_right_junction__right_leg_face,upper_right_junction,junction,right_leg_face,right_leg,0.83333333,0.8875193572,0.4731721528,-0,-0,1,-0,mesh_station_s00_to_s04,work_products/2026-07/2026-07-01/2026-07-01_claude_mesh_centerlines/viscosity_screening_salt_test_2_jin_coarse_mesh/mesh_stations.json,Brackets a junction control-volume face just inside the adjacent pipe span.
salt_2,viscosity_screening_salt_test_2_jin_coarse_mesh,upper_right_junction__upper_leg_face,upper_right_junction,junction,upper_leg_face,upper_leg,0.94444444,0.7421922402,0.720373896,0,0.9526669108,-0.3040160475,0,mesh_station_s00_to_s04,work_products/2026-07/2026-07-01/2026-07-01_claude_mesh_centerlines/viscosity_screening_salt_test_2_jin_coarse_mesh/mesh_stations.json,Brackets a junction control-volume face just inside the adjacent pipe span.
salt_2,viscosity_screening_salt_test_2_jin_coarse_mesh,upper_left_junction__upper_leg_face,upper_left_junction,junction,upper_leg_face,upper_leg,0.05555556,0.145327117,0.9332315068,0,0.9526669108,-0.3040160475,-0,mesh_station_s00_to_s04,work_products/2026-07/2026-07-01/2026-07-01_claude_mesh_centerlines/viscosity_screening_salt_test_2_jin_coarse_mesh/mesh_stations.json,Brackets a junction control-volume face just inside the adjacent pipe span.
salt_2,viscosity_screening_salt_test_2_jin_coarse_mesh,upper_left_junction__left_upper_leg_face,upper_left_junction,junction,left_upper_leg_face,left_upper_leg,0.75,-0,0.8243582627,0,0,1,0,mesh_station_s00_to_s04,work_products/2026-07/2026-07-01/2026-07-01_claude_mesh_centerlines/viscosity_screening_salt_test_2_jin_coarse_mesh/mesh_stations.json,Brackets a junction control-volume face just inside the adjacent pipe span.
salt_2,viscosity_screening_salt_test_2_jin_coarse_mesh,test_section_lower_junction__left_lower_leg_face,test_section_lower_junction,junction,left_lower_leg_face,left_lower_leg,0.75,0,0.2320466389,-0,-0,1,0,mesh_station_s00_to_s04,work_products/2026-07/2026-07-01/2026-07-01_claude_mesh_centerlines/viscosity_screening_salt_test_2_jin_coarse_mesh/mesh_stations.json,Brackets a junction control-volume face just inside the adjacent pipe span.
salt_2,viscosity_screening_salt_test_2_jin_coarse_mesh,test_section_lower_junction__test_section_face,test_section_lower_junction,junction,test_section_face,test_section_span,0.83333333,0,0.3834616811,-0,-0,-1,0,mesh_station_s00_to_s04,work_products/2026-07/2026-07-01/2026-07-01_claude_mesh_centerlines/viscosity_screening_salt_test_2_jin_coarse_mesh/mesh_stations.json,Brackets a junction control-volume face just inside the adjacent pipe span.
salt_2,viscosity_screening_salt_test_2_jin_coarse_mesh,test_section_upper_junction__test_section_face,test_section_upper_junction,junction,test_section_face,test_section_span,0.16666667,0,0.5148178189,-0,-0,-1,0,mesh_station_s00_to_s04,work_products/2026-07/2026-07-01/2026-07-01_claude_mesh_centerlines/viscosity_screening_salt_test_2_jin_coarse_mesh/mesh_stations.json,Brackets a junction control-volume face just inside the adjacent pipe span.
