path,role,exists
work_products/2026-07/2026-07-14/2026-07-14_pm5_corrected_q_matched_plane_unlock/pm5_matched_plane_case_list.csv,read_only_case_list,True
work_products/2026-07/2026-07-14/2026-07-14_pm5_corrected_q_matched_plane_unlock/scripts/pm5_matched_plane_helper.py,read_only_pm5_helper,True
tools/ofenv/of13_env.sh,read_only_openfoam_env,True
work_products/2026-07/2026-07-15/2026-07-15_pm5_wall_band_vtk_and_f6_unlock_repair,generated_work_product,True
tmp/2026-07-15_pm5_wall_band_vtk_and_f6_unlock_repair,generated_diagnostic_scratch,True
jadyn_runs/modern_runs/2026-07-04_corrected_salt_q_perturbations/runs/salt2_jin_lo5q_corrected/case_stage/viscosity_screening_salt_test_2_jin_coarse_mesh_continuation,read_only_source_case:salt2_lo5q,True
work_products/2026-07/2026-07-01/2026-07-01_claude_mesh_centerlines/viscosity_screening_salt_test_2_jin_coarse_mesh/mesh_stations.json,read_only_mesh_stations:salt2_lo5q,True
jadyn_runs/modern_runs/2026-07-04_corrected_salt_q_perturbations/runs/salt2_jin_hi5q_corrected/case_stage/viscosity_screening_salt_test_2_jin_coarse_mesh_continuation,read_only_source_case:salt2_hi5q,True
work_products/2026-07/2026-07-01/2026-07-01_claude_mesh_centerlines/viscosity_screening_salt_test_2_jin_coarse_mesh/mesh_stations.json,read_only_mesh_stations:salt2_hi5q,True
jadyn_runs/modern_runs/2026-07-04_corrected_salt_q_perturbations/runs/salt4_jin_lo5q_corrected/case_stage/viscosity_screening_salt_test_4_jin_coarse_mesh_continuation,read_only_source_case:salt4_lo5q,True
work_products/2026-07/2026-07-01/2026-07-01_claude_mesh_centerlines/viscosity_screening_salt_test_4_jin_coarse_mesh/mesh_stations.json,read_only_mesh_stations:salt4_lo5q,True
jadyn_runs/modern_runs/2026-07-04_corrected_salt_q_perturbations/runs/salt4_jin_hi5q_corrected/case_stage/viscosity_screening_salt_test_4_jin_coarse_mesh_continuation,read_only_source_case:salt4_hi5q,True
work_products/2026-07/2026-07-01/2026-07-01_claude_mesh_centerlines/viscosity_screening_salt_test_4_jin_coarse_mesh/mesh_stations.json,read_only_mesh_stations:salt4_hi5q,True
