group,label,x_m,y_m,z_m
TP,TP1,0.887519,0.704090,0.000000
TP,TP2,0.887519,-0.245426,0.000000
TP,TP3,-0.000000,0.000000,0.000000
TP,TP4,-0.000000,0.323501,0.000000
TP,TP5,-0.000000,0.574779,0.000000
TP,TP6,-0.000000,0.949515,0.000000
TW,TW10_back,0.443760,0.826803,-0.010497
TW,TW10_bottom,0.443760,0.816306,0.000000
TW,TW10_front,0.443760,0.826803,0.010497
TW,TW10_top,0.443760,0.837299,0.000000
TW,TW11_back,0.282856,0.890185,-0.010497
TW,TW11_bottom,0.282856,0.879688,0.000000
TW,TW11_front,0.282856,0.890185,0.010497
TW,TW11_top,0.282856,0.900681,0.000000
TW,TW1_back,0.887519,0.534132,-0.010497
TW,TW1_bottom,0.877023,0.534132,0.000000
TW,TW1_front,0.887519,0.534132,0.010497
TW,TW1_top,0.898016,0.534132,0.000000
TW,TW2_back,0.887519,0.229332,-0.010497
TW,TW2_bottom,0.877023,0.229332,0.000000
TW,TW2_front,0.887519,0.229332,0.010497
TW,TW2_top,0.898016,0.229332,0.000000
TW,TW3_back,0.887519,-0.075468,-0.010497
TW,TW3_bottom,0.887519,-0.085964,0.000000
TW,TW3_front,0.887519,-0.075468,0.010497
TW,TW3_top,0.887519,-0.064971,0.000000
TW,TW4_back,0.648452,-0.203343,-0.010497
TW,TW4_bottom,0.648452,-0.213840,0.000000
TW,TW4_front,0.648452,-0.203343,0.010497
TW,TW4_top,0.648452,-0.192847,0.000000
TW,TW5_back,0.443760,-0.122713,-0.010497
TW,TW5_bottom,0.443760,-0.133209,0.000000
TW,TW5_front,0.443760,-0.122713,0.010497
TW,TW5_top,0.443760,-0.112216,0.000000
TW,TW6_back,0.239068,-0.042083,-0.010497
TW,TW6_bottom,0.239068,-0.052579,0.000000
TW,TW6_front,0.239068,-0.042083,0.010497
TW,TW6_top,0.239068,-0.031586,0.000000
TW,TW7_back,-0.000000,0.169958,-0.010497
TW,TW7_bottom,0.010497,0.169958,0.000000
TW,TW7_front,-0.000000,0.169958,0.010497
TW,TW7_top,-0.010497,0.169958,0.000000
TW,TW8_back,-0.000000,0.753940,-0.010497
TW,TW8_bottom,0.010497,0.753940,0.000000
TW,TW8_front,-0.000000,0.753940,0.010497
TW,TW8_top,-0.010497,0.753940,0.000000
TW,TW9_back,0.604664,0.763421,-0.010497
TW,TW9_bottom,0.604664,0.752924,0.000000
TW,TW9_front,0.604664,0.763421,0.010497
TW,TW9_top,0.604664,0.773917,0.000000
