asset_id,asset_kind,staged_status,target_section,target_use,allowed_scope,required_caveat,source_package,source_path,staged_pdf,staged_png,staged_svg
salt2_family_heat_loss,figure,ready_for_paper_task,04_salt_family_results,main_text,Salt 2 family subset only,Use the family-level redistribution framing only; this subset inherits the campaign heat-loss definitions.,reports/2026-06-15_ethan_field_transport_campaign/summary.json,reports/2026-06-15_ethan_field_transport_campaign/field_transport_streamwise_heat_comparison.csv,reports/2026-06-18_ethan_salt_paper_handoff_package/figures/pdf/salt_paper_salt2_heat_loss.pdf,reports/2026-06-18_ethan_salt_paper_handoff_package/figures/png/salt_paper_salt2_heat_loss.png,reports/2026-06-18_ethan_salt_paper_handoff_package/figures/svg/salt_paper_salt2_heat_loss.svg
salt4_family_heat_loss,figure,ready_for_paper_task,04_salt_family_results,main_text,Salt 4 family subset only,Use the family-level redistribution framing only; this subset inherits the campaign heat-loss definitions.,reports/2026-06-15_ethan_field_transport_campaign/summary.json,reports/2026-06-15_ethan_field_transport_campaign/field_transport_streamwise_heat_comparison.csv,reports/2026-06-18_ethan_salt_paper_handoff_package/figures/pdf/salt_paper_salt4_heat_loss.pdf,reports/2026-06-18_ethan_salt_paper_handoff_package/figures/png/salt_paper_salt4_heat_loss.png,reports/2026-06-18_ethan_salt_paper_handoff_package/figures/svg/salt_paper_salt4_heat_loss.svg
salt2_family_azimuthal_means,figure,ready_for_paper_task,04_salt_family_results,main_text_with_caveat,Salt 2 circumferential means only,Keep the narration at the circumferential-mean trend level; do not present this as full theta-resolution evidence.,reports/2026-06-15_ethan_field_transport_campaign/summary.json,reports/2026-06-15_ethan_field_transport_campaign/field_transport_azimuthal_transport_comparison.csv,reports/2026-06-18_ethan_salt_paper_handoff_package/figures/pdf/salt_paper_salt2_azimuthal_means.pdf,reports/2026-06-18_ethan_salt_paper_handoff_package/figures/png/salt_paper_salt2_azimuthal_means.png,reports/2026-06-18_ethan_salt_paper_handoff_package/figures/svg/salt_paper_salt2_azimuthal_means.svg
salt4_family_azimuthal_means,figure,ready_for_paper_task,04_salt_family_results,main_text_with_caveat,Salt 4 circumferential means only,Keep the narration at the circumferential-mean trend level; do not present this as full theta-resolution evidence.,reports/2026-06-15_ethan_field_transport_campaign/summary.json,reports/2026-06-15_ethan_field_transport_campaign/field_transport_azimuthal_transport_comparison.csv,reports/2026-06-18_ethan_salt_paper_handoff_package/figures/pdf/salt_paper_salt4_azimuthal_means.pdf,reports/2026-06-18_ethan_salt_paper_handoff_package/figures/png/salt_paper_salt4_azimuthal_means.png,reports/2026-06-18_ethan_salt_paper_handoff_package/figures/svg/salt_paper_salt4_azimuthal_means.svg
salt2_hydraulic_mechanism,figure,ready_for_paper_task,05_salt2_mechanism_results,main_text_with_caveat,Salt 2 broad redistribution only,Narrate only the broad hydraulic redistribution; do not anchor claims on local direct-vs-shear disagreement spikes.,reports/2026-06-15_ethan_representative_transport_comparison/summary.json,reports/2026-06-15_ethan_representative_transport_comparison/representative_transport_profiles.csv,reports/2026-06-18_ethan_salt_paper_handoff_package/figures/pdf/salt_paper_salt2_friction_pressure_zoomed.pdf,reports/2026-06-18_ethan_salt_paper_handoff_package/figures/png/salt_paper_salt2_friction_pressure_zoomed.png,reports/2026-06-18_ethan_salt_paper_handoff_package/figures/svg/salt_paper_salt2_friction_pressure_zoomed.svg
salt2_effective_thermal_mechanism,figure,ready_for_paper_task,05_salt2_mechanism_results,main_text_with_caveat,Safe Salt 2 thermal regions only,The manuscript should narrate only branch or loop regions that pass the thermal support rubric.,reports/2026-06-15_ethan_representative_transport_comparison/summary.json,reports/2026-06-15_ethan_representative_transport_comparison/figures/pdf/representative_thermal_and_resistance.pdf,/scratch/09748/andresfierro231/projects_scratch/ethan_runs/reports/2026-06-18_ethan_salt_paper_handoff_package/figures/pdf/salt_paper_salt2_thermal_and_resistance.pdf,/scratch/09748/andresfierro231/projects_scratch/ethan_runs/reports/2026-06-18_ethan_salt_paper_handoff_package/figures/png/salt_paper_salt2_thermal_and_resistance.png,/scratch/09748/andresfierro231/projects_scratch/ethan_runs/reports/2026-06-18_ethan_salt_paper_handoff_package/figures/svg/salt_paper_salt2_thermal_and_resistance.svg
salt2_branch_thermal_safe_subset,figure,ready_for_paper_task,05_salt2_mechanism_results,candidate_main_text,"left_lower_leg, test_section_span, left_upper_leg, upcomer",This branch view is restricted to scrutiny-approved Salt 2 branches and intentionally omits corners and junctions.,reports/2026-06-15_ethan_representative_transport_comparison/summary.json,reports/2026-06-15_ethan_representative_transport_comparison/representative_branch_thermal_summary.csv,reports/2026-06-18_ethan_salt_paper_handoff_package/figures/pdf/salt_paper_salt2_branch_thermal_safe_subset.pdf,reports/2026-06-18_ethan_salt_paper_handoff_package/figures/png/salt_paper_salt2_branch_thermal_safe_subset.png,reports/2026-06-18_ethan_salt_paper_handoff_package/figures/svg/salt_paper_salt2_branch_thermal_safe_subset.svg
salt_family_branch_thermal_safe_subset,figure,ready_for_paper_task,04_salt_family_results,candidate_main_text,"Salt 2 and Salt 4, safe branches only",Only the scrutiny-approved branches are shown; right-leg and lower-leg thermal headline claims remain blocked.,reports/2026-06-15_ethan_field_transport_campaign/summary.json,reports/2026-06-15_ethan_field_transport_campaign/field_transport_branch_thermal_comparison.csv,reports/2026-06-18_ethan_salt_paper_handoff_package/figures/pdf/salt_paper_family_branch_thermal_safe_subset.pdf,reports/2026-06-18_ethan_salt_paper_handoff_package/figures/png/salt_paper_family_branch_thermal_safe_subset.png,reports/2026-06-18_ethan_salt_paper_handoff_package/figures/svg/salt_paper_family_branch_thermal_safe_subset.svg
salt_family_branch_trust_heatmap,figure,appendix_support_only,appendix_support,appendix_support,"All Salt branches, trust-only diagnostic",Use only as support to explain why some branches were promoted and others were withheld.,reports/2026-06-18_ethan_transport_analysis_package/summary.json,reports/2026-06-18_ethan_transport_analysis_package/figures/pdf/transport_analysis_salt_branch_trust.pdf,/scratch/09748/andresfierro231/projects_scratch/ethan_runs/reports/2026-06-18_ethan_salt_paper_handoff_package/figures/pdf/salt_paper_salt_branch_trust_heatmap.pdf,/scratch/09748/andresfierro231/projects_scratch/ethan_runs/reports/2026-06-18_ethan_salt_paper_handoff_package/figures/png/salt_paper_salt_branch_trust_heatmap.png,/scratch/09748/andresfierro231/projects_scratch/ethan_runs/reports/2026-06-18_ethan_salt_paper_handoff_package/figures/svg/salt_paper_salt_branch_trust_heatmap.svg
salt_family_branch_support_qc,figure,appendix_support_only,appendix_support,appendix_support,Safe Salt branches only,"This is a QC support figure, not a headline result figure.",reports/2026-06-18_ethan_transport_analysis_package/summary.json,reports/2026-06-18_ethan_transport_analysis_package/figures/pdf/transport_analysis_salt_safe_branch_support.pdf,/scratch/09748/andresfierro231/projects_scratch/ethan_runs/reports/2026-06-18_ethan_salt_paper_handoff_package/figures/pdf/salt_paper_salt_safe_branch_support.pdf,/scratch/09748/andresfierro231/projects_scratch/ethan_runs/reports/2026-06-18_ethan_salt_paper_handoff_package/figures/png/salt_paper_salt_safe_branch_support.png,/scratch/09748/andresfierro231/projects_scratch/ethan_runs/reports/2026-06-18_ethan_salt_paper_handoff_package/figures/svg/salt_paper_salt_safe_branch_support.svg
salt_family_branch_thermal_table,table,ready_for_paper_task,04_salt_family_results,table_candidate,Safe-branch subset can be filtered from the staged CSV,Use only the scrutiny-approved Salt branches if promoted into the manuscript body.,reports/2026-06-15_ethan_field_transport_campaign/summary.json,reports/2026-06-15_ethan_field_transport_campaign/field_transport_branch_thermal_comparison.csv,,,
salt2_branch_thermal_table,table,ready_for_paper_task,05_salt2_mechanism_results,table_candidate,Safe Salt 2 branches only,Use only the scrutiny-approved Salt 2 branches if promoted into the manuscript body.,reports/2026-06-15_ethan_representative_transport_comparison/summary.json,reports/2026-06-15_ethan_representative_transport_comparison/representative_branch_thermal_summary.csv,,,
