evidence_id,case_key,reported_location_or_span,corrected_parent_leg,reverse_area_fraction,reverse_mass_fraction,allowed_label_now,excluded_single_stream_labels,reason,source_path
salt2_lo5q:upcomer_inlet:left_lower_leg,salt2_lo5q,upcomer_inlet,upcomer_left_vertical,0.6177451405,0.5000044571,Nu_section_effective_upcomer_diagnostic; apparent_pressure_or_onset_diagnostic,Nu; f_D; K,test section is an upcomer subspan; material recirculation invalidates single-stream Nu/f_D/K fit,work_products/2026-07/2026-07-15/2026-07-15_pm5_wall_band_vtk_and_f6_unlock_repair/resampled_pm5_matched_plane_metrics.csv
salt2_lo5q:upcomer_mid:test_section_span,salt2_lo5q,upcomer_mid,upcomer_left_vertical,0.3692928784,0.5000060995,Nu_section_effective_upcomer_diagnostic; apparent_pressure_or_onset_diagnostic,Nu; f_D; K,test section is an upcomer subspan; material recirculation invalidates single-stream Nu/f_D/K fit,work_products/2026-07/2026-07-15/2026-07-15_pm5_wall_band_vtk_and_f6_unlock_repair/resampled_pm5_matched_plane_metrics.csv
salt2_lo5q:upcomer_outlet:left_upper_leg,salt2_lo5q,upcomer_outlet,upcomer_left_vertical,0.7901396438,0.5000621677,Nu_section_effective_upcomer_diagnostic; apparent_pressure_or_onset_diagnostic,Nu; f_D; K,test section is an upcomer subspan; material recirculation invalidates single-stream Nu/f_D/K fit,work_products/2026-07/2026-07-15/2026-07-15_pm5_wall_band_vtk_and_f6_unlock_repair/resampled_pm5_matched_plane_metrics.csv
salt2_hi5q:upcomer_inlet:left_lower_leg,salt2_hi5q,upcomer_inlet,upcomer_left_vertical,0.6096763649,0.4999936722,Nu_section_effective_upcomer_diagnostic; apparent_pressure_or_onset_diagnostic,Nu; f_D; K,test section is an upcomer subspan; material recirculation invalidates single-stream Nu/f_D/K fit,work_products/2026-07/2026-07-15/2026-07-15_pm5_wall_band_vtk_and_f6_unlock_repair/resampled_pm5_matched_plane_metrics.csv
salt2_hi5q:upcomer_mid:test_section_span,salt2_hi5q,upcomer_mid,upcomer_left_vertical,0.3748113482,0.4999916556,Nu_section_effective_upcomer_diagnostic; apparent_pressure_or_onset_diagnostic,Nu; f_D; K,test section is an upcomer subspan; material recirculation invalidates single-stream Nu/f_D/K fit,work_products/2026-07/2026-07-15/2026-07-15_pm5_wall_band_vtk_and_f6_unlock_repair/resampled_pm5_matched_plane_metrics.csv
salt2_hi5q:upcomer_outlet:left_upper_leg,salt2_hi5q,upcomer_outlet,upcomer_left_vertical,0.785845516,0.5000672828,Nu_section_effective_upcomer_diagnostic; apparent_pressure_or_onset_diagnostic,Nu; f_D; K,test section is an upcomer subspan; material recirculation invalidates single-stream Nu/f_D/K fit,work_products/2026-07/2026-07-15/2026-07-15_pm5_wall_band_vtk_and_f6_unlock_repair/resampled_pm5_matched_plane_metrics.csv
salt4_lo5q:upcomer_inlet:left_lower_leg,salt4_lo5q,upcomer_inlet,upcomer_left_vertical,0.5466041262,0.5000026995,Nu_section_effective_upcomer_diagnostic; apparent_pressure_or_onset_diagnostic,Nu; f_D; K,test section is an upcomer subspan; material recirculation invalidates single-stream Nu/f_D/K fit,work_products/2026-07/2026-07-15/2026-07-15_pm5_wall_band_vtk_and_f6_unlock_repair/resampled_pm5_matched_plane_metrics.csv
salt4_lo5q:upcomer_mid:test_section_span,salt4_lo5q,upcomer_mid,upcomer_left_vertical,0.3764033442,0.4999969289,Nu_section_effective_upcomer_diagnostic; apparent_pressure_or_onset_diagnostic,Nu; f_D; K,test section is an upcomer subspan; material recirculation invalidates single-stream Nu/f_D/K fit,work_products/2026-07/2026-07-15/2026-07-15_pm5_wall_band_vtk_and_f6_unlock_repair/resampled_pm5_matched_plane_metrics.csv
salt4_lo5q:upcomer_outlet:left_upper_leg,salt4_lo5q,upcomer_outlet,upcomer_left_vertical,0.7765350946,0.5000757768,Nu_section_effective_upcomer_diagnostic; apparent_pressure_or_onset_diagnostic,Nu; f_D; K,test section is an upcomer subspan; material recirculation invalidates single-stream Nu/f_D/K fit,work_products/2026-07/2026-07-15/2026-07-15_pm5_wall_band_vtk_and_f6_unlock_repair/resampled_pm5_matched_plane_metrics.csv
salt4_hi5q:upcomer_inlet:left_lower_leg,salt4_hi5q,upcomer_inlet,upcomer_left_vertical,0.5228637749,0.4999749795,Nu_section_effective_upcomer_diagnostic; apparent_pressure_or_onset_diagnostic,Nu; f_D; K,test section is an upcomer subspan; material recirculation invalidates single-stream Nu/f_D/K fit,work_products/2026-07/2026-07-15/2026-07-15_pm5_wall_band_vtk_and_f6_unlock_repair/resampled_pm5_matched_plane_metrics.csv
