candidate_id,source_table,case_id,split_role,reported_segment_or_span,canonical_leg_id,upcomer_member,qoi,reverse_area_fraction,reverse_mass_fraction,review_admission_class,residual_owner_gate,mesh_gci_gate,sign_heat_balance_gate,recirculation_gate,internal_nu_fit_allowed_now,admission_class,reason,source_path
thermal:salt_2:lower_leg:wallHeatFlux,thermal_row_admission_gate,salt_2,,lower_leg,heater_lower_leg,no,wallHeatFlux,,,validation_only,pass,fail_no_current_admitted_mesh_gci,fail,unknown,no,validation_only_nonfit,not_internal_Nu_qoi;source_gate_does_not_allow_internal_Nu_fit;sign_heat_balance_gate=fail:repaired_q_sign_label_conflict;recirculation_gate=unknown:no branch-local recirculation metric;fail_no_current_admitted_mesh_gci,work_products/2026-07/2026-07-16/2026-07-16_thermal_parity_resolution_gate/thermal_row_admission_gate.csv
thermal:salt_2:lower_leg:enthalpy_change,thermal_row_admission_gate,salt_2,,lower_leg,heater_lower_leg,no,enthalpy_change,,,validation_only,pass,fail_no_current_admitted_mesh_gci,fail,unknown,no,validation_only_nonfit,not_internal_Nu_qoi;source_gate_does_not_allow_internal_Nu_fit;sign_heat_balance_gate=fail:repaired_q_sign_label_conflict;recirculation_gate=unknown:no branch-local recirculation metric;fail_no_current_admitted_mesh_gci,work_products/2026-07/2026-07-16/2026-07-16_thermal_parity_resolution_gate/thermal_row_admission_gate.csv
thermal:salt_2:lower_leg:segment_duty,thermal_row_admission_gate,salt_2,,lower_leg,heater_lower_leg,no,segment_duty,,,validation_only,pass,fail_no_current_admitted_mesh_gci,fail,unknown,no,validation_only_nonfit,not_internal_Nu_qoi;source_gate_does_not_allow_internal_Nu_fit;sign_heat_balance_gate=fail:repaired_q_sign_label_conflict;recirculation_gate=unknown:no branch-local recirculation metric;fail_no_current_admitted_mesh_gci,work_products/2026-07/2026-07-16/2026-07-16_thermal_parity_resolution_gate/thermal_row_admission_gate.csv
thermal:salt_2:lower_leg:HTC,thermal_row_admission_gate,salt_2,,lower_leg,heater_lower_leg,no,HTC,,,validation_only,pass,fail_no_current_admitted_mesh_gci,fail,unknown,no,validation_only_nonfit,not_internal_Nu_qoi;source_gate_does_not_allow_internal_Nu_fit;sign_heat_balance_gate=fail:coarse_sign_review_required;fine_sign_review_required;internal_Nu_residual_absorption_forbidden;medium_sign_review_required;repaired_q_sign_label_conflict;recirculation_gate=unknown:no branch-local recirculation metric;fail_no_current_admitted_mesh_gci,work_products/2026-07/2026-07-16/2026-07-16_thermal_parity_resolution_gate/thermal_row_admission_gate.csv
thermal:salt_2:lower_leg:Nu,thermal_row_admission_gate,salt_2,,lower_leg,heater_lower_leg,no,Nu,,,blocked,pass,fail_no_current_admitted_mesh_gci,fail,unknown,no,blocked_or_diagnostic_nonfit,source_gate_does_not_allow_internal_Nu_fit;sign_heat_balance_gate=fail:coarse_sign_review_required;fine_sign_review_required;internal_Nu_residual_absorption_forbidden;medium_sign_review_required;missing_or_nonfinite_coarse_medium_or_fine_value;repaired_q_sign_label_conflict;recirculation_gate=unknown:no branch-local recirculation metric;fail_no_current_admitted_mesh_gci,work_products/2026-07/2026-07-16/2026-07-16_thermal_parity_resolution_gate/thermal_row_admission_gate.csv
thermal:salt_2:lower_leg:UA_prime,thermal_row_admission_gate,salt_2,,lower_leg,heater_lower_leg,no,UA_prime,,,validation_only,pass,fail_no_current_admitted_mesh_gci,fail,unknown,no,validation_only_nonfit,not_internal_Nu_qoi;source_gate_does_not_allow_internal_Nu_fit;sign_heat_balance_gate=fail:coarse_sign_review_required;fine_sign_review_required;internal_Nu_residual_absorption_forbidden;medium_sign_review_required;repaired_q_sign_label_conflict;recirculation_gate=unknown:no branch-local recirculation metric;fail_no_current_admitted_mesh_gci,work_products/2026-07/2026-07-16/2026-07-16_thermal_parity_resolution_gate/thermal_row_admission_gate.csv
thermal:salt_2:upcomer:wallHeatFlux,thermal_row_admission_gate,salt_2,,upcomer,upcomer_left_vertical,yes,wallHeatFlux,,,validation_only,pass,fail_no_current_admitted_mesh_gci,fail,fail,no,hybrid_recirculation_lane_only,not_internal_Nu_qoi;source_gate_does_not_allow_internal_Nu_fit;sign_heat_balance_gate=fail:high_recirculation_forward_bulk_used;high_recirculation_interface;high_recirculation_interface_temperature;large_wallHeatFlux_enthalpy_residual;repaired_q_sign_label_conflict;wallHeatFlux_enthalpy_opposed_direction;recirculation_gate=fail:upcomer/test-section parent is recirculation hybrid lane;fail_no_current_admitted_mesh_gci;test_section_and_left_spans_are_upcomer_hybrid_lane,work_products/2026-07/2026-07-16/2026-07-16_thermal_parity_resolution_gate/thermal_row_admission_gate.csv
thermal:salt_2:upcomer:enthalpy_change,thermal_row_admission_gate,salt_2,,upcomer,upcomer_left_vertical,yes,enthalpy_change,,,validation_only,pass,fail_no_current_admitted_mesh_gci,fail,fail,no,hybrid_recirculation_lane_only,not_internal_Nu_qoi;source_gate_does_not_allow_internal_Nu_fit;sign_heat_balance_gate=fail:high_recirculation_forward_bulk_used;high_recirculation_interface;high_recirculation_interface_temperature;large_wallHeatFlux_enthalpy_residual;repaired_q_sign_label_conflict;wallHeatFlux_enthalpy_opposed_direction;recirculation_gate=fail:upcomer/test-section parent is recirculation hybrid lane;fail_no_current_admitted_mesh_gci;test_section_and_left_spans_are_upcomer_hybrid_lane,work_products/2026-07/2026-07-16/2026-07-16_thermal_parity_resolution_gate/thermal_row_admission_gate.csv
thermal:salt_2:upcomer:segment_duty,thermal_row_admission_gate,salt_2,,upcomer,upcomer_left_vertical,yes,segment_duty,,,validation_only,pass,fail_no_current_admitted_mesh_gci,fail,fail,no,hybrid_recirculation_lane_only,not_internal_Nu_qoi;source_gate_does_not_allow_internal_Nu_fit;sign_heat_balance_gate=fail:high_recirculation_forward_bulk_used;high_recirculation_interface;high_recirculation_interface_temperature;large_wallHeatFlux_enthalpy_residual;repaired_q_sign_label_conflict;wallHeatFlux_enthalpy_opposed_direction;recirculation_gate=fail:upcomer/test-section parent is recirculation hybrid lane;fail_no_current_admitted_mesh_gci;test_section_and_left_spans_are_upcomer_hybrid_lane,work_products/2026-07/2026-07-16/2026-07-16_thermal_parity_resolution_gate/thermal_row_admission_gate.csv
thermal:salt_2:upcomer:HTC,thermal_row_admission_gate,salt_2,,upcomer,upcomer_left_vertical,yes,HTC,,,validation_only,pass,fail_no_current_admitted_mesh_gci,fail,fail,no,hybrid_recirculation_lane_only,not_internal_Nu_qoi;source_gate_does_not_allow_internal_Nu_fit;sign_heat_balance_gate=fail:coarse_sign_review_required;fine_sign_review_required;high_recirculation_forward_bulk_used;high_recirculation_interface;high_recirculation_interface_temperature;internal_Nu_residual_absorption_forbidden;large_wallHeatFlux_enthalpy_residual;medium_sign_review_required;repaired_q_sign_label_conflict;wallHeatFlux_enthalpy_opposed_direction;recirculation_gate=fail:upcomer/test-section parent is recirculation hybrid lane;fail_no_current_admitted_mesh_gci;test_section_and_left_spans_are_upcomer_hybrid_lane,work_products/2026-07/2026-07-16/2026-07-16_thermal_parity_resolution_gate/thermal_row_admission_gate.csv
