qoi_id,reported_span_or_segment,canonical_leg_id,qoi_family,quantity,current_publication_ready,current_fit_admissible,complete_triplet,gci_status,final_use_decision,resolution_action,source_paths
pressure_gradient_friction::left_lower_leg::section_mean_static_gradient,left_lower_leg,upcomer_left_vertical,closure,apparent_darcy_f,no,no,yes,not_computed_non_monotone_or_divergent,diagnostic_only_upcomer_hybrid_lane,do not use for single-stream Nu/f_D/K; use onset/hybrid diagnostics,work_products/2026-06/2026-06-30/2026-06-30_claude_segment_friction/segment_friction.csv;work_products/2026-07/2026-07-13/2026-07-13_salt2_pressure_only_mesh_family_comparison/friction_mesh_comparison.csv;work_products/2026-07/2026-07-13/2026-07-13_salt2_pressure_only_mesh_family_comparison/friction_mesh_comparison.csv;work_products/2026-07/2026-07-13/2026-07-13_salt2_closure_qoi_mesh_gci/closure_qoi_admission_decisions.csv;work_products/2026-07/2026-07-13/2026-07-13_salt2_closure_qoi_mesh_gci/closure_qoi_gci_results.csv
pressure_gradient_friction::left_lower_leg::section_mean_total_pressure_gradient,left_lower_leg,upcomer_left_vertical,closure,apparent_darcy_f,no,no,yes,not_computed_non_monotone_or_divergent,diagnostic_only_upcomer_hybrid_lane,do not use for single-stream Nu/f_D/K; use onset/hybrid diagnostics,work_products/2026-06/2026-06-30/2026-06-30_claude_segment_friction/segment_friction.csv;work_products/2026-07/2026-07-13/2026-07-13_salt2_pressure_only_mesh_family_comparison/friction_mesh_comparison.csv;work_products/2026-07/2026-07-13/2026-07-13_salt2_pressure_only_mesh_family_comparison/friction_mesh_comparison.csv;work_products/2026-07/2026-07-13/2026-07-13_salt2_closure_qoi_mesh_gci/closure_qoi_admission_decisions.csv;work_products/2026-07/2026-07-13/2026-07-13_salt2_closure_qoi_mesh_gci/closure_qoi_gci_results.csv
pressure_gradient_friction::left_upper_leg::section_mean_static_gradient,left_upper_leg,upcomer_left_vertical,closure,apparent_darcy_f,no,no,no,not_computed_missing_triplet,diagnostic_only_upcomer_hybrid_lane,do not use for single-stream Nu/f_D/K; use onset/hybrid diagnostics,work_products/2026-07/2026-07-13/2026-07-13_salt2_pressure_only_mesh_family_comparison/friction_mesh_comparison.csv;work_products/2026-07/2026-07-13/2026-07-13_salt2_pressure_only_mesh_family_comparison/friction_mesh_comparison.csv;work_products/2026-07/2026-07-13/2026-07-13_salt2_closure_qoi_mesh_gci/closure_qoi_admission_decisions.csv
pressure_gradient_friction::left_upper_leg::section_mean_total_pressure_gradient,left_upper_leg,upcomer_left_vertical,closure,apparent_darcy_f,no,no,no,not_computed_missing_triplet,diagnostic_only_upcomer_hybrid_lane,do not use for single-stream Nu/f_D/K; use onset/hybrid diagnostics,work_products/2026-07/2026-07-13/2026-07-13_salt2_pressure_only_mesh_family_comparison/friction_mesh_comparison.csv;work_products/2026-07/2026-07-13/2026-07-13_salt2_pressure_only_mesh_family_comparison/friction_mesh_comparison.csv;work_products/2026-07/2026-07-13/2026-07-13_salt2_closure_qoi_mesh_gci/closure_qoi_admission_decisions.csv
pressure_gradient_friction::lower_leg::section_mean_static_gradient,lower_leg,heater_lower_leg,closure,apparent_darcy_f,no,no,yes,not_computed_non_monotone_or_divergent,not_publication_gci_current_triplet_exclude_or_reextract,either exclude row from final closure set or rerun same-QOI extraction on better mesh/source contract,work_products/2026-06/2026-06-30/2026-06-30_claude_segment_friction/segment_friction.csv;work_products/2026-07/2026-07-13/2026-07-13_salt2_pressure_only_mesh_family_comparison/friction_mesh_comparison.csv;work_products/2026-07/2026-07-13/2026-07-13_salt2_pressure_only_mesh_family_comparison/friction_mesh_comparison.csv;work_products/2026-07/2026-07-13/2026-07-13_salt2_closure_qoi_mesh_gci/closure_qoi_admission_decisions.csv;work_products/2026-07/2026-07-13/2026-07-13_salt2_closure_qoi_mesh_gci/closure_qoi_gci_results.csv
pressure_gradient_friction::lower_leg::section_mean_total_pressure_gradient,lower_leg,heater_lower_leg,closure,apparent_darcy_f,no,no,yes,not_computed_non_monotone_or_divergent,not_publication_gci_current_triplet_exclude_or_reextract,either exclude row from final closure set or rerun same-QOI extraction on better mesh/source contract,work_products/2026-06/2026-06-30/2026-06-30_claude_segment_friction/segment_friction.csv;work_products/2026-07/2026-07-13/2026-07-13_salt2_pressure_only_mesh_family_comparison/friction_mesh_comparison.csv;work_products/2026-07/2026-07-13/2026-07-13_salt2_pressure_only_mesh_family_comparison/friction_mesh_comparison.csv;work_products/2026-07/2026-07-13/2026-07-13_salt2_closure_qoi_mesh_gci/closure_qoi_admission_decisions.csv;work_products/2026-07/2026-07-13/2026-07-13_salt2_closure_qoi_mesh_gci/closure_qoi_gci_results.csv
pressure_gradient_friction::right_leg::section_mean_static_gradient,right_leg,downcomer_right_vertical,closure,apparent_darcy_f,no,no,yes,not_computed_non_monotone_or_divergent,not_publication_gci_current_triplet_exclude_or_reextract,either exclude row from final closure set or rerun same-QOI extraction on better mesh/source contract,work_products/2026-06/2026-06-30/2026-06-30_claude_segment_friction/segment_friction.csv;work_products/2026-07/2026-07-13/2026-07-13_salt2_pressure_only_mesh_family_comparison/friction_mesh_comparison.csv;work_products/2026-07/2026-07-13/2026-07-13_salt2_pressure_only_mesh_family_comparison/friction_mesh_comparison.csv;work_products/2026-07/2026-07-13/2026-07-13_salt2_closure_qoi_mesh_gci/closure_qoi_admission_decisions.csv;work_products/2026-07/2026-07-13/2026-07-13_salt2_closure_qoi_mesh_gci/closure_qoi_gci_results.csv
pressure_gradient_friction::right_leg::section_mean_total_pressure_gradient,right_leg,downcomer_right_vertical,closure,apparent_darcy_f,no,no,yes,not_computed_non_monotone_or_divergent,not_publication_gci_current_triplet_exclude_or_reextract,either exclude row from final closure set or rerun same-QOI extraction on better mesh/source contract,work_products/2026-06/2026-06-30/2026-06-30_claude_segment_friction/segment_friction.csv;work_products/2026-07/2026-07-13/2026-07-13_salt2_pressure_only_mesh_family_comparison/friction_mesh_comparison.csv;work_products/2026-07/2026-07-13/2026-07-13_salt2_pressure_only_mesh_family_comparison/friction_mesh_comparison.csv;work_products/2026-07/2026-07-13/2026-07-13_salt2_closure_qoi_mesh_gci/closure_qoi_admission_decisions.csv;work_products/2026-07/2026-07-13/2026-07-13_salt2_closure_qoi_mesh_gci/closure_qoi_gci_results.csv
pressure_gradient_friction::test_section_span::section_mean_static_gradient,test_section_span,upcomer_left_vertical,closure,apparent_darcy_f,no,no,no,not_computed_missing_triplet,diagnostic_only_upcomer_hybrid_lane,do not use for single-stream Nu/f_D/K; use onset/hybrid diagnostics,work_products/2026-07/2026-07-13/2026-07-13_salt2_pressure_only_mesh_family_comparison/friction_mesh_comparison.csv;work_products/2026-07/2026-07-13/2026-07-13_salt2_pressure_only_mesh_family_comparison/friction_mesh_comparison.csv;work_products/2026-07/2026-07-13/2026-07-13_salt2_closure_qoi_mesh_gci/closure_qoi_admission_decisions.csv
pressure_gradient_friction::test_section_span::section_mean_total_pressure_gradient,test_section_span,upcomer_left_vertical,closure,apparent_darcy_f,no,no,no,not_computed_missing_triplet,diagnostic_only_upcomer_hybrid_lane,do not use for single-stream Nu/f_D/K; use onset/hybrid diagnostics,work_products/2026-07/2026-07-13/2026-07-13_salt2_pressure_only_mesh_family_comparison/friction_mesh_comparison.csv;work_products/2026-07/2026-07-13/2026-07-13_salt2_pressure_only_mesh_family_comparison/friction_mesh_comparison.csv;work_products/2026-07/2026-07-13/2026-07-13_salt2_closure_qoi_mesh_gci/closure_qoi_admission_decisions.csv
pressure_gradient_friction::upper_leg::section_mean_static_gradient,upper_leg,cooler_hx_branch,closure,apparent_darcy_f,no,no,yes,not_computed_non_monotone_or_divergent,not_publication_gci_current_triplet_exclude_or_reextract,either exclude row from final closure set or rerun same-QOI extraction on better mesh/source contract,work_products/2026-06/2026-06-30/2026-06-30_claude_segment_friction/segment_friction.csv;work_products/2026-07/2026-07-13/2026-07-13_salt2_pressure_only_mesh_family_comparison/friction_mesh_comparison.csv;work_products/2026-07/2026-07-13/2026-07-13_salt2_pressure_only_mesh_family_comparison/friction_mesh_comparison.csv;work_products/2026-07/2026-07-13/2026-07-13_salt2_closure_qoi_mesh_gci/closure_qoi_admission_decisions.csv;work_products/2026-07/2026-07-13/2026-07-13_salt2_closure_qoi_mesh_gci/closure_qoi_gci_results.csv
pressure_gradient_friction::upper_leg::section_mean_total_pressure_gradient,upper_leg,cooler_hx_branch,closure,apparent_darcy_f,no,no,yes,not_computed_non_monotone_or_divergent,not_publication_gci_current_triplet_exclude_or_reextract,either exclude row from final closure set or rerun same-QOI extraction on better mesh/source contract,work_products/2026-06/2026-06-30/2026-06-30_claude_segment_friction/segment_friction.csv;work_products/2026-07/2026-07-13/2026-07-13_salt2_pressure_only_mesh_family_comparison/friction_mesh_comparison.csv;work_products/2026-07/2026-07-13/2026-07-13_salt2_pressure_only_mesh_family_comparison/friction_mesh_comparison.csv;work_products/2026-07/2026-07-13/2026-07-13_salt2_closure_qoi_mesh_gci/closure_qoi_admission_decisions.csv;work_products/2026-07/2026-07-13/2026-07-13_salt2_closure_qoi_mesh_gci/closure_qoi_gci_results.csv
