closure_name,target_region,output,mathematical_form,status,coefficients_or_rule,validity_window,v1_usage,current_bakeoff_recommendation,recommendation_note
salt_material_branch,all_segments,rho(T)|mu(T)|cp(T)|k(T),Explicit case-family material branch evaluation,required,Use readable CFD-side salt branch rather than a hidden generic default,Salt only,Required input contract,bounded_reference,"Carry as a bounded reference or implementation input, not as the main new finding from this bakeoff."
straight_friction_class_aware_re_power_law,lower_leg|test_section_span,fD,log(f_D)=a+b*log(Re)+c*I[test_section_span],provisional_defended,a=5.2316378122|b=-0.9477837868|c=2.9210668439,Approximate defended fit domain 80.35 <= Re <= 173.74,Primary hydraulic closure on admitted straights,use_now,Current defended straight-friction lane; pair it with explicit redevelopment and local-loss separation.
left_lower_leg_nu_branch_aware_re_power_law,left_lower_leg,Nu,log(Nu)=a+b*log(Re),provisional_defended_limited_domain,a=-3.0042709988|b=0.9607621733,Approximate defended fit domain 76.10 <= Re <= 165.23,Optional direct thermal closure on left_lower_leg only,use_narrowly,Direct Nu is defended only on left_lower_leg; do not spread it to upcomer or downcomer.
primary_ua_profile_library,left_lower_leg|test_section_span|left_upper_leg|upcomer,UAprime,Support-gated profile or segment-average lookup from defended Salt branch summaries,admit_state_surface,Use UA' as the primary thermal conductance surface,Safe Salt branch subset only,Primary thermal closure,use_now,"Primary thermal state-surface lane for left_lower_leg, test_section_span, left_upper_leg, and upcomer."
secondary_htc_profile_library,left_lower_leg|test_section_span|left_upper_leg|upcomer,HTC,Support-gated profile or segment-average lookup from defended Salt branch summaries,admit_secondary_surface,Carry HTC for comparison and diagnostics only,Safe Salt branch subset only,Secondary thermal closure,diagnostic_only,Keep as a secondary comparison surface while UA' remains the admitted thermal quantity.
heater_boundary_input,lower_leg_heater,Q_heater,Imposed readable heater power,readable_bc_only,Use visible heater Q from case config and 0/T,All current readable Salt cases,Primary forcing input,bounded_reference,"Carry as a bounded reference or implementation input, not as the main new finding from this bakeoff."
cooler_boundary_input,cooler_sink_bucket,Q_cooler,Imposed readable fixed negative cooler duty,readable_bc_only,Use fixed sink Q and do not mutate a hidden cooler h,All current readable Salt cases,Primary sink input,bounded_reference,"Carry as a bounded reference or implementation input, not as the main new finding from this bakeoff."
feature_keff_individual,all_features,K_eff,Unavailable defended closure due to missing retained-time full-path hydro integral,not_defensible_yet,None until pathwise extractor exists,Blocked,Exclude from defended v1,blocked,Still blocked for defended predictive use on the current readable surface.
hydraulic_residual_bucket,features|right_leg|cooler_return|reducers|corners,Deltap_residual,Positive lumped hydraulic remainder calibrated from CFD,calibration_only,Start with one residual per case then regress later,Until feature path closure and wider straight support exist,Required hybrid closure,keep_for_hybrid_only,"Needed for the hybrid lane, but still calibration-only until refreshed v2 bundle breadth lands."
thermal_residual_bucket,unsupported_walls|cooler_vicinity|right_leg,UA_lumped_residual,Positive lumped thermal remainder calibrated from CFD heat partition,calibration_only,Calibrate from heater cooling and ambient-loss balance,Until wider direct branch thermal support exists,Required hybrid closure,keep_for_hybrid_only,"Needed for the hybrid lane, but still calibration-only until refreshed v2 bundle breadth lands."
