contract_id,domain,quantity_or_table,field_status,coverage_status,admission_status,source_paths,present_evidence,missing_subfields_or_gap,next_extraction_task
CFD-01,pressure,pressure_plane_metadata,present,partial,diagnostic_only,work_products/2026-07/2026-07-16/2026-07-16_postprocessed_cfd_streamwise_pressure_1d_maps/all_streamwise_pressure_1d_map.csv;work_products/2026-07/2026-07-18/2026-07-18_two_tap_pressure_basis_recirc_audit/pressure_velocity_basis_audit.csv,case_id;station_label;plane_file;time_s;pressure basis and source path exist for station maps and two-tap endpoints,unit_normal and averaging convention are not standardized across every pressure package; broad maps are station diagnostics not admitted planes,Create a pressure-plane metadata ledger for every station/two-tap/upcomer extraction with unit_normal; averaging basis; pressure basis; time/window; native plane path.
CFD-02,pressure,gross_static_pressure,present,broad,diagnostic_only,work_products/2026-07/2026-07-16/2026-07-16_postprocessed_cfd_streamwise_pressure_1d_maps/all_streamwise_pressure_1d_map.csv;work_products/2026-07/2026-07-18/2026-07-18_two_tap_pressure_basis_recirc_audit/pressure_velocity_basis_audit.csv,mean_p_Pa;relative_p;delta p;raw p_upstream and p_downstream exist,gross static pressure is gauge/reference sensitive and not an irreversible loss by itself,Keep gross static rows as pressure-map diagnostics and join them only after hydrostatic/kinetic/straight-loss corrections are present.
CFD-03,pressure,hydrostatic_correction,present,partial,blocked_for_component_K,work_products/2026-07/2026-07-18/2026-07-18_two_tap_pressure_basis_recirc_audit/pressure_velocity_basis_audit.csv;work_products/2026-07/2026-07-08/2026-07-08_pressure_term_ledger/pressure_term_ledger.csv,two-tap lower-right rows contain hydrostatic_correction_pa plus local rho; broad maps also preserve p_rgh,hydrostatic correction is not propagated to every branch/corner pressure row with a declared density basis,Extend branch/corner pressure ledgers with rho basis and hydrostatic correction for each endpoint pair before K classification.
CFD-04,pressure,kinetic_correction,present,partial,blocked_for_pressure_recovery,work_products/2026-07/2026-07-18/2026-07-18_two_tap_pressure_basis_recirc_audit/pressure_velocity_basis_audit.csv;work_products/2026-07/2026-07-16/2026-07-16_postprocessed_cfd_streamwise_pressure_1d_maps/all_streamwise_pressure_1d_map.csv,two-tap rows contain U_bulk; rho; dynamic pressure and kinetic_correction_pa; station maps contain mean_un and rho,kinetic correction is only resolved for harvested raw endpoint/corner rows; not complete for all pressure-map branches,Compute endpoint kinetic correction for all branch and upcomer matched-plane pairs using the same velocity basis.
CFD-05,pressure,straight_developing_reference,present,partial,blocked_for_component_K,work_products/2026-07/2026-07-08/2026-07-08_pressure_term_ledger/pressure_term_ledger.csv;work_products/2026-07/2026-07-16/2026-07-16_pressure_ladder_harvest_admission_table/branch_orientation_straight_loss_recirc_admission.csv,L_m;D_h_m;x_plus;development_loss_pa and fD reference evidence exist in the segment pressure ledger,pressure ladder reports screen_only_no_straight_loss_subtraction_due_recirc_mask and no accepted geometry distance normalization for branch/component admission,Run the LitRev pressure-corner basis recovery task with centerline lengths; reset distance; straight/developing subtraction and recirculation masks.
CFD-06,pressure,section_loss,present,partial,diagnostic_only,work_products/2026-07/2026-07-08/2026-07-08_pressure_term_ledger/pressure_term_ledger.csv;work_products/2026-07/2026-07-16/2026-07-16_pressure_ladder_harvest_admission_table/branch_orientation_straight_loss_recirc_admission.csv;work_products/2026-07/2026-07-18/2026-07-18_two_tap_pressure_basis_recirc_audit/gate_decision_table.csv,section and apparent K/loss diagnostics exist; pressure ladder integrated 66 branch rows; two-tap computed diagnostic K for lower-right corner,true f_D or component_K fit-admitted rows are zero; coefficient_type remains diagnostic or section-effective only,After CFD-03 to CFD-05 plus CFD-08 and CFD-17 are satisfied emit section_loss rows with coefficient_type and explicit residual assignment.
CFD-07,pressure,velocity_basis,present,partial,blocked_for_K_admission,work_products/2026-07/2026-07-08/2026-07-08_pressure_term_ledger/pressure_term_ledger.csv;work_products/2026-07/2026-07-18/2026-07-18_two_tap_pressure_basis_recirc_audit/pressure_velocity_basis_audit.csv,rho_ref;u_bulk/q_ref;local_dynamic_pressure_mean_pa and velocity basis diagnostics exist,corner q_ref remains untrusted under material reverse flow; U_ref_near_zero and signed/absolute flow basis are not standardized everywhere,Add a velocity-basis contract for pressure rows distinguishing throughflow; signed mdot; absolute mdot; local q_ref and near-zero flags.
CFD-08,pressure,component_cluster_classification,missing,not_complete,blocked_for_component_K,work_products/2026-07/2026-07-16/2026-07-16_pressure_map_scientific_review_and_junction_corner_state/scientific_review.md;work_products/2026-07/2026-07-18/2026-07-18_two_tap_pressure_basis_recirc_audit/gate_decision_table.csv,current docs classify corner K values as diagnostic upper bounds and two-tap rows say component isolation not audited,included_fittings; fitting_id; fitting_cluster_id; component_isolation_flag; cluster_loss_flag and recovery_length_D are missing for admitted use,Run the LitRev fitting inventory and pressure-corner basis/recovery audit to classify component_K vs cluster_K vs section_effective.
CFD-09,recirculation,reverse_area_fraction,present,partial,diagnostic_gate,work_products/2026-07/2026-07-16/2026-07-16_pressure_ladder_harvest_admission_table/adjacent_pair_recirc_screen.csv;work_products/2026-07/2026-07-18/2026-07-18_two_tap_pressure_basis_recirc_audit/endpoint_recirculation_metrics.csv;work_products/2026-07/2026-07-17/2026-07-17_high_heat_harvest_readiness_and_live_monitor/required_qoi_contract.csv,RAF proxy exists broadly and two-tap endpoint RAF exists for lower-right corner; high-heat contract requires RAF before admission,RAF is absent for current running corrected-Q continuation 3307441 and high-heat terminal rows; broad pressure ladder uses proxy not full face metric,Extract same-window RAF on matched planes for PM10/latest corrected-Q; high-heat terminal cases and upcomer/nonrecirculating anchor candidates.
CFD-10,recirculation,reverse_mass_fraction,present,partial,diagnostic_gate,work_products/2026-07/2026-07-18/2026-07-18_two_tap_pressure_basis_recirc_audit/endpoint_recirculation_metrics.csv;work_products/2026-07/2026-07-17/2026-07-17_high_heat_harvest_readiness_and_live_monitor/required_qoi_contract.csv,two-tap endpoint RMF exists for lower-right corner and fails material reverse-flow gate,RMF is missing for most branch pressure ladders; high-heat cases and latest corrected-Q continuation still need terminal matched-plane extraction,Add RMF to the same matched-plane sampler as RAF and preserve signed mdot separately from absolute reverse mass.
CFD-11,recirculation,secondary_flow_intensity,present,partial,diagnostic_gate,work_products/2026-07/2026-07-18/2026-07-18_two_tap_pressure_basis_recirc_audit/endpoint_recirculation_metrics.csv;work_products/2026-07/2026-07-17/2026-07-17_high_heat_harvest_readiness_and_live_monitor/required_qoi_contract.csv,two-tap endpoint SVF/secondary velocity fraction exists for lower-right corner; high-heat contract names secondary_velocity_fraction,full transverse velocity components and normal-velocity basis are not extracted for all upcomer/corner planes,Extend matched-plane extraction to output transverse velocity components; secondary_flow_intensity and normal_velocity_basis for pressure and thermal recirculation gates.
CFD-12,pressure,recovery_diagnostics,missing,not_complete,blocked_for_component_K,work_products/2026-07/2026-07-18/2026-07-18_two_tap_pressure_basis_recirc_audit/gate_decision_table.csv;work_products/2026-07/2026-07-20/2026-07-20_direct_recirc_model_forms_and_dry_scorers/README.md,current gates say recovery diagnostics are blocked/not audited; dry scorers keep corner residuals diagnostic,velocity_recovery_error; pressure_gradient_recovery_error; downstream_recovery_length_D and reference_profile_source are missing,Add downstream recovery-plane sweeps to the pressure-corner basis/recovery task before any component_K admission.
CFD-13,thermal,enthalpy_bulk_temperature,present,partial,validation_only,work_products/2026-07/2026-07-08/2026-07-08_patchwise_heat_ledger_enthalpy_interfaces/segment_enthalpy_residuals.csv;work_products/2026-07/2026-07-09/2026-07-09_thermal_openfoam_interface_sampling/combined_openfoam_interface_samples.csv,T_bulk; mdot; cp; enthalpy_change_W and signed/dominant forward bulk interface temperatures exist for Salt2-4 mainline,missing comparable thermal ledgers for Salt1 pressure cases; some junctions are not bracketed and recirculating interfaces are diagnostic,Harvest aligned thermal interface and enthalpy rows for Salt1; PM10 latest continuation; high-heat terminal cases and split junctions.
CFD-14,thermal,wall_heat_transfer,present,partial,validation_only_not_fit_admitted,work_products/2026-07/2026-07-08/2026-07-08_patchwise_heat_ledger_enthalpy_interfaces/patchwise_heat_ledger_enthalpy_interfaces.csv;work_products/2026-07/2026-07-16/2026-07-16_thermal_parity_resolution_gate/thermal_row_admission_gate.csv,wall area; wallHeatFlux; wall temperature; q_wall_total and internal_convection_htc exist; HTC/Nu review rows exist,Nu_internal is missing or blocked for some mesh rows and all internal-Nu fit-admissible rows remain zero,Create branch-local internal Nu/HTC admission rows only after sign/enthalpy; recirculation; source envelope and same-QOI GCI gates pass.
CFD-15,heat_loss,heat_loss_network_terms,present,partial,diagnostic_or_setup_only,work_products/2026-07/2026-07-08/2026-07-08_patchwise_heat_ledger_enthalpy_interfaces/resistance_network_terms.csv;work_products/2026-07/2026-07-16/2026-07-16_pressure_loop_plot_and_cfd_heat_audit/cfd_heat_audit_by_run.csv;work_products/2026-07/2026-07-16/2026-07-16_thermal_parity_resolution_gate/README.md,Q_heater_to_salt; Q_jacket/junction_stub; Q_passive; Q_residual and internal/wall/external labels exist in ledgers,storage is not directly measured; radiation is absent as qr output and inseparable from total wallHeatFlux where metadata exists; junction heat is aggregate not per junction,Split junction_other by physical junction; preserve convective/radiative terms when available and add same-time solid/storage audit without absorbing residual into Nu.
CFD-16,admission_crosscut,source_envelope_labels,present,partial,blocked_for_final_fit,work_products/2026-07/2026-07-18/2026-07-18_source_property_label_enforcement/README.md;work_products/2026-07/2026-07-20/2026-07-20_final_scorecard_source_envelope_resolution/README.md,label enforcement exists and final source-envelope resolution explicitly blocks or demotes candidate rows,strict row-specific source-envelope pass rows are zero for final fitting/model selection; some row-specific geometry/source matches remain missing,Attach source_status; source_use_category; geometry_match; boundary_condition_match and validity limits to each CFD reduction row before fit/model selection.
CFD-17,uncertainty,same_QOI_uncertainty,missing,partial_evidence_exists,blocked_for_admission,work_products/2026-07/2026-07-07/2026-07-07_time_window_quasi_steady_uq/quasi_steady_observations.csv;work_products/2026-07/2026-07-20/2026-07-20_f6_endpoint_pair_same_qoi_uq_preflight/admission_gate_status.csv;work_products/2026-07/2026-07-20/2026-07-20_f6_endpoint_pair_same_qoi_uq_preflight/same_qoi_time_uq_status.csv,general time-window UQ exists and F6 same-QOI preflight narrows endpoint pairs; Salt2 mesh spread exists as diagnostic,time-UQ pass rows are zero for F6 endpoint pairs; mesh rows are diagnostic not GCI; plane sweep same-basis uncertainty is missing,Run same-QOI UQ extraction for selected endpoint pairs with retained plus neighboring windows; same labels/formula/sign; mesh/GCI provenance and plane sweeps.
