model_form,fit_family,salt,cfd_target_trust,insulation_thickness_in,radiation_on,major_loss_multiplier,k90,k20,total_fixed_k,include_test_section_diameter_change,cfd_mdot_kg_s,pred_mdot_kg_s,signed_mdot_error_pct,abs_mdot_error_pct,reynolds_main,friction_factor_main,deltaP_buoyancy_Pa,deltaP_losses_Pa,pressure_residual_Pa,qhx_total_W,qambient_total_W,one_d_total_loss_w,cfd_total_loss_w,energy_error_pct_of_heater,tp_rmse_k,tw_rmse_k,root_status,accepted_for_validation
boundary_default_1p0_rad_on,matched_boundary_sweep,1,low_early_window,1.0,True,1.0,1.0,0.1,4.4,True,0.01126494445094736,0.013714192079074924,21.742207773794988,21.742207773794988,138.049006528661,0.4636034811790743,29.104048845869556,29.10404854530071,-3.0056884625651037e-07,42.59758920483988,226.7009800946531,269.29856929949295,303.377304634,15.988112737137808,65.60541432540079,65.3970559723012,accepted,True
boundary_default_1p0_rad_on,matched_boundary_sweep,2,high_continuation,1.0,True,1.0,1.0,0.1,4.4,True,0.01318354663,0.01645717031371951,24.831130617539372,24.831130617539372,209.50202661306488,0.3054863049998241,28.45815143622633,28.45815177943875,3.43212420261807e-07,46.443696748594725,256.25466406029767,302.6983608088924,323.2451146244,8.43475336893206,63.67440928529891,63.815631213375106,accepted,True
boundary_default_1p0_rad_on,matched_boundary_sweep,3,high_continuation,1.0,True,1.0,1.0,0.1,4.4,True,0.01496689828,0.019059174948747357,27.342182676659153,27.342182676659153,293.4010492449496,0.2181314625994019,28.11145931795909,28.11145958430849,2.663494029775393e-07,49.80863871005307,284.6895290642174,334.4981677742705,362.53263634877004,10.258308324875951,65.61082932778226,66.55136397344262,accepted,True
boundary_default_1p0_rad_on,matched_boundary_sweep,4,high_continuation,1.0,True,1.0,1.0,0.1,4.4,True,0.01698467657,0.022067803495506334,29.927722818606107,29.927722818606107,407.68436682906173,0.15698418974901387,28.18746615357645,28.187466164149136,1.0572684061571636e-08,53.953231774381116,320.64468130616467,374.59791308054577,413.4670594352799,12.514509158182786,67.68266686364987,69.17971353847715,accepted,True
boundary_default_1p4_rad_on,matched_boundary_sweep,1,low_early_window,1.4,True,1.0,1.0,0.1,4.4,True,0.01126494445094736,0.015342207828277315,36.19426083354601,36.19426083354601,188.05313316216777,0.34032934694477834,27.263022170922227,27.26302259807191,4.2714968273571685e-07,45.84447682807294,223.45402323857675,269.2985000666497,303.377304634,15.98814521787667,79.61497851077726,79.51024260131314,accepted,True
boundary_default_1p4_rad_on,matched_boundary_sweep,2,high_continuation,1.4,True,1.0,1.0,0.1,4.4,True,0.01318354663,0.01826141918250785,38.51674132173833,38.51674132173833,280.1640246426652,0.2284376092955857,26.859486619263976,26.859487001367484,3.8210350794543047e-07,49.89781790097554,252.8004289955015,302.69824689647703,323.2451146244,8.434800131702373,78.53376176032876,78.73354266455394,accepted,True
boundary_default_1p4_rad_on,matched_boundary_sweep,3,high_continuation,1.4,True,1.0,1.0,0.1,4.4,True,0.01496689828,0.020850861014264636,39.31317380654127,39.31317380654127,377.3625241638985,0.16959818715915498,26.888941458638556,26.888941488648488,3.000993231694338e-08,53.456468725231616,281.0415380445938,334.4980067698254,362.53263634877004,10.258367239252552,81.24075763564048,82.20727546109516,accepted,True
boundary_default_1p4_rad_on,matched_boundary_sweep,4,high_continuation,1.4,True,1.0,1.0,0.1,4.4,True,0.01698467657,0.02179973100814927,28.34940317117425,28.34940317117425,409.35292108012015,0.1563443100176966,27.36692084331787,27.366920983005013,1.3968714185352837e-07,54.416662606285485,289.13187679798557,343.5485394042711,413.4670594352799,22.511324310266847,69.60907064084857,71.49611225253034,rejected,False
boundary_default_2p0_rad_on,matched_boundary_sweep,1,low_early_window,2.0,True,1.0,1.0,0.1,4.4,True,0.01126494445094736,0.016978787910507588,50.722340304835726,50.722340304835726,249.0656903127095,0.256960322072647,25.783702441002447,25.78370272201278,2.8101033322514013e-07,49.05950339771123,220.2388668825741,269.2983702802853,303.377304634,15.988206107431546,93.48317075770673,93.47620000811747,accepted,True
boundary_default_2p0_rad_on,matched_boundary_sweep,2,high_continuation,2.0,True,1.0,1.0,0.1,4.4,True,0.01318354663,0.01991461221609523,51.056561447420094,51.056561447420094,356.4437955966175,0.17955144903806353,25.757718395358893,25.75771876191854,3.665596466362331e-07,53.32716476374735,249.37097149641733,302.6981362601647,323.2451146244,8.434845549582814,93.22692819570526,93.50066428489444,accepted,True
boundary_default_2p0_rad_on,matched_boundary_sweep,3,high_continuation,2.0,True,1.0,1.0,0.1,4.4,True,0.01496689828,0.02093693870077236,39.888294214907695,39.888294214907695,393.18569148612437,0.1627729629684619,26.121041695993767,26.12104167080136,-2.5192406383212074e-08,54.46884205769574,258.5851591520006,313.0540012096963,362.53263634877004,18.105108481077046,85.53558983085237,86.79420493314448,rejected,False
boundary_default_2p0_rad_on,matched_boundary_sweep,4,high_continuation,2.0,True,1.0,1.0,0.1,4.4,True,0.01698467657,0.021349342561499937,25.697669152024,25.697669152024,400.9357795352583,0.15962656182540036,26.674482003172216,26.67448183410902,-1.690631954431865e-07,54.44663752508814,258.86168870531776,313.3083262304059,413.4670594352799,32.2476180085112,69.69438998130849,71.97235369827155,rejected,False
boundary_default_1p4_rad_off,matched_boundary_sweep,1,low_early_window,1.4,False,1.0,1.0,0.1,4.4,True,0.01126494445094736,0.01822640057155934,61.797518406995195,61.797518406995195,321.95697233924074,0.19878432678440106,23.475375365193827,23.475375412839643,4.764581618132979e-08,53.21146309174855,216.0879310684202,269.29939416016873,303.377304634,15.9877257519593,111.06620427663866,110.74459312796216,accepted,True
boundary_default_1p4_rad_off,matched_boundary_sweep,2,high_continuation,1.4,False,1.0,1.0,0.1,4.4,True,0.01318354663,0.019401436541376826,47.16401500964561,47.16401500964561,364.3039191377227,0.17567749518446774,23.863884729353572,23.863884580636046,-1.4871752540557281e-07,54.79313533209409,225.5086352885405,280.30177062063456,323.2451146244,17.628892561879397,99.24184028310228,99.39567260745586,rejected,False
boundary_default_1p4_rad_off,matched_boundary_sweep,3,high_continuation,1.4,False,1.0,1.0,0.1,4.4,True,0.01496689828,0.01975282631779087,31.97675261938689,31.97675261938689,370.907395620407,0.17254980826938998,24.327625692171978,24.32762552437636,-1.6779561917701358e-07,54.66610406675496,225.7184995272575,280.38460359401245,362.53263634877004,30.059419390843765,86.11262087781373,87.36994125314591,rejected,False
boundary_default_1p4_rad_off,matched_boundary_sweep,4,high_continuation,1.4,False,1.0,1.0,0.1,4.4,True,0.01698467657,0.02019324290013501,18.89094747793016,18.89094747793016,379.18390519825243,0.16878353517282926,24.91232577764754,24.91232601737879,2.397312499624604e-07,54.642304929016014,225.97041614043928,280.6127210694553,413.4670594352799,42.77446226911867,70.26308677106101,72.549996893581,rejected,False
