case_id,fluid_case_name,source_id,variant_id,engine,segment_name,parent_segment,s_start_m,s_end_m,T_in_K,T_out_K,T_avg_K,Q_source_W,Q_hx_sink_W,Q_ambient_W,h_inner_W_m2K,h_outer_W_m2K,h_rad_W_m2K,reynolds_inner,nusselt_inner
salt_2,Salt 2,viscosity_screening_salt_test_2_jin_coarse_mesh,F0_current_fluid_sources,fast_scan,left_lower_vertical__s00,left_lower_vertical,0,0.121412,487.63489957,487.448866135,487.541882853,0,0,5.46707729404,381.943495056,5.6126756708,0,204.520328411,15.3210582389
salt_2,Salt 2,viscosity_screening_salt_test_2_jin_coarse_mesh,F0_current_fluid_sources,fast_scan,left_lower_vertical__s01,left_lower_vertical,0.121412,0.182118,487.448866135,487.354001838,487.401433987,0,0,2.78784210619,481.193293139,6.26903964555,0,204.231326004,19.3038323629
salt_2,Salt 2,viscosity_screening_salt_test_2_jin_coarse_mesh,F0_current_fluid_sources,fast_scan,left_lower_vertical__s02,left_lower_vertical,0.182118,0.242824,487.354001838,487.259205739,487.306603788,0,0,2.7858378943,481.176198618,6.26815667798,0,204.036328536,19.3041752589
salt_2,Salt 2,viscosity_screening_salt_test_2_jin_coarse_mesh,F0_current_fluid_sources,fast_scan,left_lower_vertical__s03,left_lower_vertical,0.242824,0.364236,487.259205739,487.07370069,487.166453214,0,0,5.45154936822,381.889779943,5.60942223779,0,203.748339305,15.3221357009
salt_2,Salt 2,viscosity_screening_salt_test_2_jin_coarse_mesh,F0_current_fluid_sources,fast_scan,test_section__s00,test_section,0.364236,0.4572,487.07370069,487.330472403,487.202086546,18.5,0,10.9541208292,434.93614741,8.58897172159,0,212.36453112,16.7480930432
salt_2,Salt 2,viscosity_screening_salt_test_2_jin_coarse_mesh,F0_current_fluid_sources,fast_scan,test_section__s01,test_section,0.4572,0.550164,487.330472403,487.586648675,487.458560539,18.5,0,10.9716193907,434.977929207,8.59101694239,0,212.91397749,16.747288655
salt_2,Salt 2,viscosity_screening_salt_test_2_jin_coarse_mesh,F0_current_fluid_sources,fast_scan,left_upper_vertical__s00,left_upper_vertical,0.550164,0.671576,487.586648675,487.400683144,487.493665909,0,0,5.46508176425,381.936584894,5.61225799814,0,204.421128561,15.3211968359
salt_2,Salt 2,viscosity_screening_salt_test_2_jin_coarse_mesh,F0_current_fluid_sources,fast_scan,left_upper_vertical__s01,left_upper_vertical,0.671576,0.732282,487.400683144,487.305853489,487.353268316,0,0,2.78682404476,481.184608521,6.26859119832,0,204.13227644,19.3040065639
salt_2,Salt 2,viscosity_screening_salt_test_2_jin_coarse_mesh,F0_current_fluid_sources,fast_scan,left_upper_vertical__s02,left_upper_vertical,0.732282,0.792988,487.305853489,487.211091995,487.258472742,0,0,2.78482093969,481.167528593,6.26770845096,0,203.937380419,19.3043491765
salt_2,Salt 2,viscosity_screening_salt_test_2_jin_coarse_mesh,F0_current_fluid_sources,fast_scan,left_upper_vertical__s03,left_upper_vertical,0.792988,0.9144,487.211091995,487.025654559,487.118373277,0,0,5.44956238376,381.882915627,5.60900536229,0,203.649540939,15.3222734074
