source_path,source_type,date,theme_cluster,phase_used,unique_contribution,confidence_label
journals/2026-05/2026-05-29_ethan_runs.md,journal,2026-05-29,crosscutting,phase1,2026-05-29 ethan runs,historical
journals/2026-06/2026-06-01_ethan_runs.md,journal,2026-06-01,crosscutting,phase1,2026-06-01 ethan runs,historical
journals/2026-06/2026-06-02_ethan_runs.md,journal,2026-06-02,crosscutting,phase1,2026-06-02 ethan runs,historical
journals/2026-06/2026-06-04_ethan_runs.md,journal,2026-06-04,crosscutting,phase1,2026-06-04 ethan runs,historical
journals/2026-06/2026-06-05_ethan_runs.md,journal,2026-06-05,crosscutting,phase1,2026-06-05 ethan runs,historical
journals/2026-06/2026-06-07_ethan_runs.md,journal,2026-06-07,crosscutting,phase1,2026-06-07 ethan runs,historical
journals/2026-06/2026-06-08_ethan_presentation_package_and_parameterization.md,journal,2026-06-08,crosscutting,phase1,2026-06-08 ethan presentation package and parameterization,historical
journals/2026-06/2026-06-08_ethan_runs.md,journal,2026-06-08,crosscutting,phase1,2026-06-08 ethan runs,historical
journals/2026-06/2026-06-08_ethan_runs_render_only_figure_refresh.md,journal,2026-06-08,crosscutting,phase1,2026-06-08 ethan runs render only figure refresh,historical
journals/2026-06/2026-06-08_ethan_runs_rendering_and_runner_addendum.md,journal,2026-06-08,crosscutting,phase1,2026-06-08 ethan runs rendering and runner addendum,historical
journals/2026-06/2026-06-08_individual_slice_package_refresh.md,journal,2026-06-08,crosscutting,phase1,2026-06-08 individual slice package refresh,historical
journals/2026-06/2026-06-08_salt34_field_slice_refresh.md,journal,2026-06-08,crosscutting,phase1,2026-06-08 salt34 field slice refresh,historical
journals/2026-06/2026-06-08_timestep_stamp_refresh.md,journal,2026-06-08,crosscutting,phase1,2026-06-08 timestep stamp refresh,historical
journals/2026-06/2026-06-09_ethan_runs.md,journal,2026-06-09,crosscutting,phase1,2026-06-09 ethan runs,historical
journals/2026-06/2026-06-10_ethan_runs.md,journal,2026-06-10,crosscutting,phase1,2026-06-10 ethan runs,historical
journals/2026-06/2026-06-11_ethan_runs.md,journal,2026-06-11,crosscutting,phase1,2026-06-11 ethan runs,historical
journals/2026-06/2026-06-12_ethan_runs.md,journal,2026-06-12,crosscutting,phase1,2026-06-12 ethan runs,historical
journals/2026-06/2026-06-15_ethan_runs.md,journal,2026-06-15,crosscutting,phase1,2026-06-15 ethan runs,historical
journals/2026-06/2026-06-16_ethan_runs.md,journal,2026-06-16,crosscutting,phase1,2026-06-16 ethan runs,historical
journals/2026-06/2026-06-17_ethan_runs.md,journal,2026-06-17,crosscutting,phase1,2026-06-17 ethan runs,historical
journals/2026-06/2026-06-18_ethan_runs.md,journal,2026-06-18,crosscutting,phase1,2026-06-18 ethan runs,historical
journals/2026-06/2026-06-19_ethan_runs.md,journal,2026-06-19,crosscutting,phase1,2026-06-19 ethan runs,historical
journals/2026-06/2026-06-22_ethan_runs.md,journal,2026-06-22,crosscutting,phase1,2026-06-22 ethan runs,historical
journals/2026-06/2026-06-23_ethan_runs.md,journal,2026-06-23,crosscutting,phase1,2026-06-23 ethan runs,historical
journals/2026-06/2026-06-25_ethan_runs.md,journal,2026-06-25,crosscutting,phase1,2026-06-25 ethan runs,historical
reports/2026-06/2026-06-02/2026-06-02_ethan_1d_model_discrepancy_report,report,2026-06-02,closure_modeling,phase2,2026-06-02 ethan 1d model discrepancy report,provisional
reports/2026-06/2026-06-02/2026-06-02_water_laminar_claim_audit,report,2026-06-02,validation_and_audit,phase2,2026-06-02 water laminar claim audit,provisional
reports/2026-06/2026-06-04/2026-06-04_all_salt_behavior_package,report,2026-06-04,validation_and_audit,phase2,2026-06-04 all salt behavior package,provisional
reports/2026-06/2026-06-04/2026-06-04_ethan_direct_validation,report,2026-06-04,validation_and_audit,phase2,2026-06-04 ethan direct validation,high
reports/2026-06/2026-06-04/2026-06-04_ethan_essential_steadiness_audit,report,2026-06-04,validation_and_audit,phase2,2026-06-04 ethan essential steadiness audit,provisional
reports/2026-06/2026-06-04/2026-06-04_ethan_runtime_and_hypothesis_matrix,report,2026-06-04,validation_and_audit,phase2,2026-06-04 ethan runtime and hypothesis matrix,provisional
reports/2026-06/2026-06-04/2026-06-04_ethan_section_transport_package,report,2026-06-04,hydraulic_thermal_transport,phase2,2026-06-04 ethan section transport package,provisional
reports/2026-06/2026-06-04/2026-06-04_ethan_transient_axial_package,report,2026-06-04,crosscutting,phase2,2026-06-04 ethan transient axial package,provisional
reports/2026-06/2026-06-04/2026-06-04_salt2_behavior_package,report,2026-06-04,validation_and_audit,phase2,2026-06-04 salt2 behavior package,provisional
reports/2026-06/2026-06-05/2026-06-05_ethan_continuation_diagnosis,report,2026-06-05,runtime_campaigns,phase2,2026-06-05 ethan continuation diagnosis,provisional
reports/2026-06/2026-06-05/2026-06-05_ethan_convergence_and_salt1_campaign,report,2026-06-05,runtime_campaigns,phase2,2026-06-05 ethan convergence and salt1 campaign,provisional
reports/2026-06/2026-06-05/2026-06-05_ethan_wall_loss_resistance_coupling,report,2026-06-05,crosscutting,phase2,2026-06-05 ethan wall loss resistance coupling,provisional
reports/2026-06/2026-06-05/2026-06-05_water_laminar_claim_audit,report,2026-06-05,validation_and_audit,phase2,2026-06-05 water laminar claim audit,provisional
reports/2026-06/2026-06-09/2026-06-09_ethan_dense_streamwise_friction_package,report,2026-06-09,hydraulic_thermal_transport,phase2,2026-06-09 ethan dense streamwise friction package,provisional
reports/2026-06/2026-06-09/2026-06-09_ethan_legwise_hydraulic_budget_package,report,2026-06-09,hydraulic_thermal_transport,phase2,2026-06-09 ethan legwise hydraulic budget package,provisional
reports/2026-06/2026-06-09/2026-06-09_ethan_steady_state_heat_flow_audit,report,2026-06-09,hydraulic_thermal_transport,phase2,2026-06-09 ethan steady state heat flow audit,provisional
reports/2026-06/2026-06-09/2026-06-09_ethan_streamwise_friction_package,report,2026-06-09,hydraulic_thermal_transport,phase2,2026-06-09 ethan streamwise friction package,provisional
reports/2026-06/2026-06-10/2026-06-10_ethan_salt2_case_analysis_package,report,2026-06-10,crosscutting,phase2,2026-06-10 ethan salt2 case analysis package,high
reports/2026-06/2026-06-11/2026-06-11_salt2_internal_technical_report_brief,report,2026-06-11,crosscutting,phase2,2026-06-11 salt2 internal technical report brief,provisional
reports/2026-06/2026-06-11/2026-06-11_salt2_rigor_repair_methods_note,report,2026-06-11,crosscutting,phase2,2026-06-11 salt2 rigor repair methods note,provisional
reports/2026-06/2026-06-15/2026-06-15_ethan_all_runs_field_transport_campaign,report,2026-06-15,hydraulic_thermal_transport,phase2,2026-06-15 ethan all runs field transport campaign,provisional
reports/2026-06/2026-06-15/2026-06-15_ethan_boundary_modeling_report,report,2026-06-15,closure_modeling,phase2,2026-06-15 ethan boundary modeling report,provisional
reports/2026-06/2026-06-15/2026-06-15_ethan_field_transport_campaign,report,2026-06-15,hydraulic_thermal_transport,phase2,2026-06-15 ethan field transport campaign,provisional
reports/2026-06/2026-06-15/2026-06-15_ethan_postprocessing_campaign_paper_handoff,report,2026-06-15,crosscutting,phase2,2026-06-15 ethan postprocessing campaign paper handoff,high
