source_path,topic,current_claim,why_unclear,needed_analysis,priority,blocking_dependency
reports/2026-06/2026-06-18/2026-06-18_ethan_transport_analysis_package,water_left_lower_leg_cross_family_use,Water left-lower-leg hydraulic rows should stay excluded,Later closure packages resolve the sign mystery but do not promote the branch into cross-family evidence,Keep Water excluded until a defended comparable branch subset exists,high,Water closure hardening
reports/2026-06/2026-06-18/2026-06-18_ethan_transport_analysis_package,salt_upper_leg_direct_vs_shear,Salt upper-leg direct and shear rows share sign but disagree materially in magnitude,The disagreement repeats across Salt cases and is never promoted into a defended explanation,Retained-time diagnostic pass on upper-leg direct-pressure support and spanwise sensitivity,high,Stronger retained-time pressure support
reports/2026-06/2026-06-18/2026-06-18_ethan_transport_analysis_package,right_leg_thermal_support,Right-leg thermal ratios stay support-limited,Usable fraction and masking warnings remain too weak for stable effective-ratio claims,Retained-time thermal support refresh on cooler-adjacent return branches,high,Broader branchwise thermal observables
reports/2026-06/2026-06-17/2026-06-17_ethan_pressure_htc_boundarylayer_package,boundary_layer_terms,Boundary-layer landmarks are informative but contextual only,The repo has landmark metrics but not a hardened closure-input contract,Export retained-time near-wall profiles with reproducible thickness definitions,medium,Boundary-layer retained-profile workflow
reports/2026-06/2026-06-19/2026-06-19_ethan_salt_conclusions_package,salt_nu_dependency,Direct Salt Nu is not yet defensible as a broad dependency,The final conclusions layer still retains too few exact fit rows,Rebuild thermal closure on stronger retained-time support and broader safe branches,high,Retained-time thermal closure refresh
reports/2026-06/2026-06-19/2026-06-19_ethan_salt_conclusions_package,straight_friction_maturity,Straight-section friction is only provisional,The admitted set still depends on limited retained support and subset gating,Refresh the straight hydraulic sensitivity package after continuations mature,high,Longer late-window continuation support
reports/2026-06/2026-06-19/2026-06-19_ethan_blocker_report_and_followon_wave,feature_keff_v1_exclusion,Feature K_eff should stay out of the first defended 1D bundle,Proxy endpoint evidence is stronger than before but still not a full retained-time path integral,Add a retained-time full-path feature hydro extractor,high,New extractor rather than more runtime alone
reports/2026-06/2026-06-19/2026-06-19_ethan_litrev_to_1d_modeling_handoff,development_coordinate_contract,Development-aware closures need a reset-aware coordinate,The reports imply reset regions but do not publish one durable reusable contract,Write a reusable development-coordinate note or extractor contract,medium,Geometry and branch-reset policy
reports/2026-06/2026-06-15/2026-06-15_ethan_boundary_modeling_report,cooler_loss_semantics,Readable cooler behavior is a fixed sink rather than a directly readable h law,The path from metadata h to readable sink behavior is not explicit in the artifacts,Do a preprocessing or boundary-model provenance audit for the cooler branch,medium,Boundary-model provenance
reports/2026-06/2026-06-22/2026-06-22_ethan_fluid_replay_against_frozen_state,external_replay_staleness,Current readable 1D replay is useful but stale,The external Fluid bundle still reflects the June 19 contract rather than the June 22 frozen-state closure set,Produce a refreshed external Ethan CFD-informed Salt bundle and rerun scoring,high,External Fluid repo producer path
reports/2026-06/2026-06-22/2026-06-22_ethan_frozen_state_results,feature_keff_provisional_reopen,Feature K_eff reopened to provisional defended status,The reopened basis is patch-endpoint based and not a continuous retained-time path integral,Promote pathwise hydro support from endpoint decomposition to retained-time integral closure,high,Retained-time path extractor
reports/2026-06/2026-06-22/2026-06-22_ethan_frozen_state_results,general_developing_nu,Broader developing-flow direct Nu remains blocked,Only left-lower-leg is strongly defended while right-leg and return branches remain under-supported,Retained-time branchwise bulk-wall-heat support on more branches,high,Thermal closure hardening refresh
reports/2026-06/2026-06-23/2026-06-23_ethan_cfd_freeze_checkpoint,salt1_short_window,Salt 1 remains usable but not fully comparable in the checkpoint snapshot,The preserved Salt 1 lane kept only 18 representative saved times,Recheck Salt 1 after later continuations preserve a fuller late window,medium,Continuation maturity
reports/2026-06/2026-06-23/2026-06-23_ethan_1d_closure_bakeoff,global_insulation_surrogate,The current defended 1D winner is a bounded surrogate for a likely 1.4 in CFD target,The readable bundle publishes base 1.0 in and 2.0 in conditions but not a readable global 1.4 in Salt scenario,Publish or rerun the explicit global 1.4 in condition in the external 1D bundle,medium,External bundle refresh
reports/2026-06/2026-06-19/2026-06-19_ethan_water_readiness_handoff,cross_family_collapse_test,Cross-family collapse should remain blocked,Water is still readiness-only and not on the same defended branch footing as Salt,Finish Water closure hardening and then rebuild the nondimensional dashboard on comparable rows,high,Water defended branch subset
