case_id,qoi_id,lane,span,method,quantity,numeric_triplet_complete,source_gate,gci_verdict,gci_trustworthy,publication_ready,admission_decision,blocker,recommended_use
salt_2,pressure_gradient_friction::left_lower_leg::section_mean_static_gradient,pressure_gradient_friction,left_lower_leg,section_mean_static_gradient,apparent_darcy_f,yes,medium_fine_source_rows_admitted,oscillatory,no,no,blocked_gci_not_trustworthy,computed GCI failed monotonic/asymptotic gate: oscillatory,treat as mesh sensitivity diagnostic; refine extraction/admission before publication
salt_2,pressure_gradient_friction::left_lower_leg::section_mean_total_pressure_gradient,pressure_gradient_friction,left_lower_leg,section_mean_total_pressure_gradient,apparent_darcy_f,yes,medium_fine_source_rows_admitted,oscillatory,no,no,blocked_gci_not_trustworthy,computed GCI failed monotonic/asymptotic gate: oscillatory,treat as mesh sensitivity diagnostic; refine extraction/admission before publication
salt_2,pressure_gradient_friction::left_upper_leg::section_mean_static_gradient,pressure_gradient_friction,left_upper_leg,section_mean_static_gradient,apparent_darcy_f,no,medium_fine_source_rows_admitted,,,no,blocked_missing_triplet_qoi,missing_coarse_medium_or_fine_numeric_qoi,extract or reconcile the missing mesh-level QoI
salt_2,pressure_gradient_friction::left_upper_leg::section_mean_total_pressure_gradient,pressure_gradient_friction,left_upper_leg,section_mean_total_pressure_gradient,apparent_darcy_f,no,medium_fine_source_rows_admitted,,,no,blocked_missing_triplet_qoi,missing_coarse_medium_or_fine_numeric_qoi,extract or reconcile the missing mesh-level QoI
salt_2,pressure_gradient_friction::lower_leg::section_mean_static_gradient,pressure_gradient_friction,lower_leg,section_mean_static_gradient,apparent_darcy_f,yes,diagnostic_or_not_fit_safe,oscillatory,no,no,diagnostic_not_publication_gci,not_fit_safe_pressure_recovery_or_noise,keep diagnostic; do not publish as closure-QOI mesh GCI
salt_2,pressure_gradient_friction::lower_leg::section_mean_total_pressure_gradient,pressure_gradient_friction,lower_leg,section_mean_total_pressure_gradient,apparent_darcy_f,yes,diagnostic_or_not_fit_safe,oscillatory,no,no,diagnostic_not_publication_gci,not_fit_safe_pressure_recovery_or_noise,keep diagnostic; do not publish as closure-QOI mesh GCI
salt_2,pressure_gradient_friction::right_leg::section_mean_static_gradient,pressure_gradient_friction,right_leg,section_mean_static_gradient,apparent_darcy_f,yes,diagnostic_or_not_fit_safe,oscillatory,no,no,diagnostic_not_publication_gci,not_fit_safe_pressure_recovery_or_noise,keep diagnostic; do not publish as closure-QOI mesh GCI
salt_2,pressure_gradient_friction::right_leg::section_mean_total_pressure_gradient,pressure_gradient_friction,right_leg,section_mean_total_pressure_gradient,apparent_darcy_f,yes,diagnostic_or_not_fit_safe,oscillatory,no,no,diagnostic_not_publication_gci,not_fit_safe_pressure_recovery_or_noise,keep diagnostic; do not publish as closure-QOI mesh GCI
salt_2,pressure_gradient_friction::test_section_span::section_mean_static_gradient,pressure_gradient_friction,test_section_span,section_mean_static_gradient,apparent_darcy_f,no,diagnostic_or_not_fit_safe,,,no,blocked_missing_triplet_qoi,not_fit_safe_pressure_recovery_or_noise,extract or reconcile the missing mesh-level QoI
salt_2,pressure_gradient_friction::test_section_span::section_mean_total_pressure_gradient,pressure_gradient_friction,test_section_span,section_mean_total_pressure_gradient,apparent_darcy_f,no,diagnostic_or_not_fit_safe,,,no,blocked_missing_triplet_qoi,not_fit_safe_pressure_recovery_or_noise,extract or reconcile the missing mesh-level QoI
