case_id,qoi_id,lane,span,method,quantity,units,coarse_value,medium_value,fine_value,r21,r32,numeric_triplet_complete,coarse_source_path,medium_source_path,fine_source_path,coarse_admission_status,medium_admission_status,fine_admission_status,source_gate,blocker
salt_2,pressure_gradient_friction::left_lower_leg::section_mean_static_gradient,pressure_gradient_friction,left_lower_leg,section_mean_static_gradient,apparent_darcy_f,dimensionless,2.07170060414,1.79195553467,1.80956777469,1.5,1.5,yes,work_products/2026-06/2026-06-30/2026-06-30_claude_segment_friction/segment_friction.csv,work_products/2026-07/2026-07-13/2026-07-13_salt2_pressure_only_mesh_family_comparison/friction_mesh_comparison.csv,work_products/2026-07/2026-07-13/2026-07-13_salt2_pressure_only_mesh_family_comparison/friction_mesh_comparison.csv,admitted_mainline,fit_safe_pressure_gradient,fit_safe_pressure_gradient,medium_fine_source_rows_admitted,
salt_2,pressure_gradient_friction::left_lower_leg::section_mean_total_pressure_gradient,pressure_gradient_friction,left_lower_leg,section_mean_total_pressure_gradient,apparent_darcy_f,dimensionless,2.08132314032,1.80041349736,1.81883943595,1.5,1.5,yes,work_products/2026-06/2026-06-30/2026-06-30_claude_segment_friction/segment_friction.csv,work_products/2026-07/2026-07-13/2026-07-13_salt2_pressure_only_mesh_family_comparison/friction_mesh_comparison.csv,work_products/2026-07/2026-07-13/2026-07-13_salt2_pressure_only_mesh_family_comparison/friction_mesh_comparison.csv,admitted_mainline,fit_safe_pressure_gradient,fit_safe_pressure_gradient,medium_fine_source_rows_admitted,
salt_2,pressure_gradient_friction::left_upper_leg::section_mean_static_gradient,pressure_gradient_friction,left_upper_leg,section_mean_static_gradient,apparent_darcy_f,dimensionless,,2.27363962473,2.35957204037,1.5,1.5,no,,work_products/2026-07/2026-07-13/2026-07-13_salt2_pressure_only_mesh_family_comparison/friction_mesh_comparison.csv,work_products/2026-07/2026-07-13/2026-07-13_salt2_pressure_only_mesh_family_comparison/friction_mesh_comparison.csv,,fit_safe_pressure_gradient,fit_safe_pressure_gradient,medium_fine_source_rows_admitted,
salt_2,pressure_gradient_friction::left_upper_leg::section_mean_total_pressure_gradient,pressure_gradient_friction,left_upper_leg,section_mean_total_pressure_gradient,apparent_darcy_f,dimensionless,,2.27644254444,2.36265021544,1.5,1.5,no,,work_products/2026-07/2026-07-13/2026-07-13_salt2_pressure_only_mesh_family_comparison/friction_mesh_comparison.csv,work_products/2026-07/2026-07-13/2026-07-13_salt2_pressure_only_mesh_family_comparison/friction_mesh_comparison.csv,,fit_safe_pressure_gradient,fit_safe_pressure_gradient,medium_fine_source_rows_admitted,
salt_2,pressure_gradient_friction::lower_leg::section_mean_static_gradient,pressure_gradient_friction,lower_leg,section_mean_static_gradient,apparent_darcy_f,dimensionless,0.248880350167,-0.756830591287,-0.719750288331,1.5,1.5,yes,work_products/2026-06/2026-06-30/2026-06-30_claude_segment_friction/segment_friction.csv,work_products/2026-07/2026-07-13/2026-07-13_salt2_pressure_only_mesh_family_comparison/friction_mesh_comparison.csv,work_products/2026-07/2026-07-13/2026-07-13_salt2_pressure_only_mesh_family_comparison/friction_mesh_comparison.csv,admitted_mainline,not_fit_safe_pressure_recovery_or_noise,not_fit_safe_pressure_recovery_or_noise,diagnostic_or_not_fit_safe,not_fit_safe_pressure_recovery_or_noise
salt_2,pressure_gradient_friction::lower_leg::section_mean_total_pressure_gradient,pressure_gradient_friction,lower_leg,section_mean_total_pressure_gradient,apparent_darcy_f,dimensionless,0.245150780929,-0.757345301426,-0.716584189261,1.5,1.5,yes,work_products/2026-06/2026-06-30/2026-06-30_claude_segment_friction/segment_friction.csv,work_products/2026-07/2026-07-13/2026-07-13_salt2_pressure_only_mesh_family_comparison/friction_mesh_comparison.csv,work_products/2026-07/2026-07-13/2026-07-13_salt2_pressure_only_mesh_family_comparison/friction_mesh_comparison.csv,admitted_mainline,not_fit_safe_pressure_recovery_or_noise,not_fit_safe_pressure_recovery_or_noise,diagnostic_or_not_fit_safe,not_fit_safe_pressure_recovery_or_noise
salt_2,pressure_gradient_friction::right_leg::section_mean_static_gradient,pressure_gradient_friction,right_leg,section_mean_static_gradient,apparent_darcy_f,dimensionless,1.28750694317,-1.70428527403,-1.70094313759,1.5,1.5,yes,work_products/2026-06/2026-06-30/2026-06-30_claude_segment_friction/segment_friction.csv,work_products/2026-07/2026-07-13/2026-07-13_salt2_pressure_only_mesh_family_comparison/friction_mesh_comparison.csv,work_products/2026-07/2026-07-13/2026-07-13_salt2_pressure_only_mesh_family_comparison/friction_mesh_comparison.csv,admitted_mainline,not_fit_safe_pressure_recovery_or_noise,not_fit_safe_pressure_recovery_or_noise,diagnostic_or_not_fit_safe,not_fit_safe_pressure_recovery_or_noise
salt_2,pressure_gradient_friction::right_leg::section_mean_total_pressure_gradient,pressure_gradient_friction,right_leg,section_mean_total_pressure_gradient,apparent_darcy_f,dimensionless,1.30880574307,-1.7034807686,-1.70006373182,1.5,1.5,yes,work_products/2026-06/2026-06-30/2026-06-30_claude_segment_friction/segment_friction.csv,work_products/2026-07/2026-07-13/2026-07-13_salt2_pressure_only_mesh_family_comparison/friction_mesh_comparison.csv,work_products/2026-07/2026-07-13/2026-07-13_salt2_pressure_only_mesh_family_comparison/friction_mesh_comparison.csv,admitted_mainline,not_fit_safe_pressure_recovery_or_noise,not_fit_safe_pressure_recovery_or_noise,diagnostic_or_not_fit_safe,not_fit_safe_pressure_recovery_or_noise
salt_2,pressure_gradient_friction::test_section_span::section_mean_static_gradient,pressure_gradient_friction,test_section_span,section_mean_static_gradient,apparent_darcy_f,dimensionless,,-0.68696315994,-0.654071614869,1.5,1.5,no,,work_products/2026-07/2026-07-13/2026-07-13_salt2_pressure_only_mesh_family_comparison/friction_mesh_comparison.csv,work_products/2026-07/2026-07-13/2026-07-13_salt2_pressure_only_mesh_family_comparison/friction_mesh_comparison.csv,,not_fit_safe_pressure_recovery_or_noise,not_fit_safe_pressure_recovery_or_noise,diagnostic_or_not_fit_safe,not_fit_safe_pressure_recovery_or_noise
salt_2,pressure_gradient_friction::test_section_span::section_mean_total_pressure_gradient,pressure_gradient_friction,test_section_span,section_mean_total_pressure_gradient,apparent_darcy_f,dimensionless,,-0.691622907266,-0.658401929906,1.5,1.5,no,,work_products/2026-07/2026-07-13/2026-07-13_salt2_pressure_only_mesh_family_comparison/friction_mesh_comparison.csv,work_products/2026-07/2026-07-13/2026-07-13_salt2_pressure_only_mesh_family_comparison/friction_mesh_comparison.csv,,not_fit_safe_pressure_recovery_or_noise,not_fit_safe_pressure_recovery_or_noise,diagnostic_or_not_fit_safe,not_fit_safe_pressure_recovery_or_noise
