case_id,qoi_id,lane,span,method,quantity,coarse_value,medium_value,fine_value,blocker,recommended_next_action
salt_2,pressure_gradient_friction::left_lower_leg::section_mean_static_gradient,pressure_gradient_friction,left_lower_leg,section_mean_static_gradient,apparent_darcy_f,2.07170060414,1.79195553467,1.80956777469,computed GCI failed monotonic/asymptotic gate: oscillatory,treat as mesh sensitivity diagnostic; refine extraction/admission before publication
salt_2,pressure_gradient_friction::left_lower_leg::section_mean_total_pressure_gradient,pressure_gradient_friction,left_lower_leg,section_mean_total_pressure_gradient,apparent_darcy_f,2.08132314032,1.80041349736,1.81883943595,computed GCI failed monotonic/asymptotic gate: oscillatory,treat as mesh sensitivity diagnostic; refine extraction/admission before publication
salt_2,pressure_gradient_friction::left_upper_leg::section_mean_static_gradient,pressure_gradient_friction,left_upper_leg,section_mean_static_gradient,apparent_darcy_f,,2.27363962473,2.35957204037,missing_coarse_medium_or_fine_numeric_qoi,extract or reconcile the missing mesh-level QoI
salt_2,pressure_gradient_friction::left_upper_leg::section_mean_total_pressure_gradient,pressure_gradient_friction,left_upper_leg,section_mean_total_pressure_gradient,apparent_darcy_f,,2.27644254444,2.36265021544,missing_coarse_medium_or_fine_numeric_qoi,extract or reconcile the missing mesh-level QoI
salt_2,pressure_gradient_friction::lower_leg::section_mean_static_gradient,pressure_gradient_friction,lower_leg,section_mean_static_gradient,apparent_darcy_f,0.248880350167,-0.756830591287,-0.719750288331,not_fit_safe_pressure_recovery_or_noise,keep diagnostic; do not publish as closure-QOI mesh GCI
salt_2,pressure_gradient_friction::lower_leg::section_mean_total_pressure_gradient,pressure_gradient_friction,lower_leg,section_mean_total_pressure_gradient,apparent_darcy_f,0.245150780929,-0.757345301426,-0.716584189261,not_fit_safe_pressure_recovery_or_noise,keep diagnostic; do not publish as closure-QOI mesh GCI
salt_2,pressure_gradient_friction::right_leg::section_mean_static_gradient,pressure_gradient_friction,right_leg,section_mean_static_gradient,apparent_darcy_f,1.28750694317,-1.70428527403,-1.70094313759,not_fit_safe_pressure_recovery_or_noise,keep diagnostic; do not publish as closure-QOI mesh GCI
salt_2,pressure_gradient_friction::right_leg::section_mean_total_pressure_gradient,pressure_gradient_friction,right_leg,section_mean_total_pressure_gradient,apparent_darcy_f,1.30880574307,-1.7034807686,-1.70006373182,not_fit_safe_pressure_recovery_or_noise,keep diagnostic; do not publish as closure-QOI mesh GCI
salt_2,pressure_gradient_friction::test_section_span::section_mean_static_gradient,pressure_gradient_friction,test_section_span,section_mean_static_gradient,apparent_darcy_f,,-0.68696315994,-0.654071614869,not_fit_safe_pressure_recovery_or_noise,extract or reconcile the missing mesh-level QoI
salt_2,pressure_gradient_friction::test_section_span::section_mean_total_pressure_gradient,pressure_gradient_friction,test_section_span,section_mean_total_pressure_gradient,apparent_darcy_f,,-0.691622907266,-0.658401929906,not_fit_safe_pressure_recovery_or_noise,extract or reconcile the missing mesh-level QoI
