case_key,plane_location,station_label,case_role,pre_wrapper_admission_status,metric_status,parse_status,post_3305547_admission_status,fit_candidate,source_path
salt2_jin_nominal_continuation,upcomer_inlet,left_lower_leg__s00,fit-admissible,blocked-compute-node-sampling-required,awaiting_compute_node_sampling,job_pending_or_parser_outputs_missing,blocked_compute_or_parser_outputs_missing,false,work_products/2026-07/2026-07-20/2026-07-20_pressure_upcomer_matched_plane_relaunch_package/matched_plane_metrics_admission.csv
salt2_jin_nominal_continuation,upcomer_mid,test_section_span__s02,fit-admissible,blocked-compute-node-sampling-required,awaiting_compute_node_sampling,job_pending_or_parser_outputs_missing,blocked_compute_or_parser_outputs_missing,false,work_products/2026-07/2026-07-20/2026-07-20_pressure_upcomer_matched_plane_relaunch_package/matched_plane_metrics_admission.csv
salt2_jin_nominal_continuation,upcomer_outlet,left_upper_leg__s04,fit-admissible,blocked-compute-node-sampling-required,awaiting_compute_node_sampling,job_pending_or_parser_outputs_missing,blocked_compute_or_parser_outputs_missing,false,work_products/2026-07/2026-07-20/2026-07-20_pressure_upcomer_matched_plane_relaunch_package/matched_plane_metrics_admission.csv
salt3_jin_nominal_continuation,upcomer_inlet,left_lower_leg__s00,validation-only,blocked-compute-node-sampling-required,awaiting_compute_node_sampling,job_pending_or_parser_outputs_missing,blocked_compute_or_parser_outputs_missing,false,work_products/2026-07/2026-07-20/2026-07-20_pressure_upcomer_matched_plane_relaunch_package/matched_plane_metrics_admission.csv
salt3_jin_nominal_continuation,upcomer_mid,test_section_span__s02,validation-only,blocked-compute-node-sampling-required,awaiting_compute_node_sampling,job_pending_or_parser_outputs_missing,blocked_compute_or_parser_outputs_missing,false,work_products/2026-07/2026-07-20/2026-07-20_pressure_upcomer_matched_plane_relaunch_package/matched_plane_metrics_admission.csv
salt3_jin_nominal_continuation,upcomer_outlet,left_upper_leg__s04,validation-only,blocked-compute-node-sampling-required,awaiting_compute_node_sampling,job_pending_or_parser_outputs_missing,blocked_compute_or_parser_outputs_missing,false,work_products/2026-07/2026-07-20/2026-07-20_pressure_upcomer_matched_plane_relaunch_package/matched_plane_metrics_admission.csv
salt4_jin_nominal_continuation,upcomer_inlet,left_lower_leg__s00,holdout-only,blocked-compute-node-sampling-required,awaiting_compute_node_sampling,job_pending_or_parser_outputs_missing,blocked_compute_or_parser_outputs_missing,false,work_products/2026-07/2026-07-20/2026-07-20_pressure_upcomer_matched_plane_relaunch_package/matched_plane_metrics_admission.csv
salt4_jin_nominal_continuation,upcomer_mid,test_section_span__s02,holdout-only,blocked-compute-node-sampling-required,awaiting_compute_node_sampling,job_pending_or_parser_outputs_missing,blocked_compute_or_parser_outputs_missing,false,work_products/2026-07/2026-07-20/2026-07-20_pressure_upcomer_matched_plane_relaunch_package/matched_plane_metrics_admission.csv
salt4_jin_nominal_continuation,upcomer_outlet,left_upper_leg__s04,holdout-only,blocked-compute-node-sampling-required,awaiting_compute_node_sampling,job_pending_or_parser_outputs_missing,blocked_compute_or_parser_outputs_missing,false,work_products/2026-07/2026-07-20/2026-07-20_pressure_upcomer_matched_plane_relaunch_package/matched_plane_metrics_admission.csv
salt2_lo10q,upcomer_inlet,left_lower_leg__s00,pending-terminal-harvest,blocked-compute-node-sampling-required,awaiting_compute_node_sampling,parser_inputs_present,blocked_parser_rollup_required,false,work_products/2026-07/2026-07-20/2026-07-20_pressure_upcomer_matched_plane_relaunch_package/matched_plane_metrics_admission.csv
