case_id,split_role,candidate_id,candidate_class,eta_heater,heater_setup_power_W,predicted_heater_to_fluid_W,target_heater_wallHeatFlux_W_for_scoring_only,error_W,abs_error_W,tolerance_W,wallflux_qoi_gate,runtime_gate,admission_status,fit_basis,note,source_path
salt_2,train,HF0_setup_power_all_to_fluid,setup_unfitted,1,265.7,265.7,243.51909758,22.18090242,22.18090242,,fit_row,pass,not_admitted,none,baseline assumes all setup heater power enters salt,work_products/2026-07/2026-07-13/2026-07-13_heater_test_section_contract/case_heat_ledger.csv
salt_2,train,HF1_eta_tmean_salt2_prior,prior_train_scalar,0.989703290269,265.7,262.964164224,243.51909758,19.4450666445,19.4450666445,,fit_row,pass,not_admitted,salt_2_Tmean_residual_prior,prior Salt2 Tmean scalar from heater/source methods package,work_products/2026-07/2026-07-13/2026-07-13_heater_test_section_contract/case_heat_ledger.csv
salt_2,train,HF2_eta_wallflux_salt2,train_wallflux_scalar,0.91651899729,265.7,243.51909758,243.51909758,0,0,,fit_row,pass,score_pass_candidate_not_final_forward_model,salt_2_heater_realized_wallHeatFlux_source_W,Salt2 train wallHeatFlux-derived eta; Salt3/Salt4 wallHeatFlux used only as score targets,work_products/2026-07/2026-07-13/2026-07-13_heater_test_section_contract/case_heat_ledger.csv
salt_2,train,HF3_case_realized_eta_upper_bound,diagnostic_leakage_upper_bound,0.91651899729,265.7,243.51909758,243.51909758,0,0,,fit_row,fail_for_admission,not_admitted,per_case_realized_wallHeatFlux,reproduces target by consuming realized wallHeatFlux for each case,work_products/2026-07/2026-07-13/2026-07-13_heater_test_section_contract/case_heat_ledger.csv
salt_3,validation,HF0_setup_power_all_to_fluid,setup_unfitted,1,297.5,297.5,273.15537485,24.34462515,24.34462515,5,fail,pass,not_admitted,none,baseline assumes all setup heater power enters salt,work_products/2026-07/2026-07-13/2026-07-13_heater_test_section_contract/case_heat_ledger.csv
salt_3,validation,HF1_eta_tmean_salt2_prior,prior_train_scalar,0.989703290269,297.5,294.436728855,273.15537485,21.281354005,21.281354005,5,fail,pass,not_admitted,salt_2_Tmean_residual_prior,prior Salt2 Tmean scalar from heater/source methods package,work_products/2026-07/2026-07-13/2026-07-13_heater_test_section_contract/case_heat_ledger.csv
salt_3,validation,HF2_eta_wallflux_salt2,train_wallflux_scalar,0.91651899729,297.5,272.664401694,273.15537485,-0.490973156172,0.490973156172,5,pass,pass,score_pass_candidate_not_final_forward_model,salt_2_heater_realized_wallHeatFlux_source_W,Salt2 train wallHeatFlux-derived eta; Salt3/Salt4 wallHeatFlux used only as score targets,work_products/2026-07/2026-07-13/2026-07-13_heater_test_section_contract/case_heat_ledger.csv
salt_3,validation,HF3_case_realized_eta_upper_bound,diagnostic_leakage_upper_bound,0.918169327227,297.5,273.15537485,273.15537485,0,0,5,pass,fail_for_admission,not_admitted,per_case_realized_wallHeatFlux,reproduces target by consuming realized wallHeatFlux for each case,work_products/2026-07/2026-07-13/2026-07-13_heater_test_section_contract/case_heat_ledger.csv
salt_4,holdout,HF0_setup_power_all_to_fluid,setup_unfitted,1,337.6,337.6,310.4870585,27.1129415,27.1129415,10,fail,pass,not_admitted,none,baseline assumes all setup heater power enters salt,work_products/2026-07/2026-07-13/2026-07-13_heater_test_section_contract/case_heat_ledger.csv
salt_4,holdout,HF1_eta_tmean_salt2_prior,prior_train_scalar,0.989703290269,337.6,334.123830795,310.4870585,23.6367722948,23.6367722948,10,fail,pass,not_admitted,salt_2_Tmean_residual_prior,prior Salt2 Tmean scalar from heater/source methods package,work_products/2026-07/2026-07-13/2026-07-13_heater_test_section_contract/case_heat_ledger.csv
salt_4,holdout,HF2_eta_wallflux_salt2,train_wallflux_scalar,0.91651899729,337.6,309.416813485,310.4870585,-1.07024501484,1.07024501484,10,pass,pass,score_pass_candidate_not_final_forward_model,salt_2_heater_realized_wallHeatFlux_source_W,Salt2 train wallHeatFlux-derived eta; Salt3/Salt4 wallHeatFlux used only as score targets,work_products/2026-07/2026-07-13/2026-07-13_heater_test_section_contract/case_heat_ledger.csv
salt_4,holdout,HF3_case_realized_eta_upper_bound,diagnostic_leakage_upper_bound,0.919689154325,337.6,310.4870585,310.4870585,0,0,10,pass,fail_for_admission,not_admitted,per_case_realized_wallHeatFlux,reproduces target by consuming realized wallHeatFlux for each case,work_products/2026-07/2026-07-13/2026-07-13_heater_test_section_contract/case_heat_ledger.csv
