source_id,case_id,patch_name,role,one_d_segment,bc_type,area_m2,start_face,n_boundary_faces,n_owner_samples,n_unique_owner_cells,T_wall_shell_K,T_wall_shell_min_K,T_wall_shell_max_K,T_wall_shell_std_K,proxy_definition,support_status,recon_case_dir,time_s,owner_path,boundary_path,T_field_path
viscosity_screening_salt_test_2_jin_coarse_mesh,salt_2,junction_lower_left,junction_other,junction,rcExternalTemperature,0.002924521,6403796,2064,2064,2064,437.640960099,396.391342,473.622329,15.876968495,boundary_face_owner_cell_temperature_mean,ok_patch_internal_owner_cell_proxy,tmp/2026-06-30_claude_action_items/recon_salt2_of13,7915,tmp/2026-06-30_claude_action_items/recon_salt2_of13/constant/polyMesh/owner,tmp/2026-06-30_claude_action_items/recon_salt2_of13/constant/polyMesh/boundary,tmp/2026-06-30_claude_action_items/recon_salt2_of13/7915/T
viscosity_screening_salt_test_2_jin_coarse_mesh,salt_2,junction_lower_left_left_extension,junction_other,junction,rcExternalTemperature,0.002183347,6416564,1632,1632,1632,435.03699505,391.797142,447.113819,12.418783074,boundary_face_owner_cell_temperature_mean,ok_patch_internal_owner_cell_proxy,tmp/2026-06-30_claude_action_items/recon_salt2_of13,7915,tmp/2026-06-30_claude_action_items/recon_salt2_of13/constant/polyMesh/owner,tmp/2026-06-30_claude_action_items/recon_salt2_of13/constant/polyMesh/boundary,tmp/2026-06-30_claude_action_items/recon_salt2_of13/7915/T
viscosity_screening_salt_test_2_jin_coarse_mesh,salt_2,junction_lower_left_lower_extension,junction_other,junction,rcExternalTemperature,0.001910429,6418772,1440,1440,1440,344.701377962,314.52317,391.466404,24.274286575,boundary_face_owner_cell_temperature_mean,ok_patch_internal_owner_cell_proxy,tmp/2026-06-30_claude_action_items/recon_salt2_of13,7915,tmp/2026-06-30_claude_action_items/recon_salt2_of13/constant/polyMesh/owner,tmp/2026-06-30_claude_action_items/recon_salt2_of13/constant/polyMesh/boundary,tmp/2026-06-30_claude_action_items/recon_salt2_of13/7915/T
viscosity_screening_salt_test_2_jin_coarse_mesh,salt_2,junction_lower_right,junction_other,junction,rcExternalTemperature,0.00292452,6406436,2064,2064,2064,436.92771718,418.842527,443.100835,5.618841341,boundary_face_owner_cell_temperature_mean,ok_patch_internal_owner_cell_proxy,tmp/2026-06-30_claude_action_items/recon_salt2_of13,7915,tmp/2026-06-30_claude_action_items/recon_salt2_of13/constant/polyMesh/owner,tmp/2026-06-30_claude_action_items/recon_salt2_of13/constant/polyMesh/boundary,tmp/2026-06-30_claude_action_items/recon_salt2_of13/7915/T
viscosity_screening_salt_test_2_jin_coarse_mesh,salt_2,junction_lower_right_lower_extension,junction_other,junction,rcExternalTemperature,0.003544421,6423380,2448,2448,2448,353.618129982,310.932747,427.537373,34.355706038,boundary_face_owner_cell_temperature_mean,ok_patch_internal_owner_cell_proxy,tmp/2026-06-30_claude_action_items/recon_salt2_of13,7915,tmp/2026-06-30_claude_action_items/recon_salt2_of13/constant/polyMesh/owner,tmp/2026-06-30_claude_action_items/recon_salt2_of13/constant/polyMesh/boundary,tmp/2026-06-30_claude_action_items/recon_salt2_of13/7915/T
viscosity_screening_salt_test_2_jin_coarse_mesh,salt_2,junction_lower_right_right_extension,junction_other,junction,rcExternalTemperature,0.002183347,6421172,1632,1632,1632,430.172588088,390.678887,439.073335,10.519947562,boundary_face_owner_cell_temperature_mean,ok_patch_internal_owner_cell_proxy,tmp/2026-06-30_claude_action_items/recon_salt2_of13,7915,tmp/2026-06-30_claude_action_items/recon_salt2_of13/constant/polyMesh/owner,tmp/2026-06-30_claude_action_items/recon_salt2_of13/constant/polyMesh/boundary,tmp/2026-06-30_claude_action_items/recon_salt2_of13/7915/T
viscosity_screening_salt_test_2_jin_coarse_mesh,salt_2,junction_upper_left,junction_other,junction,rcExternalTemperature,0.002687301,6413444,1584,1584,1584,453.632446828,449.664348,456.621428,2.055093481,boundary_face_owner_cell_temperature_mean,ok_patch_internal_owner_cell_proxy,tmp/2026-06-30_claude_action_items/recon_salt2_of13,7915,tmp/2026-06-30_claude_action_items/recon_salt2_of13/constant/polyMesh/owner,tmp/2026-06-30_claude_action_items/recon_salt2_of13/constant/polyMesh/boundary,tmp/2026-06-30_claude_action_items/recon_salt2_of13/7915/T
viscosity_screening_salt_test_2_jin_coarse_mesh,salt_2,junction_upper_left_upper_extension,junction_other,junction,rcExternalTemperature,0.010633262,6433124,6768,6768,6768,450.149702181,423.6311,456.266105,4.632049458,boundary_face_owner_cell_temperature_mean,ok_patch_internal_owner_cell_proxy,tmp/2026-06-30_claude_action_items/recon_salt2_of13,7915,tmp/2026-06-30_claude_action_items/recon_salt2_of13/constant/polyMesh/owner,tmp/2026-06-30_claude_action_items/recon_salt2_of13/constant/polyMesh/boundary,tmp/2026-06-30_claude_action_items/recon_salt2_of13/7915/T
viscosity_screening_salt_test_2_jin_coarse_mesh,salt_2,junction_upper_right,junction_other,junction,rcExternalTemperature,0.00292452,6409652,2064,2064,2064,445.23238196,427.325747,451.201603,5.789382142,boundary_face_owner_cell_temperature_mean,ok_patch_internal_owner_cell_proxy,tmp/2026-06-30_claude_action_items/recon_salt2_of13,7915,tmp/2026-06-30_claude_action_items/recon_salt2_of13/constant/polyMesh/owner,tmp/2026-06-30_claude_action_items/recon_salt2_of13/constant/polyMesh/boundary,tmp/2026-06-30_claude_action_items/recon_salt2_of13/7915/T
viscosity_screening_salt_test_2_jin_coarse_mesh,salt_2,junction_upper_right_right_extension,junction_other,junction,rcExternalTemperature,0.002183347,6426788,1632,1632,1632,440.069442987,396.204641,450.351652,11.758396829,boundary_face_owner_cell_temperature_mean,ok_patch_internal_owner_cell_proxy,tmp/2026-06-30_claude_action_items/recon_salt2_of13,7915,tmp/2026-06-30_claude_action_items/recon_salt2_of13/constant/polyMesh/owner,tmp/2026-06-30_claude_action_items/recon_salt2_of13/constant/polyMesh/boundary,tmp/2026-06-30_claude_action_items/recon_salt2_of13/7915/T
