family,case_id,case_label,branch,time_count,agree_time_count,negative_mean_direct_time_count,positive_cumulative_time_count,nonpositive_cumulative_time_count,branch_alignment_signature,mean_shear_gradient_pa_per_m,mean_direct_prgh_gradient_pa_per_m,direct_to_shear_ratio_mean,terminal_direct_prgh_drop_pa,raw_summary_terminal_direct_prgh_drop_pa,terminal_direct_prgh_drop_source,terminal_shear_drop_pa,direct_support_fraction,source_summary_path,source_timeseries_path
water,val_water_test_1_coarse_mesh_laminar,Water 1,lower_leg,5,5,0,5,0,-1.0,1.3689472675256984,0.1803186302852659,0.131722213232,0.15626724140522744,0.15626724140522744,summary_mean,1.2247816077005285,1.000000000000,tmp/2026-06-15_live_case_analysis/contract_fix_water_family/val_water_test_1_coarse_mesh_laminar/major_loss_summary.csv,tmp/2026-06-15_live_case_analysis/contract_fix_water_family/val_water_test_1_coarse_mesh_laminar/major_loss_cumulative_timeseries.csv
water,val_water_test_1_coarse_mesh_laminar,Water 1,right_leg,5,5,0,5,0,-1.0,1.1372356765218328,0.29158057612717264,0.256706675776,0.3422979469622288,0.3422979469622288,summary_mean,1.0278859965924119,1.000000000000,tmp/2026-06-15_live_case_analysis/contract_fix_water_family/val_water_test_1_coarse_mesh_laminar/major_loss_summary.csv,tmp/2026-06-15_live_case_analysis/contract_fix_water_family/val_water_test_1_coarse_mesh_laminar/major_loss_cumulative_timeseries.csv
water,val_water_test_1_coarse_mesh_laminar,Water 1,left_lower_leg,5,2,3,5,0,1.0,1.3899321488007272,-0.0038120213651680044,0.011264401441,0.04509369746374525,0.04509369746374525,summary_mean,0.43348199845860236,0.968750000000,tmp/2026-06-15_live_case_analysis/contract_fix_water_family/val_water_test_1_coarse_mesh_laminar/major_loss_summary.csv,tmp/2026-06-15_live_case_analysis/contract_fix_water_family/val_water_test_1_coarse_mesh_laminar/major_loss_cumulative_timeseries.csv
water,val_water_test_1_coarse_mesh_laminar,Water 1,test_section_span,5,5,0,5,0,-1.0,0.6143841457870555,5.196471186117386,8.459513412617,1.3390327030076026,1.3390327030076026,summary_mean,0.14769401281480254,1.000000000000,tmp/2026-06-15_live_case_analysis/contract_fix_water_family/val_water_test_1_coarse_mesh_laminar/major_loss_summary.csv,tmp/2026-06-15_live_case_analysis/contract_fix_water_family/val_water_test_1_coarse_mesh_laminar/major_loss_cumulative_timeseries.csv
water,val_water_test_1_coarse_mesh_laminar,Water 1,left_upper_leg,5,5,0,5,0,1.0,0.18261242369496605,1.4641013334436592,9.002607136918,0.226760025379,nan,timeseries_mean_fallback,0.06646072443555111,0.972972972973,tmp/2026-06-15_live_case_analysis/contract_fix_water_family/val_water_test_1_coarse_mesh_laminar/major_loss_summary.csv,tmp/2026-06-15_live_case_analysis/contract_fix_water_family/val_water_test_1_coarse_mesh_laminar/major_loss_cumulative_timeseries.csv
water,val_water_test_1_coarse_mesh_laminar,Water 1,upper_leg,5,5,0,5,0,-1.0,1.3210257347213088,4.747786453201433,3.720171197424,3.984023676677,nan,timeseries_mean_fallback,1.1811209141432393,0.977777777778,tmp/2026-06-15_live_case_analysis/contract_fix_water_family/val_water_test_1_coarse_mesh_laminar/major_loss_summary.csv,tmp/2026-06-15_live_case_analysis/contract_fix_water_family/val_water_test_1_coarse_mesh_laminar/major_loss_cumulative_timeseries.csv
water,val_water_test_2_coarse_mesh_laminar,Water 2,lower_leg,5,5,0,5,0,-1.0,1.6618347595823362,0.13078885582437613,0.078728977731,0.12290940583307222,0.12290940583307222,summary_mean,1.4858490885209323,1.000000000000,tmp/2026-06-15_live_case_analysis/contract_fix_water_family/val_water_test_2_coarse_mesh_laminar/major_loss_summary.csv,tmp/2026-06-15_live_case_analysis/contract_fix_water_family/val_water_test_2_coarse_mesh_laminar/major_loss_cumulative_timeseries.csv
water,val_water_test_2_coarse_mesh_laminar,Water 2,right_leg,5,5,0,5,0,1.0,1.3004051261150014,1.5664547451278397,1.204637887627,1.4233077835641808,1.4233077835641808,summary_mean,1.1716633142122148,1.000000000000,tmp/2026-06-15_live_case_analysis/contract_fix_water_family/val_water_test_2_coarse_mesh_laminar/major_loss_summary.csv,tmp/2026-06-15_live_case_analysis/contract_fix_water_family/val_water_test_2_coarse_mesh_laminar/major_loss_cumulative_timeseries.csv
water,val_water_test_2_coarse_mesh_laminar,Water 2,left_lower_leg,5,2,3,5,0,-1.0;1.0,1.7018593860945983,0.035952354934720036,0.068337226393,0.049471231288000975,0.049471231288000975,summary_mean,0.5309425199133896,0.968750000000,tmp/2026-06-15_live_case_analysis/contract_fix_water_family/val_water_test_2_coarse_mesh_laminar/major_loss_summary.csv,tmp/2026-06-15_live_case_analysis/contract_fix_water_family/val_water_test_2_coarse_mesh_laminar/major_loss_cumulative_timeseries.csv
water,val_water_test_2_coarse_mesh_laminar,Water 2,test_section_span,5,5,0,5,0,-1.0,0.7472536597192421,6.7025127224626555,8.973517965711,1.7201810513779114,1.7201810513779114,summary_mean,0.1782156792121708,1.000000000000,tmp/2026-06-15_live_case_analysis/contract_fix_water_family/val_water_test_2_coarse_mesh_laminar/major_loss_summary.csv,tmp/2026-06-15_live_case_analysis/contract_fix_water_family/val_water_test_2_coarse_mesh_laminar/major_loss_cumulative_timeseries.csv
