guardrail,value
native_solver_outputs_mutated,False
registry_or_admission_mutated,False
scheduler_action,False
solver_postprocessing_sampler_harvest_launch,False
ethan_package_fluid_or_external_edit,False
external_fluid_edit_recorded_by_peer_row,True
external_fluid_configs_edited,False
thesis_current_or_latex_edit,False
protected_scoring,False
fitting_or_model_selection,False
source_property_release,False
qwall_or_numeric_q_loss_release,False
coefficient_admission_or_candidate_freeze,False
final_score_claim,False
residual_absorption_into_internal_Nu,False
