artifact,role,path,notes
README.md,generated_output,work_products/2026-07/2026-07-15/2026-07-15_salt_forward_v1_unblock/README.md,Package overview and current decisions
scheduler_snapshot.csv,generated_output,work_products/2026-07/2026-07-15/2026-07-15_salt_forward_v1_unblock/scheduler_snapshot.csv,Read-only scheduler snapshot from squeue/sacct and PM5 source status
pm5_matched_plane_recovery_audit.csv,generated_output,work_products/2026-07/2026-07-15/2026-07-15_salt_forward_v1_unblock/pm5_matched_plane_recovery_audit.csv,PM5 parsed-output audit
salt_training_fit_input_table.csv,generated_output,work_products/2026-07/2026-07-15/2026-07-15_salt_forward_v1_unblock/salt_training_fit_input_table.csv,Closure-fit-ready Salt thermal split table
stale_inventory_refresh_actions.csv,generated_output,work_products/2026-07/2026-07-15/2026-07-15_salt_forward_v1_unblock/stale_inventory_refresh_actions.csv,Stale labels/docs that should be refreshed by a later task
setup_only_hx_boundary_action_table.csv,generated_output,work_products/2026-07/2026-07-15/2026-07-15_salt_forward_v1_unblock/setup_only_hx_boundary_action_table.csv,Setup-only cooler/HX action state
sensor_policy_action_table.csv,generated_output,work_products/2026-07/2026-07-15/2026-07-15_salt_forward_v1_unblock/sensor_policy_action_table.csv,Sensor target/exclusion policy action table
salt_training_testing_case_use_table.csv,read_only_input,work_products/2026-07/2026-07-14/2026-07-14_salt_training_testing_evidence_rollup/salt_training_testing_case_use_table.csv,Source for Salt thermal training/holdout rows
pm5_unlock_summary,read_only_input,work_products/2026-07/2026-07-14/2026-07-14_pm5_corrected_q_matched_plane_unlock/summary.json,Source for PM5 cancelled/interactive/incomplete parsed state
pm5_parsed_csvs,read_only_input,work_products/2026-07/2026-07-14/2026-07-14_pm5_corrected_q_matched_plane_unlock/parsed/matched_plane_metrics_*.csv,Source for parsed PM5 row counts and missing fields
setup_only_cooler_bakeoff,read_only_input,work_products/2026-07/2026-07-14/2026-07-14_mdot_temperature_overnight_compute_node_run/setup_only_cooler_closure_bakeoff/cooler_rmse_summary_with_leakage_policy.csv,Source for setup-only cooler candidate numbers
sensor_map_contract,read_only_input,work_products/2026-07/2026-07-13/2026-07-13_predictive_sensor_map_contract/sensor_map_contract.csv,Source for TP/TW score policy
agent391_summary,read_only_input,work_products/2026-07/2026-07-14/2026-07-14_mdot_temperature_overnight_compute_node_run/summary.json,Completed overnight mdot/temperature package
agent392_run_summary,read_only_input,work_products/2026-07/2026-07-14/2026-07-14_thermal_overnight_compute_node_rescue/run_summary.json,Completed thermal rescue stage status at AGENT-402 closeout
