source_id,path,row_count,pass_like_row_count,used_for
active_equations,/scratch/09748/andresfierro231/projects_scratch/papers/UTexas_Research/LitRev-start---Closure-and-Modeling-Decisions-for-Developing-HITEC-Flow-TAMU-MSFL/data/audit_outputs/final_release/HITEC_final_active_equation_gate_matrix.csv,44,16,admission_status_inputs_only_no_scoring
source_validity,/scratch/09748/andresfierro231/projects_scratch/papers/UTexas_Research/LitRev-start---Closure-and-Modeling-Decisions-for-Developing-HITEC-Flow-TAMU-MSFL/data/audit_outputs/final_release/HITEC_final_source_validity_envelope.csv,84,0,admission_status_inputs_only_no_scoring
nu,/scratch/09748/andresfierro231/projects_scratch/papers/UTexas_Research/LitRev-start---Closure-and-Modeling-Decisions-for-Developing-HITEC-Flow-TAMU-MSFL/data/audit_outputs/final_release/HITEC_final_Nu_correlation_gate_matrix.csv,10,0,admission_status_inputs_only_no_scoring
properties,/scratch/09748/andresfierro231/projects_scratch/papers/UTexas_Research/LitRev-start---Closure-and-Modeling-Decisions-for-Developing-HITEC-Flow-TAMU-MSFL/data/audit_outputs/final_release/HITEC_final_property_gate_matrix.csv,10,2,admission_status_inputs_only_no_scoring
minor_loss,/scratch/09748/andresfierro231/projects_scratch/papers/UTexas_Research/LitRev-start---Closure-and-Modeling-Decisions-for-Developing-HITEC-Flow-TAMU-MSFL/data/audit_outputs/final_release/HITEC_final_minor_loss_K_gate_matrix.csv,6,0,admission_status_inputs_only_no_scoring
cfd_coefficients,/scratch/09748/andresfierro231/projects_scratch/papers/UTexas_Research/LitRev-start---Closure-and-Modeling-Decisions-for-Developing-HITEC-Flow-TAMU-MSFL/data/audit_outputs/final_release/HITEC_final_CFD_coefficient_gate_matrix.csv,5,3,admission_status_inputs_only_no_scoring
rom,/scratch/09748/andresfierro231/projects_scratch/papers/UTexas_Research/LitRev-start---Closure-and-Modeling-Decisions-for-Developing-HITEC-Flow-TAMU-MSFL/data/audit_outputs/final_release/HITEC_final_ROM_admission_gate.csv,5,0,admission_status_inputs_only_no_scoring
model_form,/scratch/09748/andresfierro231/projects_scratch/papers/UTexas_Research/LitRev-start---Closure-and-Modeling-Decisions-for-Developing-HITEC-Flow-TAMU-MSFL/data/audit_outputs/final_release/HITEC_final_model_form_hierarchy.csv,6,0,admission_status_inputs_only_no_scoring
reverse_flow,/scratch/09748/andresfierro231/projects_scratch/papers/UTexas_Research/LitRev-start---Closure-and-Modeling-Decisions-for-Developing-HITEC-Flow-TAMU-MSFL/data/audit_outputs/final_release/HITEC_final_reverse_flow_taxonomy.csv,6,0,admission_status_inputs_only_no_scoring
pressure_energy,/scratch/09748/andresfierro231/projects_scratch/papers/UTexas_Research/LitRev-start---Closure-and-Modeling-Decisions-for-Developing-HITEC-Flow-TAMU-MSFL/data/audit_outputs/final_release/HITEC_final_pressure_energy_accounting_rules.csv,14,0,admission_status_inputs_only_no_scoring
