source_path,exists,row_count,first_columns,use
/scratch/09748/andresfierro231/projects_scratch/papers/UTexas_Research/LitRev-start---Closure-and-Modeling-Decisions-for-Developing-HITEC-Flow-TAMU-MSFL/data/audit_outputs/final_release/HITEC_final_source_validity_envelope.csv,true,84,﻿closure_or_diagnostic_name;source;source_id;fluid;composition;geometry;orientation;thermal_boundary_condition;pressure_or_flow_rate_boundary_condition;Re_range;Pr_range;Gr_range,LitRev final-release controlling layer provenance
/scratch/09748/andresfierro231/projects_scratch/papers/UTexas_Research/LitRev-start---Closure-and-Modeling-Decisions-for-Developing-HITEC-Flow-TAMU-MSFL/data/audit_outputs/final_release/HITEC_final_active_equation_gate_matrix.csv,true,44,domain;closure_or_equation;equation_or_model_form;source;source_use_category;units;symbol_definitions;validity_range;fluid;geometry;boundary_condition;assumptions_required,LitRev final-release controlling layer provenance
/scratch/09748/andresfierro231/projects_scratch/papers/UTexas_Research/LitRev-start---Closure-and-Modeling-Decisions-for-Developing-HITEC-Flow-TAMU-MSFL/data/audit_outputs/final_release/HITEC_final_Nu_correlation_gate_matrix.csv,true,10,nu_correlation;source;internal_vs_external;forced_vs_mixed;thermal_boundary_condition;orientation;Re_Pr_Gr_Ri_Ra_Gz_range;fluid;geometry;development_assumption;source_use_category;implementation_decision,LitRev final-release controlling layer provenance
/scratch/09748/andresfierro231/projects_scratch/papers/UTexas_Research/LitRev-start---Closure-and-Modeling-Decisions-for-Developing-HITEC-Flow-TAMU-MSFL/data/audit_outputs/final_release/HITEC_final_property_gate_matrix.csv,true,10,property;equation_or_value;source;temperature_basis;valid_temperature_range;composition_basis;unit_conversion_checked;negative_value_guard;comparison_against_other_source;derived_impact_on_dimensionless_groups;gate_status;implementation_decision,LitRev final-release controlling layer provenance
/scratch/09748/andresfierro231/projects_scratch/papers/UTexas_Research/LitRev-start---Closure-and-Modeling-Decisions-for-Developing-HITEC-Flow-TAMU-MSFL/data/audit_outputs/final_release/HITEC_final_minor_loss_K_gate_matrix.csv,true,6,k_value_or_closure;source;fitting_geometry;Re_range;velocity_basis;pressure_basis;flow_direction;area_ratio_or_bend_radius;upstream_downstream_recovery_assumptions;source_status;implementation_decision,LitRev final-release controlling layer provenance
/scratch/09748/andresfierro231/projects_scratch/papers/UTexas_Research/LitRev-start---Closure-and-Modeling-Decisions-for-Developing-HITEC-Flow-TAMU-MSFL/data/audit_outputs/final_release/HITEC_final_CFD_coefficient_gate_matrix.csv,true,5,coefficient_or_claim;planes_isolate_component;upstream_downstream_recovery_characterized;hydrostatic_kinetic_corrections_separated;pressure_basis_defined;reverse_flow_recirc_handled;permitted_name_if_gate_not_met;supporting_source;gate_status;implementation_decision,LitRev final-release controlling layer provenance
/scratch/09748/andresfierro231/projects_scratch/papers/UTexas_Research/LitRev-start---Closure-and-Modeling-Decisions-for-Developing-HITEC-Flow-TAMU-MSFL/data/audit_outputs/final_release/HITEC_final_ROM_admission_gate.csv,true,5,rom_claim;source;full_order_model_source;snapshot_variables;parameter_space;basis_construction;energy_criterion_or_mode_count;projection_method;closure_or_stabilization;validation_metric;extrapolation_limitation;gate_status,LitRev final-release controlling layer provenance
/scratch/09748/andresfierro231/projects_scratch/papers/UTexas_Research/LitRev-start---Closure-and-Modeling-Decisions-for-Developing-HITEC-Flow-TAMU-MSFL/data/audit_outputs/final_release/HITEC_final_model_form_hierarchy.csv,true,6,﻿model_id;model_name;governing_equations;source_support;source_use_category;required_state_variables;required_diagnostic_gates;required_CFD_or_measurement_inputs;admission_criteria;failure_criteria;implementation_variables;can_predict,LitRev final-release controlling layer provenance
/scratch/09748/andresfierro231/projects_scratch/papers/UTexas_Research/LitRev-start---Closure-and-Modeling-Decisions-for-Developing-HITEC-Flow-TAMU-MSFL/data/audit_outputs/final_release/HITEC_final_reverse_flow_taxonomy.csv,true,6,taxonomy_id;state;definition;required_diagnostics;model_admission_consequence;forbidden_inference;final_status,LitRev final-release controlling layer provenance
/scratch/09748/andresfierro231/projects_scratch/papers/UTexas_Research/LitRev-start---Closure-and-Modeling-Decisions-for-Developing-HITEC-Flow-TAMU-MSFL/data/audit_outputs/final_release/HITEC_final_pressure_energy_accounting_rules.csv,true,14,rule_id;budget;term;symbol_or_form;required_accounting;prohibited_shortcut,LitRev final-release controlling layer provenance
/scratch/09748/andresfierro231/projects_scratch/papers/UTexas_Research/LitRev-start---Closure-and-Modeling-Decisions-for-Developing-HITEC-Flow-TAMU-MSFL/data/audit_outputs/final_release/HITEC_final_unresolved_claims.csv,true,8,﻿id;priority;area;classification;actionable_statement;exact_input_needed;admission_consequence;blocks_literature_review_completion;blocks_model_implementation;blocks_calibration;blocks_validation;blocks_automatic_topology_switching,LitRev final-release controlling layer provenance
