case_id,segment_or_span,Re_range,Pr_range,Gr_range,Gr_star_range,Ri_range,Ra_range,Bo_range,Gz_range,L_over_Dh_range,hydraulic_reset_distance_m_range,thermal_reset_distance_m_range,pressure_velocity_basis,boundary_condition_class,property_package,topology_flags,closure_status,missing_input_reasons,allowed_use,source_path
salt_2,left_lower_leg,53.0912 to 68.7837,22.1407 to 55.6037,1110.37 to 1863.77,missing_not_in_current_regime_map,0.393932 to 0.393932,41265.1 to 61740.6,missing_not_in_current_regime_map,272.493 to 528.209,missing_not_in_current_regime_map,0.12192 to 0.12192,missing_not_in_current_regime_map,blocked_until_pressure_energy_basis_contract_and_endpoint_rows_are_released,from_heat_path_lane_contract_precheck,jin_viscosity_cp_1560_k_060;jin_viscosity_parida_cp_santini_k;replication_reis_jadyn;shen_celsius_comparison;sohal_janz_full,fail,unresolved,same-QOI UQ and/or mesh/GCI missing;coarse_no_gci;recirculation_invalid_single_stream;same_QOI_UQ_missing;source_envelope_not_fit,regime_evidence_and_model_form_selector_not_fit_or_score,work_products/2026-07/2026-07-22/2026-07-22_1d_regime_map_nondimensional_closure_eligibility/segment_case_regime_map.csv
salt_2,left_upper_leg,49.9934 to 64.7702,22.1407 to 55.6037,1110.37 to 1863.77,missing_not_in_current_regime_map,0.444264 to 0.444264,41265.1 to 61740.6,missing_not_in_current_regime_map,218.63 to 423.799,missing_not_in_current_regime_map,0.14309 to 0.14309,missing_not_in_current_regime_map,blocked_until_pressure_energy_basis_contract_and_endpoint_rows_are_released,from_heat_path_lane_contract_precheck,jin_viscosity_cp_1560_k_060;jin_viscosity_parida_cp_santini_k;replication_reis_jadyn;shen_celsius_comparison;sohal_janz_full,fail,unresolved,same-QOI UQ and/or mesh/GCI missing;coarse_no_gci;recirculation_invalid_single_stream;same_QOI_UQ_missing;source_envelope_not_fit,regime_evidence_and_model_form_selector_not_fit_or_score,work_products/2026-07/2026-07-22/2026-07-22_1d_regime_map_nondimensional_closure_eligibility/segment_case_regime_map.csv
salt_2,lower_leg,46.9963 to 61.1542,23.7325 to 60.6691,14643.9 to 24796.1,missing_not_in_current_regime_map,6.63025 to 6.63025,588473 to 888435,missing_not_in_current_regime_map,88.7515 to 174.356,missing_not_in_current_regime_map,0.356842 to 0.356842,missing_not_in_current_regime_map,blocked_until_pressure_energy_basis_contract_and_endpoint_rows_are_released,from_heat_path_lane_contract_precheck,jin_viscosity_cp_1560_k_060;jin_viscosity_parida_cp_santini_k;replication_reis_jadyn;shen_celsius_comparison;sohal_janz_full,blocked_recirc_evidence_present,unresolved,same-QOI UQ and/or mesh/GCI missing;coarse_no_gci;same_QOI_UQ_missing,regime_evidence_and_model_form_selector_not_fit_or_score,work_products/2026-07/2026-07-22/2026-07-22_1d_regime_map_nondimensional_closure_eligibility/segment_case_regime_map.csv
salt_2,right_leg,51.9113 to 67.1232,21.7156 to 54.2215,5365.94 to 8971.56,missing_not_in_current_regime_map,1.99123 to 1.99123,194823 to 290949,missing_not_in_current_regime_map,86.9368 to 167.877,missing_not_in_current_regime_map,0.36576 to 0.36576,missing_not_in_current_regime_map,blocked_until_pressure_energy_basis_contract_and_endpoint_rows_are_released,from_heat_path_lane_contract_precheck,jin_viscosity_cp_1560_k_060;jin_viscosity_parida_cp_santini_k;replication_reis_jadyn;shen_celsius_comparison;sohal_janz_full,blocked_recirc_evidence_present,unresolved,same-QOI UQ and/or mesh/GCI missing;coarse_no_gci;same_QOI_UQ_missing,regime_evidence_and_model_form_selector_not_fit_or_score,work_products/2026-07/2026-07-22/2026-07-22_1d_regime_map_nondimensional_closure_eligibility/segment_case_regime_map.csv
salt_2,test_section_span,51.4038 to 66.5975,22.1407 to 55.6037,947.583 to 1590.53,missing_not_in_current_regime_map,0.358614 to 0.358614,35215.5 to 52689.2,missing_not_in_current_regime_map,311.104 to 603.053,missing_not_in_current_regime_map,0.0980727 to 0.0980727,missing_not_in_current_regime_map,blocked_until_pressure_energy_basis_contract_and_endpoint_rows_are_released,from_heat_path_lane_contract_precheck,jin_viscosity_cp_1560_k_060;jin_viscosity_parida_cp_santini_k;replication_reis_jadyn;shen_celsius_comparison;sohal_janz_full,unknown_or_pass_proxy,unresolved,same-QOI UQ and/or mesh/GCI missing;coarse_no_gci;same_QOI_UQ_missing,regime_evidence_and_model_form_selector_not_fit_or_score,work_products/2026-07/2026-07-22/2026-07-22_1d_regime_map_nondimensional_closure_eligibility/segment_case_regime_map.csv
salt_2,upper_leg,48.4601 to 62.9199,22.7406 to 57.5334,3409.27 to 5747.38,missing_not_in_current_regime_map,1.45176 to 1.45176,130699 to 196147,missing_not_in_current_regime_map,87.4912 to 170.482,missing_not_in_current_regime_map,0.356874 to 0.356874,missing_not_in_current_regime_map,blocked_until_pressure_energy_basis_contract_and_endpoint_rows_are_released,from_heat_path_lane_contract_precheck,jin_viscosity_cp_1560_k_060;jin_viscosity_parida_cp_santini_k;replication_reis_jadyn;shen_celsius_comparison;sohal_janz_full,blocked_recirc_evidence_present,unresolved,same-QOI UQ and/or mesh/GCI missing;coarse_no_gci;same_QOI_UQ_missing,regime_evidence_and_model_form_selector_not_fit_or_score,work_products/2026-07/2026-07-22/2026-07-22_1d_regime_map_nondimensional_closure_eligibility/segment_case_regime_map.csv
salt_3,left_lower_leg,61.4641 to 79.6314,22.1407 to 55.6037,1110.37 to 1863.77,missing_not_in_current_regime_map,0.293916 to 0.293916,41265.1 to 61740.6,missing_not_in_current_regime_map,315.468 to 611.512,missing_not_in_current_regime_map,0.12192 to 0.12192,missing_not_in_current_regime_map,blocked_until_pressure_energy_basis_contract_and_endpoint_rows_are_released,from_heat_path_lane_contract_precheck,jin_viscosity_cp_1560_k_060;jin_viscosity_parida_cp_santini_k;replication_reis_jadyn;shen_celsius_comparison;sohal_janz_full,fail,unresolved,same-QOI UQ and/or mesh/GCI missing;coarse_no_gci;recirculation_invalid_single_stream;same_QOI_UQ_missing;source_envelope_not_fit,regime_evidence_and_model_form_selector_not_fit_or_score,work_products/2026-07/2026-07-22/2026-07-22_1d_regime_map_nondimensional_closure_eligibility/segment_case_regime_map.csv
salt_3,left_upper_leg,56.7417 to 73.5132,22.1407 to 55.6037,1110.37 to 1863.77,missing_not_in_current_regime_map,0.344875 to 0.344875,41265.1 to 61740.6,missing_not_in_current_regime_map,248.142 to 481.006,missing_not_in_current_regime_map,0.14309 to 0.14309,missing_not_in_current_regime_map,blocked_until_pressure_energy_basis_contract_and_endpoint_rows_are_released,from_heat_path_lane_contract_precheck,jin_viscosity_cp_1560_k_060;jin_viscosity_parida_cp_santini_k;replication_reis_jadyn;shen_celsius_comparison;sohal_janz_full,fail,unresolved,same-QOI UQ and/or mesh/GCI missing;coarse_no_gci;recirculation_invalid_single_stream;same_QOI_UQ_missing;source_envelope_not_fit,regime_evidence_and_model_form_selector_not_fit_or_score,work_products/2026-07/2026-07-22/2026-07-22_1d_regime_map_nondimensional_closure_eligibility/segment_case_regime_map.csv
salt_3,lower_leg,63.8203 to 81.7228,20.2685 to 49.4235,21578.7 to 35383,missing_not_in_current_regime_map,5.29795 to 5.29795,717162 to 1.0665e+06,missing_not_in_current_regime_map,101.291 to 192.885,missing_not_in_current_regime_map,0.356842 to 0.356842,missing_not_in_current_regime_map,blocked_until_pressure_energy_basis_contract_and_endpoint_rows_are_released,from_heat_path_lane_contract_precheck,jin_viscosity_cp_1560_k_060;jin_viscosity_parida_cp_santini_k;replication_reis_jadyn;shen_celsius_comparison;sohal_janz_full,blocked_recirc_evidence_present,unresolved,same-QOI UQ and/or mesh/GCI missing;coarse_no_gci;same_QOI_UQ_missing,regime_evidence_and_model_form_selector_not_fit_or_score,work_products/2026-07/2026-07-22/2026-07-22_1d_regime_map_nondimensional_closure_eligibility/segment_case_regime_map.csv
salt_3,right_leg,73.5515 to 92.5335,18.6563 to 43.9188,8682.61 to 13742.5,missing_not_in_current_regime_map,1.60497 to 1.60497,256384 to 381330,missing_not_in_current_regime_map,102.963 to 192.664,missing_not_in_current_regime_map,0.36576 to 0.36576,missing_not_in_current_regime_map,blocked_until_pressure_energy_basis_contract_and_endpoint_rows_are_released,from_heat_path_lane_contract_precheck,jin_viscosity_cp_1560_k_060;jin_viscosity_parida_cp_santini_k;replication_reis_jadyn;shen_celsius_comparison;sohal_janz_full,blocked_recirc_evidence_present,unresolved,same-QOI UQ and/or mesh/GCI missing;coarse_no_gci;same_QOI_UQ_missing,regime_evidence_and_model_form_selector_not_fit_or_score,work_products/2026-07/2026-07-22/2026-07-22_1d_regime_map_nondimensional_closure_eligibility/segment_case_regime_map.csv
