case_id,split_role,split_note,segment_id,segment_role,topology_flags,Re,Pr,Gr,Gr_star,Ri,Ra,Bo,Gz,L_over_D_h,pressure_velocity_basis,boundary_condition_class,property_package
salt_1,train,nominal_train_context,heater_lower_leg,heated source branch,development_reset;heated_wall;source_distribution,missing_runtime_safe_field,missing_runtime_safe_field,missing_runtime_safe_field,missing_runtime_safe_field,missing_runtime_safe_field,missing_runtime_safe_field,missing_runtime_safe_field,missing_runtime_safe_field,available_from_geometry_after_source_release,not_released_for_candidate_freeze,setup_known_but_source_partition_unreleased,jin_viscosity_parida_cp_santini_k_candidate_label_no_release
salt_1,train,nominal_train_context,cooler_hx_branch,cooling jacket branch,hx_boundary;area_change;cooler_reducer,missing_runtime_safe_field,missing_runtime_safe_field,missing_runtime_safe_field,missing_runtime_safe_field,missing_runtime_safe_field,missing_runtime_safe_field,missing_runtime_safe_field,missing_runtime_safe_field,available_from_geometry_after_source_release,not_released_for_candidate_freeze,setup_known_but_source_partition_unreleased,jin_viscosity_parida_cp_santini_k_candidate_label_no_release
salt_1,train,nominal_train_context,downcomer_right_vertical,ordinary candidate branch,vertical_mixed_convection;thermal_development,missing_runtime_safe_field,missing_runtime_safe_field,missing_runtime_safe_field,missing_runtime_safe_field,missing_runtime_safe_field,missing_runtime_safe_field,missing_runtime_safe_field,missing_runtime_safe_field,available_from_geometry_after_source_release,not_released_for_candidate_freeze,setup_known_but_source_partition_unreleased,jin_viscosity_parida_cp_santini_k_candidate_label_no_release
salt_1,train,nominal_train_context,upcomer_test_section_span,upcomer plus test-section span,reverse_flow;recirculation_cell;quartz_test_section,missing_runtime_safe_field,missing_runtime_safe_field,missing_runtime_safe_field,missing_runtime_safe_field,missing_runtime_safe_field,missing_runtime_safe_field,missing_runtime_safe_field,missing_runtime_safe_field,available_from_geometry_after_source_release,not_released_for_candidate_freeze,setup_known_but_source_partition_unreleased,jin_viscosity_parida_cp_santini_k_candidate_label_no_release
salt_1,train,nominal_train_context,junction_stub_connector,junction/stub/connector loss region,named_loss;3d_topology;residual_owner,missing_runtime_safe_field,missing_runtime_safe_field,missing_runtime_safe_field,missing_runtime_safe_field,missing_runtime_safe_field,missing_runtime_safe_field,missing_runtime_safe_field,missing_runtime_safe_field,available_from_geometry_after_source_release,not_released_for_candidate_freeze,setup_known_but_source_partition_unreleased,jin_viscosity_parida_cp_santini_k_candidate_label_no_release
salt_2,train,nominal_train_context,heater_lower_leg,heated source branch,development_reset;heated_wall;source_distribution,missing_runtime_safe_field,missing_runtime_safe_field,missing_runtime_safe_field,missing_runtime_safe_field,missing_runtime_safe_field,missing_runtime_safe_field,missing_runtime_safe_field,missing_runtime_safe_field,available_from_geometry_after_source_release,not_released_for_candidate_freeze,setup_known_but_source_partition_unreleased,jin_viscosity_parida_cp_santini_k_candidate_label_no_release
salt_2,train,nominal_train_context,cooler_hx_branch,cooling jacket branch,hx_boundary;area_change;cooler_reducer,missing_runtime_safe_field,missing_runtime_safe_field,missing_runtime_safe_field,missing_runtime_safe_field,missing_runtime_safe_field,missing_runtime_safe_field,missing_runtime_safe_field,missing_runtime_safe_field,available_from_geometry_after_source_release,not_released_for_candidate_freeze,setup_known_but_source_partition_unreleased,jin_viscosity_parida_cp_santini_k_candidate_label_no_release
salt_2,train,nominal_train_context,downcomer_right_vertical,ordinary candidate branch,vertical_mixed_convection;thermal_development,missing_runtime_safe_field,missing_runtime_safe_field,missing_runtime_safe_field,missing_runtime_safe_field,missing_runtime_safe_field,missing_runtime_safe_field,missing_runtime_safe_field,missing_runtime_safe_field,available_from_geometry_after_source_release,not_released_for_candidate_freeze,setup_known_but_source_partition_unreleased,jin_viscosity_parida_cp_santini_k_candidate_label_no_release
salt_2,train,nominal_train_context,upcomer_test_section_span,upcomer plus test-section span,reverse_flow;recirculation_cell;quartz_test_section,missing_runtime_safe_field,missing_runtime_safe_field,missing_runtime_safe_field,missing_runtime_safe_field,missing_runtime_safe_field,missing_runtime_safe_field,missing_runtime_safe_field,missing_runtime_safe_field,available_from_geometry_after_source_release,not_released_for_candidate_freeze,setup_known_but_source_partition_unreleased,jin_viscosity_parida_cp_santini_k_candidate_label_no_release
salt_2,train,nominal_train_context,junction_stub_connector,junction/stub/connector loss region,named_loss;3d_topology;residual_owner,missing_runtime_safe_field,missing_runtime_safe_field,missing_runtime_safe_field,missing_runtime_safe_field,missing_runtime_safe_field,missing_runtime_safe_field,missing_runtime_safe_field,missing_runtime_safe_field,available_from_geometry_after_source_release,not_released_for_candidate_freeze,setup_known_but_source_partition_unreleased,jin_viscosity_parida_cp_santini_k_candidate_label_no_release
salt_3,train_context_only,"formerly validation, protected for final scoring",heater_lower_leg,heated source branch,development_reset;heated_wall;source_distribution,missing_runtime_safe_field,missing_runtime_safe_field,missing_runtime_safe_field,missing_runtime_safe_field,missing_runtime_safe_field,missing_runtime_safe_field,missing_runtime_safe_field,missing_runtime_safe_field,available_from_geometry_after_source_release,not_released_for_candidate_freeze,setup_known_but_source_partition_unreleased,jin_viscosity_parida_cp_santini_k_candidate_label_no_release
salt_3,train_context_only,"formerly validation, protected for final scoring",cooler_hx_branch,cooling jacket branch,hx_boundary;area_change;cooler_reducer,missing_runtime_safe_field,missing_runtime_safe_field,missing_runtime_safe_field,missing_runtime_safe_field,missing_runtime_safe_field,missing_runtime_safe_field,missing_runtime_safe_field,missing_runtime_safe_field,available_from_geometry_after_source_release,not_released_for_candidate_freeze,setup_known_but_source_partition_unreleased,jin_viscosity_parida_cp_santini_k_candidate_label_no_release
