item_id,category,path,status,why_it_matters,tomorrow_use
C001,primary_work_product,work_products/2026-07/2026-07-14/2026-07-14_mdot_temperature_probe_error_audit/README.md,complete,Entry point for the AGENT-360 audit package.,Open first to see file list and guardrails.
C002,paper_report,work_products/2026-07/2026-07-14/2026-07-14_mdot_temperature_probe_error_audit/paper_ready_report.md,complete,Paper-facing narrative with assumptions, modes, trends, and conclusions.,Use as the starting prose for a thesis/paper section.
C003,numeric_summary,work_products/2026-07/2026-07-14/2026-07-14_mdot_temperature_probe_error_audit/summary.json,complete,"Reports 4 case rows, 16 model rows, 12 executed Fluid rows, 204 sensor-error rows, 21 correlation rows, and 6 trend rows.",Use to verify the package regenerated correctly.
C004,model_results,work_products/2026-07/2026-07-14/2026-07-14_mdot_temperature_probe_error_audit/mdot_error_summary.csv,complete,Primary mass-flow and loop-temperature error table for pressure-root modes.,Use for mdot claims and Part1/Part2/Part3 comparisons.
C005,temperature_results,work_products/2026-07/2026-07-14/2026-07-14_mdot_temperature_probe_error_audit/temperature_probe_error_summary.csv,complete,TP/TW/all probe RMSE and bias by case/mode.,Use for temperature-probe error claims.
C006,sensor_detail,work_products/2026-07/2026-07-14/2026-07-14_mdot_temperature_probe_error_audit/sensor_level_errors.csv,complete,Individual TP/TW prediction-target-error rows.,Use when identifying which probe locations dominate RMSE.
C007,test_section_increment,work_products/2026-07/2026-07-14/2026-07-14_mdot_temperature_probe_error_audit/part3_test_section_error_increment.csv,complete,Quantifies Part3 minus Part2 error change when omitting CFD test-section heat.,Use to motivate the test-section boundary-model study.
C008,cooling_scores,work_products/2026-07/2026-07-14/2026-07-14_mdot_temperature_probe_error_audit/part4_cooling_rmse_summary.csv,complete,Shows current fixed-mdot Fluid cooler RMSE 102.886 W and Salt2-fit constant-UA bulk-drive RMSE 4.638 W.,Use to motivate setup-only cooler closure.
C009,heating_scores,work_products/2026-07/2026-07-14/2026-07-14_mdot_temperature_probe_error_audit/part5_heating_rmse_summary.csv,complete,Shows electrical 1:1 heater RMSE 24.629 W and Salt2-fit heater-efficiency RMSE 0.68 W.,Use only after checking active heater-specific rows to avoid duplicate work.
C010,correlation,work_products/2026-07/2026-07-14/2026-07-14_mdot_temperature_probe_error_audit/mdot_temperature_error_correlation.csv,complete,Descriptive mdot-error vs probe-RMSE association; all pressure-root non-Salt1 all-probe r is 0.47 with n 9.,Use as triage only; do not treat as causal model.
C011,trends,work_products/2026-07/2026-07-14/2026-07-14_mdot_temperature_probe_error_audit/trend_conclusion_register.csv,complete,Six conclusion rows with evidence files and next actions.,Use to seed tomorrow task rows.
C012,appendix,work_products/2026-07/2026-07-14/2026-07-14_mdot_temperature_probe_error_audit/model_config_appendix/appendix_explanation.md,complete,Explains copied Fluid YAML snapshots and resolved mode/case tables.,Use for paper appendix and reproducibility.
C013,builder,tools/analyze/build_mdot_temperature_probe_error_audit.py,complete,Reproducible generator for the AGENT-360 package.,Run on compute node if regenerating full Fluid-backed outputs.
C014,test,tools/analyze/test_mdot_temperature_probe_error_audit.py,complete,Focused checks for AGENT-360 output contract and guardrails.,Run before and after edits.
C015,flow_bc_predecessor,work_products/2026-07/2026-07-14/2026-07-14_flow_rate_temperature_bc_response_study/case_bc_response_matrix.csv,complete,Source for Salt1 fallback flow/BC context and Salt2-4 response matrix.,Use for BC trends and Salt1 context.
C016,patch_heat_source,work_products/2026-07/2026-07-13/2026-07-13_patch_boundary_fixed_mdot_1d_parity/section_heat_balance.csv,complete,Current patch heat ledger used for Salt2/Salt3/Salt4 CFD-informed heat modes.,Salt1 blocked because this source set lacks a current Salt1 ledger.
