case_key,display_name,source_id,split_group,split_subrole,q_ratio,qoi_family,qoi_label,mean_value,unit,n,window_start_s,window_end_s,coverage_status,source_quantity,source_path,coefficient_fit_allowed_now,model_selection_allowed_now,score_allowed_after_freeze
salt1_nominal,Salt 1 nominal,salt1_jin_nominal_continuation_corrected,train,train_nominal,1.00,mdot,mdot_abs_mean_kg_s,0.0112295061113,kg/s,,7284,7884,available,mdot/lower (heater)/osc_mean,work_products/2026-07/2026-07-13/2026-07-13_time_series_uncertainty_story/screened_out_not_steady_or_live.csv,False,False,False
salt1_nominal,Salt 1 nominal,salt1_jin_nominal_continuation_corrected,train,train_nominal,1.00,TP,TP1,431.717171,K,,7284,7884,available_coordinate_probe_mapped_to_TP_order,probe 0 (0.887519 0.70409 0),work_products/2026-07/2026-07-13/2026-07-13_time_series_uncertainty_story/screened_out_not_steady_or_live.csv,False,False,False
salt1_nominal,Salt 1 nominal,salt1_jin_nominal_continuation_corrected,train,train_nominal,1.00,TP,TP2,424.408826,K,,7284,7884,available_coordinate_probe_mapped_to_TP_order,probe 1 (0.887519 -0.245426 0),work_products/2026-07/2026-07-13/2026-07-13_time_series_uncertainty_story/screened_out_not_steady_or_live.csv,False,False,False
salt1_nominal,Salt 1 nominal,salt1_jin_nominal_continuation_corrected,train,train_nominal,1.00,TP,TP3,421.603563,K,,7284,7884,available_coordinate_probe_mapped_to_TP_order,probe 2 (-0 0 0),work_products/2026-07/2026-07-13/2026-07-13_time_series_uncertainty_story/screened_out_not_steady_or_live.csv,False,False,False
salt1_nominal,Salt 1 nominal,salt1_jin_nominal_continuation_corrected,train,train_nominal,1.00,TP,TP4,430.133445,K,,7284,7884,available_coordinate_probe_mapped_to_TP_order,probe 3 (-0 0.323501 0),work_products/2026-07/2026-07-13/2026-07-13_time_series_uncertainty_story/screened_out_not_steady_or_live.csv,False,False,False
salt1_nominal,Salt 1 nominal,salt1_jin_nominal_continuation_corrected,train,train_nominal,1.00,TP,TP5,431.24751,K,,7284,7884,available_coordinate_probe_mapped_to_TP_order,probe 4 (-0 0.574779 0),work_products/2026-07/2026-07-13/2026-07-13_time_series_uncertainty_story/screened_out_not_steady_or_live.csv,False,False,False
salt1_nominal,Salt 1 nominal,salt1_jin_nominal_continuation_corrected,train,train_nominal,1.00,TP,TP6,433.180736,K,,7284,7884,available_coordinate_probe_mapped_to_TP_order,probe 5 (-0 0.949515 0),work_products/2026-07/2026-07-13/2026-07-13_time_series_uncertainty_story/screened_out_not_steady_or_live.csv,False,False,False
salt1_nominal,Salt 1 nominal,salt1_jin_nominal_continuation_corrected,train,train_nominal,1.00,TW,TW1,,K,,7284,7884,missing_individual_TW_corrected_salt1_has_wall_spatial_mean_only,individual TW unavailable in corrected Salt1 uncertainty digest,work_products/2026-07/2026-07-13/2026-07-13_time_series_uncertainty_story/screened_out_not_steady_or_live.csv,False,False,False
salt1_nominal,Salt 1 nominal,salt1_jin_nominal_continuation_corrected,train,train_nominal,1.00,TW,TW2,,K,,7284,7884,missing_individual_TW_corrected_salt1_has_wall_spatial_mean_only,individual TW unavailable in corrected Salt1 uncertainty digest,work_products/2026-07/2026-07-13/2026-07-13_time_series_uncertainty_story/screened_out_not_steady_or_live.csv,False,False,False
salt1_nominal,Salt 1 nominal,salt1_jin_nominal_continuation_corrected,train,train_nominal,1.00,TW,TW3,,K,,7284,7884,missing_individual_TW_corrected_salt1_has_wall_spatial_mean_only,individual TW unavailable in corrected Salt1 uncertainty digest,work_products/2026-07/2026-07-13/2026-07-13_time_series_uncertainty_story/screened_out_not_steady_or_live.csv,False,False,False
salt1_nominal,Salt 1 nominal,salt1_jin_nominal_continuation_corrected,train,train_nominal,1.00,TW,TW4,,K,,7284,7884,missing_individual_TW_corrected_salt1_has_wall_spatial_mean_only,individual TW unavailable in corrected Salt1 uncertainty digest,work_products/2026-07/2026-07-13/2026-07-13_time_series_uncertainty_story/screened_out_not_steady_or_live.csv,False,False,False
salt1_nominal,Salt 1 nominal,salt1_jin_nominal_continuation_corrected,train,train_nominal,1.00,TW,TW5,,K,,7284,7884,missing_individual_TW_corrected_salt1_has_wall_spatial_mean_only,individual TW unavailable in corrected Salt1 uncertainty digest,work_products/2026-07/2026-07-13/2026-07-13_time_series_uncertainty_story/screened_out_not_steady_or_live.csv,False,False,False
salt1_nominal,Salt 1 nominal,salt1_jin_nominal_continuation_corrected,train,train_nominal,1.00,TW,TW6,,K,,7284,7884,missing_individual_TW_corrected_salt1_has_wall_spatial_mean_only,individual TW unavailable in corrected Salt1 uncertainty digest,work_products/2026-07/2026-07-13/2026-07-13_time_series_uncertainty_story/screened_out_not_steady_or_live.csv,False,False,False
salt1_nominal,Salt 1 nominal,salt1_jin_nominal_continuation_corrected,train,train_nominal,1.00,TW,TW7,,K,,7284,7884,missing_individual_TW_corrected_salt1_has_wall_spatial_mean_only,individual TW unavailable in corrected Salt1 uncertainty digest,work_products/2026-07/2026-07-13/2026-07-13_time_series_uncertainty_story/screened_out_not_steady_or_live.csv,False,False,False
salt1_nominal,Salt 1 nominal,salt1_jin_nominal_continuation_corrected,train,train_nominal,1.00,TW,TW8,,K,,7284,7884,missing_individual_TW_corrected_salt1_has_wall_spatial_mean_only,individual TW unavailable in corrected Salt1 uncertainty digest,work_products/2026-07/2026-07-13/2026-07-13_time_series_uncertainty_story/screened_out_not_steady_or_live.csv,False,False,False
salt1_nominal,Salt 1 nominal,salt1_jin_nominal_continuation_corrected,train,train_nominal,1.00,TW,TW9,,K,,7284,7884,missing_individual_TW_corrected_salt1_has_wall_spatial_mean_only,individual TW unavailable in corrected Salt1 uncertainty digest,work_products/2026-07/2026-07-13/2026-07-13_time_series_uncertainty_story/screened_out_not_steady_or_live.csv,False,False,False
salt1_nominal,Salt 1 nominal,salt1_jin_nominal_continuation_corrected,train,train_nominal,1.00,TW,TW10,,K,,7284,7884,missing_individual_TW_corrected_salt1_has_wall_spatial_mean_only,individual TW unavailable in corrected Salt1 uncertainty digest,work_products/2026-07/2026-07-13/2026-07-13_time_series_uncertainty_story/screened_out_not_steady_or_live.csv,False,False,False
salt1_nominal,Salt 1 nominal,salt1_jin_nominal_continuation_corrected,train,train_nominal,1.00,TW,TW11,,K,,7284,7884,missing_individual_TW_corrected_salt1_has_wall_spatial_mean_only,individual TW unavailable in corrected Salt1 uncertainty digest,work_products/2026-07/2026-07-13/2026-07-13_time_series_uncertainty_story/screened_out_not_steady_or_live.csv,False,False,False
