case_id,time_window_s,artifact,path,exists,size_bytes,native_solver_output,mutated,audit_status
salt_2,7915,p,jadyn_runs/modern_runs/2026-06-18_convergence_and_jin_envelope_wave/runs/salt2_jin/case_stage/viscosity_screening_salt_test_2_jin_coarse_mesh_continuation/processors64/7915/p,true,29657958,true,false,exact_target_window_present
salt_2,7915,p_rgh,jadyn_runs/modern_runs/2026-06-18_convergence_and_jin_envelope_wave/runs/salt2_jin/case_stage/viscosity_screening_salt_test_2_jin_coarse_mesh_continuation/processors64/7915/p_rgh,true,32114189,true,false,exact_target_window_present
salt_2,7915,wallHeatFlux,jadyn_runs/modern_runs/2026-06-18_convergence_and_jin_envelope_wave/runs/salt2_jin/case_stage/viscosity_screening_salt_test_2_jin_coarse_mesh_continuation/processors64/7915/wallHeatFlux,true,3057313,true,false,exact_target_window_present
salt_2,7915,cellProcAddressing,jadyn_runs/modern_runs/2026-06-18_convergence_and_jin_envelope_wave/runs/salt2_jin/case_stage/viscosity_screening_salt_test_2_jin_coarse_mesh_continuation/processors64/constant/polyMesh/cellProcAddressing,true,16228752,true,false,addressing_or_boundary_present
salt_2,7915,faceProcAddressing,jadyn_runs/modern_runs/2026-06-18_convergence_and_jin_envelope_wave/runs/salt2_jin/case_stage/viscosity_screening_salt_test_2_jin_coarse_mesh_continuation/processors64/constant/polyMesh/faceProcAddressing,true,52029530,true,false,addressing_or_boundary_present
salt_2,7915,boundary,jadyn_runs/modern_runs/2026-06-18_convergence_and_jin_envelope_wave/runs/salt2_jin/case_stage/viscosity_screening_salt_test_2_jin_coarse_mesh_continuation/processors64/constant/polyMesh/boundary,true,1734652,true,false,addressing_or_boundary_present
salt_3,7618,p,jadyn_runs/modern_runs/2026-06-18_convergence_and_jin_envelope_wave/runs/salt3_jin/case_stage/viscosity_screening_salt_test_3_jin_coarse_mesh_continuation/processors64/7618/p,true,29655124,true,false,exact_target_window_present
salt_3,7618,p_rgh,jadyn_runs/modern_runs/2026-06-18_convergence_and_jin_envelope_wave/runs/salt3_jin/case_stage/viscosity_screening_salt_test_3_jin_coarse_mesh_continuation/processors64/7618/p_rgh,true,31910563,true,false,exact_target_window_present
salt_3,7618,wallHeatFlux,jadyn_runs/modern_runs/2026-06-18_convergence_and_jin_envelope_wave/runs/salt3_jin/case_stage/viscosity_screening_salt_test_3_jin_coarse_mesh_continuation/processors64/7618/wallHeatFlux,true,3056919,true,false,exact_target_window_present
salt_3,7618,cellProcAddressing,jadyn_runs/modern_runs/2026-06-18_convergence_and_jin_envelope_wave/runs/salt3_jin/case_stage/viscosity_screening_salt_test_3_jin_coarse_mesh_continuation/processors64/constant/polyMesh/cellProcAddressing,true,16228752,true,false,addressing_or_boundary_present
salt_3,7618,faceProcAddressing,jadyn_runs/modern_runs/2026-06-18_convergence_and_jin_envelope_wave/runs/salt3_jin/case_stage/viscosity_screening_salt_test_3_jin_coarse_mesh_continuation/processors64/constant/polyMesh/faceProcAddressing,true,52029530,true,false,addressing_or_boundary_present
salt_3,7618,boundary,jadyn_runs/modern_runs/2026-06-18_convergence_and_jin_envelope_wave/runs/salt3_jin/case_stage/viscosity_screening_salt_test_3_jin_coarse_mesh_continuation/processors64/constant/polyMesh/boundary,true,1734652,true,false,addressing_or_boundary_present
salt_4,10000,p,jadyn_runs/modern_runs/2026-06-18_convergence_and_jin_envelope_wave/runs/salt4_jin/case_stage/viscosity_screening_salt_test_4_jin_coarse_mesh_continuation/processors64/10000/p,true,29658277,true,false,exact_target_window_present
salt_4,10000,p_rgh,jadyn_runs/modern_runs/2026-06-18_convergence_and_jin_envelope_wave/runs/salt4_jin/case_stage/viscosity_screening_salt_test_4_jin_coarse_mesh_continuation/processors64/10000/p_rgh,true,31855761,true,false,exact_target_window_present
salt_4,10000,wallHeatFlux,jadyn_runs/modern_runs/2026-06-18_convergence_and_jin_envelope_wave/runs/salt4_jin/case_stage/viscosity_screening_salt_test_4_jin_coarse_mesh_continuation/processors64/10000/wallHeatFlux,true,3055775,true,false,exact_target_window_present
salt_4,10000,cellProcAddressing,jadyn_runs/modern_runs/2026-06-18_convergence_and_jin_envelope_wave/runs/salt4_jin/case_stage/viscosity_screening_salt_test_4_jin_coarse_mesh_continuation/processors64/constant/polyMesh/cellProcAddressing,true,16228752,true,false,addressing_or_boundary_present
salt_4,10000,faceProcAddressing,jadyn_runs/modern_runs/2026-06-18_convergence_and_jin_envelope_wave/runs/salt4_jin/case_stage/viscosity_screening_salt_test_4_jin_coarse_mesh_continuation/processors64/constant/polyMesh/faceProcAddressing,true,52029530,true,false,addressing_or_boundary_present
salt_4,10000,boundary,jadyn_runs/modern_runs/2026-06-18_convergence_and_jin_envelope_wave/runs/salt4_jin/case_stage/viscosity_screening_salt_test_4_jin_coarse_mesh_continuation/processors64/constant/polyMesh/boundary,true,1734652,true,false,addressing_or_boundary_present
