case_id,fluid_case_name,source_id,variant_id,engine,segment_name,parent_segment,s_start_m,s_end_m,T_in_K,T_out_K,T_avg_K,Q_source_W,Q_hx_sink_W,Q_ambient_W,h_inner_W_m2K,h_outer_W_m2K,h_rad_W_m2K,reynolds_inner,nusselt_inner
salt_2,Salt 2,viscosity_screening_salt_test_2_jin_coarse_mesh,F0_current_fluid_sources,solve_case,left_lower_vertical__s00,left_lower_vertical,0,0.121412,487.692518191,487.50366293,487.59809056,0,0,5.4691531322,380.08776423,5.61311002763,0,201.654927093,15.2461359463
salt_2,Salt 2,viscosity_screening_salt_test_2_jin_coarse_mesh,F0_current_fluid_sources,solve_case,left_lower_vertical__s01,left_lower_vertical,0.121412,0.182118,487.50366293,487.407360335,487.455511632,0,0,2.78888218558,478.854945542,6.26949765871,0,201.365764348,19.2094416544
salt_2,Salt 2,viscosity_screening_salt_test_2_jin_coarse_mesh,F0_current_fluid_sources,solve_case,left_lower_vertical__s02,left_lower_vertical,0.182118,0.242824,487.407360335,487.311128008,487.359244171,0,0,2.78684726962,478.837667259,6.2686014377,0,201.170661645,19.2097882261
salt_2,Salt 2,viscosity_screening_salt_test_2_jin_coarse_mesh,F0_current_fluid_sources,solve_case,left_lower_vertical__s03,left_lower_vertical,0.242824,0.364236,487.311128008,487.122817147,487.216972577,0,0,5.45338759797,380.033471938,5.60980780157,0,200.882524863,15.2472249531
salt_2,Salt 2,viscosity_screening_salt_test_2_jin_coarse_mesh,F0_current_fluid_sources,solve_case,test_section__s00,test_section,0.364236,0.4572,487.122817147,487.383311566,487.253064357,18.5,0,10.956240173,432.822065689,8.58921963889,0,209.378461029,16.6662092385
salt_2,Salt 2,viscosity_screening_salt_test_2_jin_coarse_mesh,F0_current_fluid_sources,solve_case,test_section__s01,test_section,0.4572,0.550164,487.383311566,487.64319305,487.513252308,18.5,0,10.9739903925,432.864268315,8.59129376074,0,209.927837318,16.6653967726
salt_2,Salt 2,viscosity_screening_salt_test_2_jin_coarse_mesh,F0_current_fluid_sources,solve_case,left_upper_vertical__s00,left_upper_vertical,0.550164,0.671576,487.64319305,487.454408241,487.548800646,0,0,5.46711287557,380.0807308,5.61268312773,0,201.554979147,15.2462770112
salt_2,Salt 2,viscosity_screening_salt_test_2_jin_coarse_mesh,F0_current_fluid_sources,solve_case,left_upper_vertical__s01,left_upper_vertical,0.671576,0.732282,487.454408241,487.358141589,487.406274915,0,0,2.78784131734,478.846106326,6.26903930563,0,201.265970049,19.2096189511
salt_2,Salt 2,viscosity_screening_salt_test_2_jin_coarse_mesh,F0_current_fluid_sources,solve_case,left_upper_vertical__s02,left_upper_vertical,0.732282,0.792988,487.358141589,487.261945164,487.310043376,0,0,2.78580754994,478.828843115,6.26814331306,0,201.07097106,19.2099652301
salt_2,Salt 2,viscosity_screening_salt_test_2_jin_coarse_mesh,F0_current_fluid_sources,solve_case,left_upper_vertical__s03,left_upper_vertical,0.792988,0.9144,487.261945164,487.073704449,487.167824807,0,0,5.45135620877,380.026485857,5.60938172865,0,200.782987371,15.2473650985
