rank,case_key,study_group,salt_anchor,parent_source_id,target_heater_power_W,target_heater_patch_Q_W,q_ratio_vs_salt3_nominal,insulation_mode,passive_insulated_h_multiplier,cooler_policy,priority,launch_status,submit_gate,preflight_checks,required_outputs,scientific_use,no_fit_guardrail,source_paths
1,salt3_jin_q1500w_hiins_onset_anchor,sentinel_cell_off,salt3_jin,viscosity_screening_salt_test_3_jin_coarse_mesh_continuation,1500,500,5.04201680672,hiins,0.5,"scale fixed cooler/sink Q from parent heat ledger, then re-audit net heat after insulation mutation",1,prepared_not_submitted,"submit only after PM10/high-heat admission shows no ordinary or transition anchor; high-heat jobs terminal or explicitly failed; preflight passes restart T, heater Q, insulation, cooler scaling, and source labels",source case exists; processors64 restart time exists; patched 0/T root and processors64 restart T; controlDict restart/endTime/purgeWrite audited; cooler/sink heat ledger refreshed,U;T;wallHeatFlux;Re;Pr;Ri;Gr;Ra;Gz;wall_core_deltaT;reverse_area_fraction;reverse_mass_fraction;secondary_velocity_fraction;steady_window_status;mesh_time_uncertainty,onset anchor; not ordinary upcomer Nu/f_D/K fit unless reverse fractions pass,not ordinary upcomer Nu/f_D/K fit unless reverse fractions and all admission gates pass,work_products/2026-07/2026-07-16/2026-07-16_recirculation_cfd_anchor_study_design/proposed_cfd_run_matrix.csv;work_products/2026-07/2026-07-16/2026-07-16_recirculation_cfd_anchor_study_design/required_output_contract.csv
2,salt3_jin_q0150w_loins_onset_anchor,sentinel_cell_max,salt3_jin,viscosity_screening_salt_test_3_jin_coarse_mesh_continuation,150,50,0.504201680672,loins,2,"scale fixed cooler/sink Q from parent heat ledger, then re-audit net heat after insulation mutation",1,prepared_not_submitted,"submit only after PM10/high-heat admission shows no ordinary or transition anchor; high-heat jobs terminal or explicitly failed; preflight passes restart T, heater Q, insulation, cooler scaling, and source labels",source case exists; processors64 restart time exists; patched 0/T root and processors64 restart T; controlDict restart/endTime/purgeWrite audited; cooler/sink heat ledger refreshed,U;T;wallHeatFlux;Re;Pr;Ri;Gr;Ra;Gz;wall_core_deltaT;reverse_area_fraction;reverse_mass_fraction;secondary_velocity_fraction;steady_window_status;mesh_time_uncertainty,onset anchor; not ordinary upcomer Nu/f_D/K fit unless reverse fractions pass,not ordinary upcomer Nu/f_D/K fit unless reverse fractions and all admission gates pass,work_products/2026-07/2026-07-16/2026-07-16_recirculation_cfd_anchor_study_design/proposed_cfd_run_matrix.csv;work_products/2026-07/2026-07-16/2026-07-16_recirculation_cfd_anchor_study_design/required_output_contract.csv
3,salt3_jin_q0250w_hiins_onset_anchor,small_q_x_insulation_matrix,salt3_jin,viscosity_screening_salt_test_3_jin_coarse_mesh_continuation,250,83.3333333333,0.840336134454,hiins,0.5,"scale fixed cooler/sink Q from parent heat ledger, then re-audit net heat after insulation mutation",2,prepared_not_submitted,"submit only after PM10/high-heat admission shows no ordinary or transition anchor; high-heat jobs terminal or explicitly failed; preflight passes restart T, heater Q, insulation, cooler scaling, and source labels",source case exists; processors64 restart time exists; patched 0/T root and processors64 restart T; controlDict restart/endTime/purgeWrite audited; cooler/sink heat ledger refreshed,U;T;wallHeatFlux;Re;Pr;Ri;Gr;Ra;Gz;wall_core_deltaT;reverse_area_fraction;reverse_mass_fraction;secondary_velocity_fraction;steady_window_status;mesh_time_uncertainty,onset anchor; not ordinary upcomer Nu/f_D/K fit unless reverse fractions pass,not ordinary upcomer Nu/f_D/K fit unless reverse fractions and all admission gates pass,work_products/2026-07/2026-07-16/2026-07-16_recirculation_cfd_anchor_study_design/proposed_cfd_run_matrix.csv;work_products/2026-07/2026-07-16/2026-07-16_recirculation_cfd_anchor_study_design/required_output_contract.csv
4,salt3_jin_q0250w_baseline_onset_anchor,small_q_x_insulation_matrix,salt3_jin,viscosity_screening_salt_test_3_jin_coarse_mesh_continuation,250,83.3333333333,0.840336134454,baseline,1,"scale fixed cooler/sink Q from parent heat ledger, then re-audit net heat after insulation mutation",2,prepared_not_submitted,"submit only after PM10/high-heat admission shows no ordinary or transition anchor; high-heat jobs terminal or explicitly failed; preflight passes restart T, heater Q, insulation, cooler scaling, and source labels",source case exists; processors64 restart time exists; patched 0/T root and processors64 restart T; controlDict restart/endTime/purgeWrite audited; cooler/sink heat ledger refreshed,U;T;wallHeatFlux;Re;Pr;Ri;Gr;Ra;Gz;wall_core_deltaT;reverse_area_fraction;reverse_mass_fraction;secondary_velocity_fraction;steady_window_status;mesh_time_uncertainty,onset anchor; not ordinary upcomer Nu/f_D/K fit unless reverse fractions pass,not ordinary upcomer Nu/f_D/K fit unless reverse fractions and all admission gates pass,work_products/2026-07/2026-07-16/2026-07-16_recirculation_cfd_anchor_study_design/proposed_cfd_run_matrix.csv;work_products/2026-07/2026-07-16/2026-07-16_recirculation_cfd_anchor_study_design/required_output_contract.csv
5,salt3_jin_q0250w_loins_onset_anchor,small_q_x_insulation_matrix,salt3_jin,viscosity_screening_salt_test_3_jin_coarse_mesh_continuation,250,83.3333333333,0.840336134454,loins,2,"scale fixed cooler/sink Q from parent heat ledger, then re-audit net heat after insulation mutation",2,prepared_not_submitted,"submit only after PM10/high-heat admission shows no ordinary or transition anchor; high-heat jobs terminal or explicitly failed; preflight passes restart T, heater Q, insulation, cooler scaling, and source labels",source case exists; processors64 restart time exists; patched 0/T root and processors64 restart T; controlDict restart/endTime/purgeWrite audited; cooler/sink heat ledger refreshed,U;T;wallHeatFlux;Re;Pr;Ri;Gr;Ra;Gz;wall_core_deltaT;reverse_area_fraction;reverse_mass_fraction;secondary_velocity_fraction;steady_window_status;mesh_time_uncertainty,onset anchor; not ordinary upcomer Nu/f_D/K fit unless reverse fractions pass,not ordinary upcomer Nu/f_D/K fit unless reverse fractions and all admission gates pass,work_products/2026-07/2026-07-16/2026-07-16_recirculation_cfd_anchor_study_design/proposed_cfd_run_matrix.csv;work_products/2026-07/2026-07-16/2026-07-16_recirculation_cfd_anchor_study_design/required_output_contract.csv
6,salt3_jin_q0500w_hiins_onset_anchor,small_q_x_insulation_matrix,salt3_jin,viscosity_screening_salt_test_3_jin_coarse_mesh_continuation,500,166.666666667,1.68067226891,hiins,0.5,"scale fixed cooler/sink Q from parent heat ledger, then re-audit net heat after insulation mutation",2,prepared_not_submitted,"submit only after PM10/high-heat admission shows no ordinary or transition anchor; high-heat jobs terminal or explicitly failed; preflight passes restart T, heater Q, insulation, cooler scaling, and source labels",source case exists; processors64 restart time exists; patched 0/T root and processors64 restart T; controlDict restart/endTime/purgeWrite audited; cooler/sink heat ledger refreshed,U;T;wallHeatFlux;Re;Pr;Ri;Gr;Ra;Gz;wall_core_deltaT;reverse_area_fraction;reverse_mass_fraction;secondary_velocity_fraction;steady_window_status;mesh_time_uncertainty,onset anchor; not ordinary upcomer Nu/f_D/K fit unless reverse fractions pass,not ordinary upcomer Nu/f_D/K fit unless reverse fractions and all admission gates pass,work_products/2026-07/2026-07-16/2026-07-16_recirculation_cfd_anchor_study_design/proposed_cfd_run_matrix.csv;work_products/2026-07/2026-07-16/2026-07-16_recirculation_cfd_anchor_study_design/required_output_contract.csv
7,salt3_jin_q0500w_baseline_onset_anchor,small_q_x_insulation_matrix,salt3_jin,viscosity_screening_salt_test_3_jin_coarse_mesh_continuation,500,166.666666667,1.68067226891,baseline,1,"scale fixed cooler/sink Q from parent heat ledger, then re-audit net heat after insulation mutation",2,prepared_not_submitted,"submit only after PM10/high-heat admission shows no ordinary or transition anchor; high-heat jobs terminal or explicitly failed; preflight passes restart T, heater Q, insulation, cooler scaling, and source labels",source case exists; processors64 restart time exists; patched 0/T root and processors64 restart T; controlDict restart/endTime/purgeWrite audited; cooler/sink heat ledger refreshed,U;T;wallHeatFlux;Re;Pr;Ri;Gr;Ra;Gz;wall_core_deltaT;reverse_area_fraction;reverse_mass_fraction;secondary_velocity_fraction;steady_window_status;mesh_time_uncertainty,onset anchor; not ordinary upcomer Nu/f_D/K fit unless reverse fractions pass,not ordinary upcomer Nu/f_D/K fit unless reverse fractions and all admission gates pass,work_products/2026-07/2026-07-16/2026-07-16_recirculation_cfd_anchor_study_design/proposed_cfd_run_matrix.csv;work_products/2026-07/2026-07-16/2026-07-16_recirculation_cfd_anchor_study_design/required_output_contract.csv
8,salt3_jin_q0500w_loins_onset_anchor,small_q_x_insulation_matrix,salt3_jin,viscosity_screening_salt_test_3_jin_coarse_mesh_continuation,500,166.666666667,1.68067226891,loins,2,"scale fixed cooler/sink Q from parent heat ledger, then re-audit net heat after insulation mutation",2,prepared_not_submitted,"submit only after PM10/high-heat admission shows no ordinary or transition anchor; high-heat jobs terminal or explicitly failed; preflight passes restart T, heater Q, insulation, cooler scaling, and source labels",source case exists; processors64 restart time exists; patched 0/T root and processors64 restart T; controlDict restart/endTime/purgeWrite audited; cooler/sink heat ledger refreshed,U;T;wallHeatFlux;Re;Pr;Ri;Gr;Ra;Gz;wall_core_deltaT;reverse_area_fraction;reverse_mass_fraction;secondary_velocity_fraction;steady_window_status;mesh_time_uncertainty,onset anchor; not ordinary upcomer Nu/f_D/K fit unless reverse fractions pass,not ordinary upcomer Nu/f_D/K fit unless reverse fractions and all admission gates pass,work_products/2026-07/2026-07-16/2026-07-16_recirculation_cfd_anchor_study_design/proposed_cfd_run_matrix.csv;work_products/2026-07/2026-07-16/2026-07-16_recirculation_cfd_anchor_study_design/required_output_contract.csv
9,salt3_jin_q1000w_hiins_onset_anchor,small_q_x_insulation_matrix,salt3_jin,viscosity_screening_salt_test_3_jin_coarse_mesh_continuation,1000,333.333333333,3.36134453782,hiins,0.5,"scale fixed cooler/sink Q from parent heat ledger, then re-audit net heat after insulation mutation",2,prepared_not_submitted,"submit only after PM10/high-heat admission shows no ordinary or transition anchor; high-heat jobs terminal or explicitly failed; preflight passes restart T, heater Q, insulation, cooler scaling, and source labels",source case exists; processors64 restart time exists; patched 0/T root and processors64 restart T; controlDict restart/endTime/purgeWrite audited; cooler/sink heat ledger refreshed,U;T;wallHeatFlux;Re;Pr;Ri;Gr;Ra;Gz;wall_core_deltaT;reverse_area_fraction;reverse_mass_fraction;secondary_velocity_fraction;steady_window_status;mesh_time_uncertainty,onset anchor; not ordinary upcomer Nu/f_D/K fit unless reverse fractions pass,not ordinary upcomer Nu/f_D/K fit unless reverse fractions and all admission gates pass,work_products/2026-07/2026-07-16/2026-07-16_recirculation_cfd_anchor_study_design/proposed_cfd_run_matrix.csv;work_products/2026-07/2026-07-16/2026-07-16_recirculation_cfd_anchor_study_design/required_output_contract.csv
10,salt3_jin_q1000w_baseline_onset_anchor,small_q_x_insulation_matrix,salt3_jin,viscosity_screening_salt_test_3_jin_coarse_mesh_continuation,1000,333.333333333,3.36134453782,baseline,1,"scale fixed cooler/sink Q from parent heat ledger, then re-audit net heat after insulation mutation",2,prepared_not_submitted,"submit only after PM10/high-heat admission shows no ordinary or transition anchor; high-heat jobs terminal or explicitly failed; preflight passes restart T, heater Q, insulation, cooler scaling, and source labels",source case exists; processors64 restart time exists; patched 0/T root and processors64 restart T; controlDict restart/endTime/purgeWrite audited; cooler/sink heat ledger refreshed,U;T;wallHeatFlux;Re;Pr;Ri;Gr;Ra;Gz;wall_core_deltaT;reverse_area_fraction;reverse_mass_fraction;secondary_velocity_fraction;steady_window_status;mesh_time_uncertainty,onset anchor; not ordinary upcomer Nu/f_D/K fit unless reverse fractions pass,not ordinary upcomer Nu/f_D/K fit unless reverse fractions and all admission gates pass,work_products/2026-07/2026-07-16/2026-07-16_recirculation_cfd_anchor_study_design/proposed_cfd_run_matrix.csv;work_products/2026-07/2026-07-16/2026-07-16_recirculation_cfd_anchor_study_design/required_output_contract.csv
