row_id,case_key,evidence_family,job_id,scheduler_state,terminal_or_harvest_status,representative_time_s,Re,Pr,Ri,Gr,Ra,Gz,backflow_fraction,reverse_area_fraction,reverse_mass_fraction,secondary_velocity_fraction,wall_bulk_deltaT_status,wallHeatFlux_status,same_window_consistency_status,mesh_time_uncertainty_status,classification,allowed_use,forbidden_use,ordinary_Nu_fit_allowed,ordinary_f_D_fit_allowed,component_K_fit_allowed,next_action,source_paths
current_onset:salt_2_jin,salt_2_jin,current_mainline_recirculation_diagnostic,,terminal_historical,admitted_CFD_diagnostic_not_fit,not_in_source_table,71.12521667906103,23.03622915,2.6337849550000003,9255.523033378056,213212.3495,,0.2777777777777778,0.430488,0.430488,,missing_direct_wall_core_delta_T,missing,partial,missing,recirculation_diagnostic,hybrid_onset_diagnostic_and_validity_boundary,ordinary_Nu; ordinary_f_D; component_K,no,no,no,keep as recirculation diagnostic; do not promote to ordinary coefficient,work_products/2026-07/2026-07-14/2026-07-14_upcomer_onset_blocker_resolution/upcomer_onset_evidence_status.csv;work_products/2026-07/2026-07-08/2026-07-08_upcomer_onset/upcomer_onset_regime_table.csv;work_products/2026-07/2026-07-07/2026-07-07_upcomer_correlation_v2/upcomer_dataset.csv;work_products/2026-07/2026-07-13/2026-07-13_litrev_cfd_validity_diagnostics/cfd_single_stream_validity.csv;work_products/2026-07/2026-07-14/2026-07-14_thermal_admission_internal_nu_final_gate/thermal_admission_internal_nu_final_gate.csv
current_onset:salt_3_jin,salt_3_jin,current_mainline_recirculation_diagnostic,,terminal_historical,admitted_CFD_diagnostic_not_fit,not_in_source_table,96.7702467137881,19.2544229,2.39573092,18963.49352542786,365131.12399999995,,0.21875,0.517997,0.517997,,missing_direct_wall_core_delta_T,missing,partial,missing,recirculation_diagnostic,hybrid_onset_diagnostic_and_validity_boundary,ordinary_Nu; ordinary_f_D; component_K,no,no,no,keep as recirculation diagnostic; do not promote to ordinary coefficient,work_products/2026-07/2026-07-14/2026-07-14_upcomer_onset_blocker_resolution/upcomer_onset_evidence_status.csv;work_products/2026-07/2026-07-08/2026-07-08_upcomer_onset/upcomer_onset_regime_table.csv;work_products/2026-07/2026-07-07/2026-07-07_upcomer_correlation_v2/upcomer_dataset.csv;work_products/2026-07/2026-07-13/2026-07-13_litrev_cfd_validity_diagnostics/cfd_single_stream_validity.csv;work_products/2026-07/2026-07-14/2026-07-14_thermal_admission_internal_nu_final_gate/thermal_admission_internal_nu_final_gate.csv
current_onset:salt_4_jin,salt_4_jin,current_mainline_recirculation_diagnostic,,terminal_historical,admitted_CFD_diagnostic_not_fit,not_in_source_table,134.88326391686644,15.9471594,1.4979865399999999,28274.709914795232,450901.306,,0.171875,0.560506,0.560506,,missing_direct_wall_core_delta_T,missing,partial,missing,recirculation_diagnostic,hybrid_onset_diagnostic_and_validity_boundary,ordinary_Nu; ordinary_f_D; component_K,no,no,no,keep as recirculation diagnostic; do not promote to ordinary coefficient,work_products/2026-07/2026-07-14/2026-07-14_upcomer_onset_blocker_resolution/upcomer_onset_evidence_status.csv;work_products/2026-07/2026-07-08/2026-07-08_upcomer_onset/upcomer_onset_regime_table.csv;work_products/2026-07/2026-07-07/2026-07-07_upcomer_correlation_v2/upcomer_dataset.csv;work_products/2026-07/2026-07-13/2026-07-13_litrev_cfd_validity_diagnostics/cfd_single_stream_validity.csv;work_products/2026-07/2026-07-14/2026-07-14_thermal_admission_internal_nu_final_gate/thermal_admission_internal_nu_final_gate.csv
pm10_harvest:salt2_lo10q,salt2_lo10q,pm10_completed_harvest_needs_upcomer_qoi_admission,3295438,COMPLETED,Converged terminal window; closure-fit admissible under current coordinator policy. Former too_short gate context is not an exclusion.,12382.000,,,,,,,,,,,missing_matched_plane_extraction,missing_matched_plane_extraction,terminal_window_available_not_qoi_admitted,missing,not_admissible_missing_matched_plane_fields,diagnostic_or_future_extraction_queue,ordinary_Nu; ordinary_f_D; component_K,no,no,no,run compute-node upcomer matched-plane extraction and classify with upcomer admission contract,work_products/2026-07/2026-07-14/2026-07-14_corrected_q_postprocess_harvest_submission/selected_salt2_salt4_pm10q_after_3293924/status_table/selected_corrected_q_status_table.csv;work_products/2026-07/2026-07-14/2026-07-14_corrected_q_postprocess_harvest_submission/slurm-saltq_s24_sel_harv-3295438.out;jadyn_runs/modern_runs/2026-07-04_corrected_salt_q_perturbations/runs/salt2_jin_lo10q_corrected/case_stage/viscosity_screening_salt_test_2_jin_coarse_mesh_continuation
pm10_harvest:salt2_hi10q,salt2_hi10q,pm10_completed_harvest_needs_upcomer_qoi_admission,3295438,COMPLETED,Converged terminal window; closure-fit admissible under current coordinator policy. Former too_short gate context is not an exclusion.,11668.000,,,,,,,,,,,missing_matched_plane_extraction,missing_matched_plane_extraction,terminal_window_available_not_qoi_admitted,missing,not_admissible_missing_matched_plane_fields,diagnostic_or_future_extraction_queue,ordinary_Nu; ordinary_f_D; component_K,no,no,no,run compute-node upcomer matched-plane extraction and classify with upcomer admission contract,work_products/2026-07/2026-07-14/2026-07-14_corrected_q_postprocess_harvest_submission/selected_salt2_salt4_pm10q_after_3293924/status_table/selected_corrected_q_status_table.csv;work_products/2026-07/2026-07-14/2026-07-14_corrected_q_postprocess_harvest_submission/slurm-saltq_s24_sel_harv-3295438.out;jadyn_runs/modern_runs/2026-07-04_corrected_salt_q_perturbations/runs/salt2_jin_hi10q_corrected/case_stage/viscosity_screening_salt_test_2_jin_coarse_mesh_continuation
pm10_harvest:salt4_lo10q,salt4_lo10q,pm10_completed_harvest_needs_upcomer_qoi_admission,3295438,COMPLETED,Converged terminal window; closure-fit admissible under current coordinator policy. Former too_short gate context is not an exclusion.,13421.000,,,,,,,,,,,missing_matched_plane_extraction,missing_matched_plane_extraction,terminal_window_available_not_qoi_admitted,missing,not_admissible_missing_matched_plane_fields,diagnostic_or_future_extraction_queue,ordinary_Nu; ordinary_f_D; component_K,no,no,no,run compute-node upcomer matched-plane extraction and classify with upcomer admission contract,work_products/2026-07/2026-07-14/2026-07-14_corrected_q_postprocess_harvest_submission/selected_salt2_salt4_pm10q_after_3293924/status_table/selected_corrected_q_status_table.csv;work_products/2026-07/2026-07-14/2026-07-14_corrected_q_postprocess_harvest_submission/slurm-saltq_s24_sel_harv-3295438.out;jadyn_runs/modern_runs/2026-07-04_corrected_salt_q_perturbations/runs/salt4_jin_lo10q_corrected/case_stage/viscosity_screening_salt_test_4_jin_coarse_mesh_continuation
pm10_harvest:salt4_hi10q,salt4_hi10q,pm10_completed_harvest_needs_upcomer_qoi_admission,3295438,COMPLETED,Converged terminal window; closure-fit admissible under current coordinator policy. Former too_short gate context is not an exclusion.,14017.000,,,,,,,,,,,missing_matched_plane_extraction,missing_matched_plane_extraction,terminal_window_available_not_qoi_admitted,missing,not_admissible_missing_matched_plane_fields,diagnostic_or_future_extraction_queue,ordinary_Nu; ordinary_f_D; component_K,no,no,no,run compute-node upcomer matched-plane extraction and classify with upcomer admission contract,work_products/2026-07/2026-07-14/2026-07-14_corrected_q_postprocess_harvest_submission/selected_salt2_salt4_pm10q_after_3293924/status_table/selected_corrected_q_status_table.csv;work_products/2026-07/2026-07-14/2026-07-14_corrected_q_postprocess_harvest_submission/slurm-saltq_s24_sel_harv-3295438.out;jadyn_runs/modern_runs/2026-07-04_corrected_salt_q_perturbations/runs/salt4_jin_hi10q_corrected/case_stage/viscosity_screening_salt_test_4_jin_coarse_mesh_continuation
high_heat:salt4_jin_q0500w_no_recirc_probe,salt4_jin_q0500w_no_recirc_probe,high_heat_no_recirc_probe,3299620,not_checked,not_ready_scheduler_unknown,11297.071713,,,,,,,,,,,missing_until_terminal_harvest,missing_until_terminal_harvest,missing_until_terminal_harvest,missing,not_admissible_missing_terminal_harvest,future_anchor_evidence_after_harvest,ordinary_Nu; ordinary_f_D; component_K,no,no,no,refresh scheduler state from login node,work_products/2026-07/2026-07-17/2026-07-17_high_heat_harvest_readiness_and_live_monitor/harvest_readiness_queue.csv;work_products/2026-07/2026-07-17/2026-07-17_high_heat_harvest_readiness_and_live_monitor/live_job_status.csv;jadyn_runs/modern_runs/2026-07-16_high_heat_no_recirc_probe
high_heat:salt4_jin_q1000w_no_recirc_probe,salt4_jin_q1000w_no_recirc_probe,high_heat_no_recirc_probe,3299620,not_checked,not_ready_scheduler_unknown,10824.810757,,,,,,,,,,,missing_until_terminal_harvest,missing_until_terminal_harvest,missing_until_terminal_harvest,missing,not_admissible_missing_terminal_harvest,future_anchor_evidence_after_harvest,ordinary_Nu; ordinary_f_D; component_K,no,no,no,refresh scheduler state from login node,work_products/2026-07/2026-07-17/2026-07-17_high_heat_harvest_readiness_and_live_monitor/harvest_readiness_queue.csv;work_products/2026-07/2026-07-17/2026-07-17_high_heat_harvest_readiness_and_live_monitor/live_job_status.csv;jadyn_runs/modern_runs/2026-07-16_high_heat_no_recirc_probe
high_heat:salt4_jin_q3x_no_recirc_probe,salt4_jin_q3x_no_recirc_probe,high_heat_no_recirc_probe,3299610,not_checked,not_ready_scheduler_unknown,11101.53614,,,,,,,,,,,missing_until_terminal_harvest,missing_until_terminal_harvest,missing_until_terminal_harvest,missing,not_admissible_missing_terminal_harvest,future_anchor_evidence_after_harvest,ordinary_Nu; ordinary_f_D; component_K,no,no,no,refresh scheduler state from login node,work_products/2026-07/2026-07-17/2026-07-17_high_heat_harvest_readiness_and_live_monitor/harvest_readiness_queue.csv;work_products/2026-07/2026-07-17/2026-07-17_high_heat_harvest_readiness_and_live_monitor/live_job_status.csv;jadyn_runs/modern_runs/2026-07-16_high_heat_no_recirc_probe
