row_id,case_key,evidence_family,job_id,scheduler_state,terminal_or_harvest_status,representative_time_s,Re,Pr,Ri,Gr,Ra,Gz,backflow_fraction,reverse_area_fraction,reverse_mass_fraction,secondary_velocity_fraction,wall_bulk_deltaT_status,wallHeatFlux_status,same_window_consistency_status,mesh_time_uncertainty_status,classification,allowed_use,forbidden_use,ordinary_Nu_fit_allowed,ordinary_f_D_fit_allowed,component_K_fit_allowed,next_action,source_paths
current_onset:salt_2_jin,salt_2_jin,current_mainline_recirculation_diagnostic,,terminal_historical,admitted_CFD_diagnostic_not_fit,not_in_source_table,71.12521667906103,23.03622915,2.6337849550000003,9255.523033378056,213212.3495,,0.2777777777777778,0.430488,0.430488,,missing_direct_wall_core_delta_T,missing,partial,missing,recirculation_diagnostic,hybrid_onset_diagnostic_and_validity_boundary,ordinary_Nu; ordinary_f_D; component_K,no,no,no,keep as recirculation diagnostic; do not promote to ordinary coefficient,work_products/2026-07/2026-07-14/2026-07-14_upcomer_onset_blocker_resolution/upcomer_onset_evidence_status.csv;work_products/2026-07/2026-07-08/2026-07-08_upcomer_onset/upcomer_onset_regime_table.csv;work_products/2026-07/2026-07-07/2026-07-07_upcomer_correlation_v2/upcomer_dataset.csv;work_products/2026-07/2026-07-13/2026-07-13_litrev_cfd_validity_diagnostics/cfd_single_stream_validity.csv;work_products/2026-07/2026-07-14/2026-07-14_thermal_admission_internal_nu_final_gate/thermal_admission_internal_nu_final_gate.csv
current_onset:salt_3_jin,salt_3_jin,current_mainline_recirculation_diagnostic,,terminal_historical,admitted_CFD_diagnostic_not_fit,not_in_source_table,96.7702467137881,19.2544229,2.39573092,18963.49352542786,365131.12399999995,,0.21875,0.517997,0.517997,,missing_direct_wall_core_delta_T,missing,partial,missing,recirculation_diagnostic,hybrid_onset_diagnostic_and_validity_boundary,ordinary_Nu; ordinary_f_D; component_K,no,no,no,keep as recirculation diagnostic; do not promote to ordinary coefficient,work_products/2026-07/2026-07-14/2026-07-14_upcomer_onset_blocker_resolution/upcomer_onset_evidence_status.csv;work_products/2026-07/2026-07-08/2026-07-08_upcomer_onset/upcomer_onset_regime_table.csv;work_products/2026-07/2026-07-07/2026-07-07_upcomer_correlation_v2/upcomer_dataset.csv;work_products/2026-07/2026-07-13/2026-07-13_litrev_cfd_validity_diagnostics/cfd_single_stream_validity.csv;work_products/2026-07/2026-07-14/2026-07-14_thermal_admission_internal_nu_final_gate/thermal_admission_internal_nu_final_gate.csv
current_onset:salt_4_jin,salt_4_jin,current_mainline_recirculation_diagnostic,,terminal_historical,admitted_CFD_diagnostic_not_fit,not_in_source_table,134.88326391686644,15.9471594,1.4979865399999999,28274.709914795232,450901.306,,0.171875,0.560506,0.560506,,missing_direct_wall_core_delta_T,missing,partial,missing,recirculation_diagnostic,hybrid_onset_diagnostic_and_validity_boundary,ordinary_Nu; ordinary_f_D; component_K,no,no,no,keep as recirculation diagnostic; do not promote to ordinary coefficient,work_products/2026-07/2026-07-14/2026-07-14_upcomer_onset_blocker_resolution/upcomer_onset_evidence_status.csv;work_products/2026-07/2026-07-08/2026-07-08_upcomer_onset/upcomer_onset_regime_table.csv;work_products/2026-07/2026-07-07/2026-07-07_upcomer_correlation_v2/upcomer_dataset.csv;work_products/2026-07/2026-07-13/2026-07-13_litrev_cfd_validity_diagnostics/cfd_single_stream_validity.csv;work_products/2026-07/2026-07-14/2026-07-14_thermal_admission_internal_nu_final_gate/thermal_admission_internal_nu_final_gate.csv
pm10_harvest:salt2_lo10q,salt2_lo10q,pm10_completed_harvest_needs_upcomer_qoi_admission,3295438,COMPLETED,matched_plane_extracted_recirculation_diagnostic,12382.000,,,217.4345548,,,,,0.7944465671,0.5000715431,0.7447560289,missing_not_needed_for_recirculation_diagnostic,missing_not_needed_for_recirculation_diagnostic,matched_plane_metrics_parsed,missing,recirculation_diagnostic,pm10_upcomer_recirculation_diagnostic_only,ordinary_Nu; ordinary_f_D; component_K; onset_anchor,no,no,no,do not promote PM10 to ordinary/onset anchor; wait for high-heat terminal harvest or launch Salt3 sentinels after gate,work_products/2026-07/2026-07-14/2026-07-14_corrected_q_postprocess_harvest_submission/selected_salt2_salt4_pm10q_after_3293924/status_table/selected_corrected_q_status_table.csv;work_products/2026-07/2026-07-14/2026-07-14_corrected_q_postprocess_harvest_submission/slurm-saltq_s24_sel_harv-3295438.out;jadyn_runs/modern_runs/2026-07-04_corrected_salt_q_perturbations/runs/salt2_jin_lo10q_corrected/case_stage/viscosity_screening_salt_test_2_jin_coarse_mesh_continuation;work_products/2026-07/2026-07-14/2026-07-14_upcomer_matched_plane_compute_extraction/pm10_upcomer_admission_summary.csv
pm10_harvest:salt2_hi10q,salt2_hi10q,pm10_completed_harvest_needs_upcomer_qoi_admission,3295438,COMPLETED,matched_plane_extracted_recirculation_diagnostic,11668.000,,,248.2740557,,,,,0.7813144941,0.500075367,0.7605464991,missing_not_needed_for_recirculation_diagnostic,missing_not_needed_for_recirculation_diagnostic,matched_plane_metrics_parsed,missing,recirculation_diagnostic,pm10_upcomer_recirculation_diagnostic_only,ordinary_Nu; ordinary_f_D; component_K; onset_anchor,no,no,no,do not promote PM10 to ordinary/onset anchor; wait for high-heat terminal harvest or launch Salt3 sentinels after gate,work_products/2026-07/2026-07-14/2026-07-14_corrected_q_postprocess_harvest_submission/selected_salt2_salt4_pm10q_after_3293924/status_table/selected_corrected_q_status_table.csv;work_products/2026-07/2026-07-14/2026-07-14_corrected_q_postprocess_harvest_submission/slurm-saltq_s24_sel_harv-3295438.out;jadyn_runs/modern_runs/2026-07-04_corrected_salt_q_perturbations/runs/salt2_jin_hi10q_corrected/case_stage/viscosity_screening_salt_test_2_jin_coarse_mesh_continuation;work_products/2026-07/2026-07-14/2026-07-14_upcomer_matched_plane_compute_extraction/pm10_upcomer_admission_summary.csv
pm10_harvest:salt4_lo10q,salt4_lo10q,pm10_completed_harvest_needs_upcomer_qoi_admission,3295438,COMPLETED,matched_plane_extracted_recirculation_diagnostic,13421.000,,,117.9248474,,,,,0.7773255016,0.5000774656,0.7658690809,missing_not_needed_for_recirculation_diagnostic,missing_not_needed_for_recirculation_diagnostic,matched_plane_metrics_parsed,missing,recirculation_diagnostic,pm10_upcomer_recirculation_diagnostic_only,ordinary_Nu; ordinary_f_D; component_K; onset_anchor,no,no,no,do not promote PM10 to ordinary/onset anchor; wait for high-heat terminal harvest or launch Salt3 sentinels after gate,work_products/2026-07/2026-07-14/2026-07-14_corrected_q_postprocess_harvest_submission/selected_salt2_salt4_pm10q_after_3293924/status_table/selected_corrected_q_status_table.csv;work_products/2026-07/2026-07-14/2026-07-14_corrected_q_postprocess_harvest_submission/slurm-saltq_s24_sel_harv-3295438.out;jadyn_runs/modern_runs/2026-07-04_corrected_salt_q_perturbations/runs/salt4_jin_lo10q_corrected/case_stage/viscosity_screening_salt_test_4_jin_coarse_mesh_continuation;work_products/2026-07/2026-07-14/2026-07-14_upcomer_matched_plane_compute_extraction/pm10_upcomer_admission_summary.csv
pm10_harvest:salt4_hi10q,salt4_hi10q,pm10_completed_harvest_needs_upcomer_qoi_admission,3295438,COMPLETED,matched_plane_extracted_recirculation_diagnostic,14017.000,,,245.0185386,,,,,0.7718036567,0.5001069481,0.7631509509,missing_not_needed_for_recirculation_diagnostic,missing_not_needed_for_recirculation_diagnostic,matched_plane_metrics_parsed,missing,recirculation_diagnostic,pm10_upcomer_recirculation_diagnostic_only,ordinary_Nu; ordinary_f_D; component_K; onset_anchor,no,no,no,do not promote PM10 to ordinary/onset anchor; wait for high-heat terminal harvest or launch Salt3 sentinels after gate,work_products/2026-07/2026-07-14/2026-07-14_corrected_q_postprocess_harvest_submission/selected_salt2_salt4_pm10q_after_3293924/status_table/selected_corrected_q_status_table.csv;work_products/2026-07/2026-07-14/2026-07-14_corrected_q_postprocess_harvest_submission/slurm-saltq_s24_sel_harv-3295438.out;jadyn_runs/modern_runs/2026-07-04_corrected_salt_q_perturbations/runs/salt4_jin_hi10q_corrected/case_stage/viscosity_screening_salt_test_4_jin_coarse_mesh_continuation;work_products/2026-07/2026-07-14/2026-07-14_upcomer_matched_plane_compute_extraction/pm10_upcomer_admission_summary.csv
high_heat:salt4_jin_q0500w_no_recirc_probe,salt4_jin_q0500w_no_recirc_probe,high_heat_no_recirc_probe,3299620,not_checked,not_ready_scheduler_unknown,11297.071713,,,,,,,,,,,missing_until_terminal_harvest,missing_until_terminal_harvest,missing_until_terminal_harvest,missing,not_admissible_missing_terminal_harvest,future_anchor_evidence_after_harvest,ordinary_Nu; ordinary_f_D; component_K,no,no,no,refresh scheduler state from login node,work_products/2026-07/2026-07-17/2026-07-17_high_heat_harvest_readiness_and_live_monitor/harvest_readiness_queue.csv;work_products/2026-07/2026-07-17/2026-07-17_high_heat_harvest_readiness_and_live_monitor/live_job_status.csv;jadyn_runs/modern_runs/2026-07-16_high_heat_no_recirc_probe
high_heat:salt4_jin_q1000w_no_recirc_probe,salt4_jin_q1000w_no_recirc_probe,high_heat_no_recirc_probe,3299620,not_checked,not_ready_scheduler_unknown,10824.810757,,,,,,,,,,,missing_until_terminal_harvest,missing_until_terminal_harvest,missing_until_terminal_harvest,missing,not_admissible_missing_terminal_harvest,future_anchor_evidence_after_harvest,ordinary_Nu; ordinary_f_D; component_K,no,no,no,refresh scheduler state from login node,work_products/2026-07/2026-07-17/2026-07-17_high_heat_harvest_readiness_and_live_monitor/harvest_readiness_queue.csv;work_products/2026-07/2026-07-17/2026-07-17_high_heat_harvest_readiness_and_live_monitor/live_job_status.csv;jadyn_runs/modern_runs/2026-07-16_high_heat_no_recirc_probe
high_heat:salt4_jin_q3x_no_recirc_probe,salt4_jin_q3x_no_recirc_probe,high_heat_no_recirc_probe,3299610,not_checked,not_ready_scheduler_unknown,11101.53614,,,,,,,,,,,missing_until_terminal_harvest,missing_until_terminal_harvest,missing_until_terminal_harvest,missing,not_admissible_missing_terminal_harvest,future_anchor_evidence_after_harvest,ordinary_Nu; ordinary_f_D; component_K,no,no,no,refresh scheduler state from login node,work_products/2026-07/2026-07-17/2026-07-17_high_heat_harvest_readiness_and_live_monitor/harvest_readiness_queue.csv;work_products/2026-07/2026-07-17/2026-07-17_high_heat_harvest_readiness_and_live_monitor/live_job_status.csv;jadyn_runs/modern_runs/2026-07-16_high_heat_no_recirc_probe
