segment_name,parent_segment,mapped_source_segments,role_row_count_for_parent,role_Ta_K,heat_ledger_external_ambient_temperature_K,ambient_temperature_difference_K,T_avg_K,Q_ambient_W,expected_heat_loss_from_Tavg_gt_ambient,observed_Qambient_positive,sign_check,drive_check,claim_boundary
left_lower_vertical__s00,left_lower_vertical,upcomer,1,299.19,300.0,0.8100000000000023,374.2793600453421,6.99664093934536,True,True,pass,review_role_vs_heat_ledger_Ta_offset,"train-only diagnostic post-processing; no Fluid run, no fitting, no model selection, no repair execution, no freeze/admission, no validation/holdout/external-test scoring"
left_lower_vertical__s01,left_lower_vertical,upcomer,1,299.19,300.0,0.8100000000000023,373.49969874808966,6.92399402708128,True,True,pass,review_role_vs_heat_ledger_Ta_offset,"train-only diagnostic post-processing; no Fluid run, no fitting, no model selection, no repair execution, no freeze/admission, no validation/holdout/external-test scoring"
left_lower_vertical__s02,left_lower_vertical,upcomer,1,299.19,300.0,0.8100000000000023,372.7281327620513,6.852101415903576,True,True,pass,review_role_vs_heat_ledger_Ta_offset,"train-only diagnostic post-processing; no Fluid run, no fitting, no model selection, no repair execution, no freeze/admission, no validation/holdout/external-test scoring"
left_lower_vertical__s03,left_lower_vertical,upcomer,1,299.19,300.0,0.8100000000000023,371.9645780326974,6.780955273818965,True,True,pass,review_role_vs_heat_ledger_Ta_offset,"train-only diagnostic post-processing; no Fluid run, no fitting, no model selection, no repair execution, no freeze/admission, no validation/holdout/external-test scoring"
test_section__s00,test_section,,0,,300.0,,372.2248839756018,7.071497663251634,True,True,pass,pass,"train-only diagnostic post-processing; no Fluid run, no fitting, no model selection, no repair execution, no freeze/admission, no validation/holdout/external-test scoring"
test_section__s01,test_section,,0,,300.0,,373.4962840512436,7.228296184215392,True,True,pass,pass,"train-only diagnostic post-processing; no Fluid run, no fitting, no model selection, no repair execution, no freeze/admission, no validation/holdout/external-test scoring"
left_upper_vertical__s00,left_upper_vertical,upcomer,1,299.19,300.0,0.8100000000000023,373.7385504390992,6.9462496371802365,True,True,pass,review_role_vs_heat_ledger_Ta_offset,"train-only diagnostic post-processing; no Fluid run, no fitting, no model selection, no repair execution, no freeze/admission, no validation/holdout/external-test scoring"
left_upper_vertical__s01,left_upper_vertical,upcomer,1,299.19,300.0,0.8100000000000023,372.96450442900476,6.874125943491896,True,True,pass,review_role_vs_heat_ledger_Ta_offset,"train-only diagnostic post-processing; no Fluid run, no fitting, no model selection, no repair execution, no freeze/admission, no validation/holdout/external-test scoring"
left_upper_vertical__s02,left_upper_vertical,upcomer,1,299.19,300.0,0.8100000000000023,372.1984954259644,6.802751118252433,True,True,pass,review_role_vs_heat_ledger_Ta_offset,"train-only diagnostic post-processing; no Fluid run, no fitting, no model selection, no repair execution, no freeze/admission, no validation/holdout/external-test scoring"
left_upper_vertical__s03,left_upper_vertical,upcomer,1,299.19,300.0,0.8100000000000023,371.44043998082697,6.732117385876242,True,True,pass,review_role_vs_heat_ledger_Ta_offset,"train-only diagnostic post-processing; no Fluid run, no fitting, no model selection, no repair execution, no freeze/admission, no validation/holdout/external-test scoring"
top_horizontal_inlet,top_horizontal_inlet,cooling_branch;junction,2,299.19,300.0,0.8100000000000023,370.523536301862,9.638772276030348,True,True,pass,review_role_vs_heat_ledger_Ta_offset,"train-only diagnostic post-processing; no Fluid run, no fitting, no model selection, no repair execution, no freeze/admission, no validation/holdout/external-test scoring"
cooled_incline_pre_hx__s00,cooled_incline_pre_hx,cooling_branch,1,299.19,300.0,0.8100000000000023,369.85332036688203,2.3276365605132465,True,True,pass,review_role_vs_heat_ledger_Ta_offset,"train-only diagnostic post-processing; no Fluid run, no fitting, no model selection, no repair execution, no freeze/admission, no validation/holdout/external-test scoring"
