target_id,target_chapter_or_appendix,table_or_figure,source_path,proposed_title,writer_value,required_caption_caveat
APP-01,Appendix evidence schema,table,work_products/2026-07/2026-07-22/2026-07-22_thesis_external_writer_evidence_packet_contract/evidence_packet_schema.csv,Evidence packet required fields,"Defines what every thesis-support packet must contain.","Process schema; not a scientific result."
APP-02,Chapter 4 or appendix,table,work_products/2026-07/2026-07-22/2026-07-22_thesis_governing_equations_definitions_glossary_packet/equation_ledger.csv,Governing equations and admission status,"Lets writer define model slots without overclaiming coefficients.","Equation slots are not coefficient admissions."
APP-03,Appendix glossary,table,work_products/2026-07/2026-07-22/2026-07-22_thesis_governing_equations_definitions_glossary_packet/symbol_glossary.csv,Symbol glossary and forbidden uses,"Prevents term drift in thesis prose.","Forbidden-use column must be preserved."
APP-04,Chapter 6 or appendix,table,work_products/2026-07/2026-07-22/2026-07-22_thesis_governing_equations_definitions_glossary_packet/assumptions_caveats.csv,Assumptions and caveats by evidence family,"Gives concise caveats for methods/results captions.","Caveats do not admit blocked coefficients."
APP-05,Chapter 6 or appendix,table,work_products/2026-07/2026-07-22/2026-07-22_thesis_governing_equations_definitions_glossary_packet/claim_use_map.csv,Allowed and forbidden thesis claims,"Controls overclaims before prose drafting.","Do not treat diagnostic evidence as final predictive performance."
APP-06,Chapter 7/8,table,work_products/2026-07/2026-07-22/2026-07-22_thesis_latex_evidence_packet_ch7_ch8_results/result_status_matrix.csv,Results and negative-evidence status,"Supports pressure/thermal/S13/scorecard results discussion.","Final predictive scores remain blocked."
APP-07,Chapter 7/8,table,work_products/2026-07/2026-07-22/2026-07-22_thesis_latex_evidence_packet_ch7_ch8_results/claim_boundary_ledger.csv,Results claim boundary ledger,"Tells writer what can and cannot be said from each result.","No coefficient admission unless source row says admitted."
APP-08,Chapter 7,figure,work_products/2026-07/2026-07-21/2026-07-21_velocity_magnitude_pictures/figures/velocity_magnitude_side_z_composite_labeled.png,Matched Salt upcomer velocity magnitude side-z composite,"Provides high-value visual evidence for recirculation/mixed flow.","Diagnostic visual only; quantitative recirculation packet still needed."
APP-09,Chapter 8/9,table,work_products/2026-07/2026-07-22/2026-07-22_thesis_latex_evidence_packet_ch9_limits_sam/limitations_status_ledger.csv,Limitations and SAM/CSEM relevance,"Supports conclusion/future-work boundaries.","No SAM validation or final predictive score claim."
APP-10,Appendix source provenance,table,work_products/2026-07/2026-07-22/2026-07-22_thesis_compact_evidence_appendix_packet_plan/copy_no_copy_manifest.csv,Compact evidence copy/no-copy manifest,"Documents what was selected and what was excluded.","This plan does not perform external copy."
