priority,item,source_path,size_bytes_checked,proposed_evidence_destination,copy_policy,reason,caveat
1,evidence packet contract README,work_products/2026-07/2026-07-22/2026-07-22_thesis_external_writer_evidence_packet_contract/README.md,7243,evidence/README.md,copy_or_summarize_small_text,"Defines the writer-facing evidence-packet discipline.","No external copy from this row."
2,evidence packet schema,work_products/2026-07/2026-07-22/2026-07-22_thesis_external_writer_evidence_packet_contract/evidence_packet_schema.csv,1553,evidence/schema/evidence_packet_schema.csv,copy_small_csv,"Required fields for all future writer packets.","Schema is process metadata, not thesis results."
3,chapter packet queue,work_products/2026-07/2026-07-22/2026-07-22_thesis_external_writer_evidence_packet_contract/chapter_evidence_packet_queue.csv,4733,evidence/index/chapter_evidence_packet_queue.csv,copy_small_csv,"Shows chapter-level packet dependencies.","Older LaTeX sync wording is superseded by no-Codex-writing policy."
4,scientific study dispatch,work_products/2026-07/2026-07-22/2026-07-22_thesis_external_writer_evidence_packet_contract/scientific_study_dispatch_matrix.csv,4656,evidence/index/scientific_study_dispatch_matrix.csv,copy_small_csv,"Connects thesis-writing needs to remaining analyses.","Study rows do not imply admission."
5,Ch1-Ch4 foundations README,work_products/2026-07/2026-07-22/2026-07-22_thesis_evidence_packet_ch1_ch4_foundations/README.md,not_checked,evidence/ch01_ch04_foundations/README.md,copy_small_markdown,"Foundational motivation/reduction packet for outside writer.","No direct prose import without outside writer review."
6,Ch1-Ch4 source path ledger,work_products/2026-07/2026-07-22/2026-07-22_thesis_evidence_packet_ch1_ch4_foundations/source_path_ledger.csv,not_checked,evidence/ch01_ch04_foundations/source_path_ledger.csv,copy_small_csv,"Exact provenance for foundations packet.","Source paths are local; preserve repo-relative context."
7,Ch1-Ch4 equations/definitions ledger,work_products/2026-07/2026-07-22/2026-07-22_thesis_evidence_packet_ch1_ch4_foundations/equations_definitions_ledger.csv,not_checked,evidence/ch01_ch04_foundations/equations_definitions_ledger.csv,copy_small_csv,"Chapter 4 reduction definitions already curated.","Superseded in part by the more complete glossary packet."
8,governing equation ledger,work_products/2026-07/2026-07-22/2026-07-22_thesis_governing_equations_definitions_glossary_packet/equation_ledger.csv,5391,evidence/glossary/equation_ledger.csv,copy_small_csv,"Best compact source for model equations and slot/admission status.","Equation slots are not coefficient admissions."
9,symbol glossary,work_products/2026-07/2026-07-22/2026-07-22_thesis_governing_equations_definitions_glossary_packet/symbol_glossary.csv,7187,evidence/glossary/symbol_glossary.csv,copy_small_csv,"Best compact source for symbols units sign conventions and forbidden uses.","Writer must not change term meanings."
10,assumptions/caveats,work_products/2026-07/2026-07-22/2026-07-22_thesis_governing_equations_definitions_glossary_packet/assumptions_caveats.csv,5279,evidence/glossary/assumptions_caveats.csv,copy_small_csv,"Caption and paragraph guardrails.","Caveats do not block diagnostic discussion when stated."
11,claim-use map,work_products/2026-07/2026-07-22/2026-07-22_thesis_governing_equations_definitions_glossary_packet/claim_use_map.csv,4830,evidence/glossary/claim_use_map.csv,copy_small_csv,"Allowed/forbidden claim table for writer review.","Does not replace thesis claim ledger source."
12,Ch7/Ch8 result status matrix,work_products/2026-07/2026-07-22/2026-07-22_thesis_latex_evidence_packet_ch7_ch8_results/result_status_matrix.csv,6331,evidence/ch07_ch08_results/result_status_matrix.csv,copy_small_csv,"Compact results/non-admission status for outside writer.","Package name is historical; use as evidence, not LaTeX writing."
13,Ch7/Ch8 claim boundaries,work_products/2026-07/2026-07-22/2026-07-22_thesis_latex_evidence_packet_ch7_ch8_results/claim_boundary_ledger.csv,4709,evidence/ch07_ch08_results/claim_boundary_ledger.csv,copy_small_csv,"Allowed/forbidden results claims.","Final score values remain blocked."
14,Ch7/Ch8 figure/table targets,work_products/2026-07/2026-07-22/2026-07-22_thesis_latex_evidence_packet_ch7_ch8_results/figure_table_target_ledger.csv,4210,evidence/ch07_ch08_results/figure_table_target_ledger.csv,copy_small_csv,"Targets selected results figures/tables.","Do not copy broad generated figure folders."
15,Ch9 limitations packet,work_products/2026-07/2026-07-22/2026-07-22_thesis_latex_evidence_packet_ch9_limits_sam/README.md,not_checked,evidence/ch09_limits_sam/README.md,copy_or_summarize_small_text,"SAM/CSEM limitations and future-work context.","No SAM validation claim."
16,claim ledger source,reports/thesis_dossier/Chapters_and_sections/current/08_thesis_claim_ledger.md,not_checked,evidence/reference/claim_ledger_summary.md,summarize_or_copy_selected_sections,"Master claim boundary reference.","Do not copy stale prose if a newer packet supersedes a row."
17,selected upcomer panels,work_products/2026-07/2026-07-21/2026-07-21_velocity_magnitude_pictures/figures/velocity_magnitude_side_z_composite_labeled.png,not_checked,figures/upcomer/velocity_magnitude_side_z_composite_labeled.png,copy_selected_figure_only,"High-value recirculation visual for writer review.","Diagnostic visual; quantitative recirculation packet still needed."
18,native OpenFOAM case trees,jadyn_runs/**/case_stage/**; staging/**; linked_cases/**,not_checked,none,do_not_copy,"Too large and not appropriate for writer evidence layer.","Use exact source paths in manifests instead."
19,raw sampled fields and broad generated folders,tmp_extract/**; work_products/**/raw*; figures_rendered/**,not_checked,none,do_not_copy,"Too broad or raw for compact manuscript support.","Copy only selected reviewed figures or CSV excerpts."
