polish_id,priority,target_chapter,source_path,current_weakness,required_improvement,implementation_note,acceptance
POL-001,high,Ch5/Ch7,work_products/2026-07/2026-07-21/2026-07-21_velocity_magnitude_pictures/figures/velocity_magnitude_side_z_composite_labeled.png,Composite is strong but caption must carry exact diagnostic status and physical reading,Pair with a caption using max downward velocity and qualitative exchange interpretation,Use existing image and thesis analysis note no rerender required,Caption names common axes source and no-admission caveat
POL-002,high,Ch6,work_products/2026-07/2026-07-21/2026-07-21_thesis_figtable_s6_blocked_scorecard_shell/s0_s11_gate_flow_table.csv,Gate table is dense for main text,Render as a compact gate-flow diagram with complete blocked trigger labels,Use existing s0_s11_gate_flow_diagram.md as layout source,Main figure shows S0-S14 status and S11/S6 blocked state
POL-003,high,Ch7,work_products/2026-07/2026-07-21/2026-07-21_thesis_figtable_s10_pressure_f6_gate_waterfall/pressure_f6_gate_waterfall.csv,Waterfall CSV is too detailed for a first-read result,Make a one-page pressure/F6 gate waterfall with counts and zero-admission endpoint,Do not expose all raw rows in main text,Figure states 0 component K 0 F6 0 clipped K 0 hidden multiplier
POL-004,high,Ch7,work_products/2026-07/2026-07-21/2026-07-21_thesis_study_s14_pressure_f6_nonrecirc_anchor_evidence/f6_branch_use_scorecard.csv,Full 53-row scorecard is appendix-scale,Make a count summary by admitted diagnostic future do-not-use plus preferred future ordinary lanes,Keep full scorecard appendix source,Main table reports 0 admitted rows and names right_leg/test_section_span as future lanes
POL-005,high,Ch7,work_products/2026-07/2026-07-21/2026-07-21_fluid_extbc_phase_h2_passive_heat_loss_attribution/tw5_response_waterfall.csv,Waterfall is numerically useful but needs thesis visual hierarchy,Create a sorted response table or horizontal bar chart for TW5 and all-probe response,Use train-only caveat in title/caption,Figure makes broad passive response obvious without implying fitted repair
POL-006,medium,Ch6,work_products/2026-07/2026-07-21/2026-07-21_thesis_figtable_s7_sensor_map_overlay/sensor_overlay_table.csv,Sensor table is too wide for main text,Condense to counts and policy categories then appendix full map,Keep runtime leakage caveat table nearby,Main text shows 1 mapped 15 bounded 1 excluded and 0 runtime permissions
POL-007,medium,Ch6/Ch7,work_products/2026-07/2026-07-21/2026-07-21_thesis_figtable_s9_upcomer_exchange_evidence/exchange_qoi_figure_contract.csv,QOI contract reads like a task ledger,Make a thesis table with required QOI present state missing blocker and next extraction,Pair with F03 schematic and velocity composite,Reader can see why exchange-cell admission is still blocked
POL-008,medium,Ch5/Ch6,work_products/2026-07/2026-07-21/2026-07-21_s13_seeded_heat_path_lane_release/heat_path_lane_table.csv,S13 heat-path table needs fail-closed wording,Add a compact table emphasizing 0 Q_wall_W 0 sampler-ready 0 UQ rows,Keep source-side and sampled-field contract in appendix,Main text distinguishes input scaffold from production harvest
POL-009,medium,Ch6,reports/thesis_dossier/Chapters_and_sections/current/03_split_policy_and_evidence_classes.md,Runtime/split policy is prose-heavy,Create a small allowed-versus-forbidden runtime input table,Reuse existing predictive path status set where possible,Every forbidden input remains explicitly forbidden
POL-010,low,appendix,work_products/2026-07/2026-07-21/2026-07-21_thesis_figtable_cross_chapter_visual_ledger/README.md,Cross-chapter ledger is useful but not manuscript-ready,Generate an appendix source manifest table with chapter and claim IDs,No new science,Appendix table lets reviewers trace every figure/table source
