gap_id,target_chapter,topic,current_evidence,missing_or_weak_piece,needed_work,next_task_type,priority,claim_boundary
GAP-001,Ch5/Ch7,Matched upcomer velocity behavior,work_products/2026-07/2026-07-21/2026-07-21_velocity_magnitude_pictures/velocity_magnitude_side_z_thesis_analysis.md,Need a concise physics paragraph tying downward core pockets and asymmetric high-speed lanes to buoyancy pressure recovery and exchange-cell interpretation,Write import-ready explanation plus caption,prose_only,high,Diagnostic visual no admitted recirculation coefficient
GAP-002,Ch7,Quantified recirculation metrics,work_products/2026-07/2026-07-21/2026-07-21_thesis_figtable_s9_upcomer_exchange_evidence/exchange_qoi_figure_contract.csv,Need production same-window V_recirc mdot_exchange tau_recirc wall/core/bulk temperature contrast and UQ before numerical recirculation fraction can be claimed,Run S13 production harvest after sampler readiness,analysis_compute,high,Do not invent recirculation fraction from the image
GAP-003,Ch6,Same-QOI UQ,work_products/2026-07/2026-07-21/2026-07-21_same_qoi_neighbor_window_preflight/README.md,Neighboring-window and accepted same-QOI mesh/GCI evidence are still compute-needed for pressure and exchange rows,Execute same-QOI UQ only after exact QOI sources are released,analysis_compute,high,No same-QOI admission until row-matched evidence exists
GAP-004,Ch7,Pressure/F6 non-admission explanation,work_products/2026-07/2026-07-21/2026-07-21_thesis_figtable_s10_pressure_f6_gate_waterfall/pressure_f6_gate_waterfall.csv,Need a simpler reader-facing explanation of why finite pressure differences still fail component-K and F6 gates,Write a pressure-basis sidebar and gate-waterfall caption,prose_and_figure_polish,high,No component K F6 clipped K or hidden multiplier
GAP-005,Ch7/Ch8,Future pressure anchors,work_products/2026-07/2026-07-21/2026-07-21_thesis_study_s14_pressure_f6_nonrecirc_anchor_evidence/f6_branch_decision_table.csv,Need a short future-work plan for right_leg and test_section_span ordinary lanes with low-recirculation masks and same-QOI UQ,Write future-work sequence and table,prose_only,medium,Future lanes are not admitted current coefficients
GAP-006,Ch7,Thermal passive hA interpretation,work_products/2026-07/2026-07-21/2026-07-21_fluid_extbc_phase_h2_passive_heat_loss_attribution/tw5_response_waterfall.csv,Need clearer explanation that broad passive response localizes physical-basis uncertainty rather than authorizing a global fitted multiplier,Write result paragraph and improve waterfall table,prose_and_table_polish,high,Train-only diagnostic no repair or final score
GAP-007,Ch5/Ch6,External BC implementation story,work_products/2026-07/2026-07-21/2026-07-21_fluid_external_bc_phase_d_smoke_scorecard/README.md,Need compact explanation of setup-facing dictionary semantics and why realized wallHeatFlux is excluded from runtime,Write method box and cite dictionary path,prose_only,medium,External BC readiness is not validation accuracy
GAP-008,Ch6,Runtime leakage rules,work_products/2026-07/2026-07-21/2026-07-21_thesis_figtable_predictive_path_status_set/runtime_input_contract_table.csv,Need one polished table separating allowed setup inputs from forbidden CFD response inputs,Condense existing table for thesis main text,table_polish,high,Forbidden runtime inputs remain forbidden
GAP-009,Ch7,Negative results contribution,work_products/2026-07/2026-07-21/2026-07-21_thesis_negative_results_scientific_contribution_section/README.md,Need the writer to present S8 S9 S10 S12 S14 as evidence narrowing rather than failed work,Write a bridging subsection between results and blocked scorecard,prose_only,high,Negative result does not become admission
GAP-010,Ch3/Ch7,CFD evidence versus closure admission,reports/thesis_dossier/Chapters_and_sections/current/16_ch3_csem_cfd_evidence_database.md,Need repeated reminder that Salt-family CFD figures motivate local ledgers but do not automatically admit local HTC friction or K values,Add one sentence to every quantitative CFD figure caption,caption_polish,medium,CFD reference not experiment or blanket closure truth
GAP-011,Ch8,SAM/CSEM relevance,reports/thesis_dossier/Chapters_and_sections/current/20_ch8_csem_sam_limitations_conclusions.md,Need concise closing statement that SAM relevance is transfer of closure discipline not SAM validation,Write conclusion paragraph and forbid validation wording,prose_only,medium,No SAM validation claim
GAP-012,appendix,Large CSV readability,reports/thesis_dossier/Chapters_and_sections/current/21_csem_figure_table_incorporation_package.md,Several source CSVs are too wide for LaTeX main text,Create compact main-text tables and route full CSVs to appendix,table_polish,medium,Do not drop source paths or caveats while condensing
