priority,artifact_id,artifact_type,target_chapter,source_path,thesis_use,claim_boundary,writer_action,status
must_include,TA-001,prose_spine,Ch1/Ch3/Ch5/Ch6/Ch7/Ch8,reports/thesis_dossier/Chapters_and_sections/current/14_csem_narrative_integration_plan.md,Use as the governing CSEM narrative map from CFD evidence to closure admission and blocked prediction,CFD is high-fidelity reference not experimental validation,Use this to order the LaTeX chapter imports and prevent orphaned result sections,ready
must_include,TA-002,claim_table,Ch6/appendix,reports/thesis_dossier/Chapters_and_sections/current/08_thesis_claim_ledger.md,Map every thesis claim to evidence and caveats before importing prose,No new claim may bypass the ledger,Keep beside the manuscript while writing captions and result sentences,ready
must_include,TA-003,figure_table_ledger,Ch3-Ch8,reports/thesis_dossier/Chapters_and_sections/current/21_csem_figure_table_incorporation_package.md,Primary routing table for existing figures tables and caption caveats,Routing does not imply admission,Use as the top-level figure/table import checklist,ready
must_include,TA-004,figure,Ch5/Ch7,work_products/2026-07/2026-07-21/2026-07-21_velocity_magnitude_pictures/figures/velocity_magnitude_side_z_composite_labeled.png,Show matched Salt1-Salt4 upcomer resultant velocity structure under common axes,Diagnostic visual only no ordinary upcomer closure or exchange-cell coefficient,Import as the main upcomer model-form evidence figure with the analysis note as caption source,ready
must_include,TA-005,prose_caption_source,Ch5/Ch7,work_products/2026-07/2026-07-21/2026-07-21_velocity_magnitude_pictures/velocity_magnitude_side_z_thesis_analysis.md,Explain why the upcomer velocity field motivates a throughflow-plus-exchange lane,Do not infer admitted recirculation fraction or Ri number from this figure alone,Use the physical explanation and suggested paragraph directly in LaTeX prose,ready
must_include,TA-006,gate_table,Ch6,work_products/2026-07/2026-07-21/2026-07-21_thesis_figtable_s6_blocked_scorecard_shell/s0_s11_gate_flow_table.csv,Show completed gates and trigger-gated blocked scorecard state,Zero final scores are the rigorous current result not missing formatting,Convert to a compact thesis table or gate-flow figure,needs_polish
must_include,TA-007,scorecard_shell,Ch7,work_products/2026-07/2026-07-21/2026-07-21_thesis_figtable_s6_blocked_scorecard_shell/blocked_scorecard_visual_table.csv,Show final predictive scorecard shell with no frozen candidate,No final predictive accuracy claim,Use as the final results boundary table,needs_polish
must_include,TA-008,sensor_table,Ch6,work_products/2026-07/2026-07-21/2026-07-21_thesis_figtable_s7_sensor_map_overlay/sensor_overlay_table.csv,Show TP/TW score-target mapping and bounded/excluded sensor policy,TP/TW temperatures are score-only never runtime inputs,Condense to mapped bounded excluded counts plus source-policy note,needs_polish
must_include,TA-009,negative_result_table,Ch7,work_products/2026-07/2026-07-21/2026-07-21_thesis_study_s8_wall_test_section_axial_mixing_candidate/negative_or_admission_ready_summary.csv,Report wall/test-section candidate review as a negative scientific result,No passive wall/test-section closure is admitted,Use as compact falsification table with PB2/PB3 context,ready
must_include,TA-010,exchange_table,Ch6/Ch7,work_products/2026-07/2026-07-21/2026-07-21_thesis_figtable_s9_upcomer_exchange_evidence/exchange_qoi_figure_contract.csv,List missing exchange QOIs needed before hybrid upcomer admission,Requirements are not current coefficients,Use beside the upcomer velocity figure and F03 schematic,needs_polish
must_include,TA-011,pressure_waterfall,Ch7,work_products/2026-07/2026-07-21/2026-07-21_thesis_figtable_s10_pressure_f6_gate_waterfall/pressure_f6_gate_waterfall.csv,Show ordered pressure and F6 gate failures with zero admitted rows,No component K F6 fit clipped K or hidden multiplier,Convert to a readable gate-waterfall figure or short table,needs_polish
must_include,TA-012,pressure_scorecard,Ch7/Ch8,work_products/2026-07/2026-07-21/2026-07-21_thesis_study_s14_pressure_f6_nonrecirc_anchor_evidence/f6_branch_use_scorecard.csv,Show broader pressure/F6 branch-use review: 53 scored rows and zero admitted,Future ordinary lanes are narrowed but not admitted,Use a summarized count table in main text and full scorecard in appendix,needs_polish
must_include,TA-013,thermal_attribution,Ch7,work_products/2026-07/2026-07-21/2026-07-21_fluid_extbc_phase_h2_passive_heat_loss_attribution/tw5_response_waterfall.csv,Show broad passive heat-loss sensitivity and TW5 response,Train-only diagnostic no repair freeze validation holdout or external score,Use as a waterfall or before/after response table,needs_polish
must_include,TA-014,upcomer_scaffold,Ch5/Ch6,work_products/2026-07/2026-07-21/2026-07-21_s13_seeded_heat_path_lane_release/heat_path_lane_table.csv,Show seeded exchange-CV heat-path lane fail-close and missing Q_wall/sampler readiness,Input readiness is not sampler harvest or UQ admission,Use as methods/result boundary table for S13,ready
include_if_space,TA-015,litrev_bridge,Ch2/Ch5/Ch6,reports/thesis_dossier/Chapters_and_sections/current/25_litrev_csem_thesis_incorporation.md,Connect literature model forms and source-envelope rules to the admission gates,Source envelope is not TAMU admission,Use to justify why pressure thermal and recirculation gates exist,ready
include_if_space,TA-016,roadmap,Ch8,reports/thesis_dossier/Chapters_and_sections/current/26_predictive_model_studies_roadmap.md,State the remaining study path after the blocked scorecard,Future studies are not completed results,Use to write limitations and next-work paragraphs,ready
appendix_support,TA-017,full_s7_table,appendix,work_products/2026-07/2026-07-21/2026-07-21_thesis_figtable_s7_sensor_map_overlay/bounded_excluded_sensor_table.csv,Preserve full sensor details behind the main count table,Score-only policy remains unchanged,Place in appendix if the main text only uses counts,ready
appendix_support,TA-018,full_s14_rejection,appendix,work_products/2026-07/2026-07-21/2026-07-21_thesis_study_s14_pressure_f6_nonrecirc_anchor_evidence/component_k_rejection_table.csv,Preserve full component-K rejection basis,No ordinary component-K admission,Use as appendix evidence for pressure non-admission,ready
do_not_use_as_claim,TA-019,diagnostic_fit_history,appendix,reports/2026-07/2026-07-01/2026-07-01_model_form_comparison/README.md,Historical diagnostic replay and model-form comparison context,Do not present CFD-drive replay as final predictive validation,Cite only as development history or motivation,guarded
