sensor,kind,policy,runtime_input_allowed,scorecard_use,mean_abs_error_K,max_abs_error_K,source_paths,guardrail
TP1,TP,scoreable_large_residual_review,false,post_solve_diagnostic_score_target,93.9119,225.827,work_products/2026-07/2026-07-15/2026-07-15_forward_v1_hydraulic_unblock_plan_execution/sensor_map_policy_refresh.csv,TP/TW temperatures are forbidden as runtime inputs.
TP2,TP,coordinate_upgrade_needed,false,blocked_until_coordinate_upgrade,,,work_products/2026-07/2026-07-15/2026-07-15_forward_v1_hydraulic_unblock_plan_execution/sensor_map_policy_refresh.csv,TP/TW temperatures are forbidden as runtime inputs.
TP3,TP,scoreable_large_residual_review,false,post_solve_diagnostic_score_target,82.1219,201.982,work_products/2026-07/2026-07-15/2026-07-15_forward_v1_hydraulic_unblock_plan_execution/sensor_map_policy_refresh.csv,TP/TW temperatures are forbidden as runtime inputs.
TP4,TP,scoreable_large_residual_review,false,post_solve_diagnostic_score_target,83.8843,203.5,work_products/2026-07/2026-07-15/2026-07-15_forward_v1_hydraulic_unblock_plan_execution/sensor_map_policy_refresh.csv,TP/TW temperatures are forbidden as runtime inputs.
TP5,TP,scoreable_large_residual_review,false,post_solve_diagnostic_score_target,84.9397,203.974,work_products/2026-07/2026-07-15/2026-07-15_forward_v1_hydraulic_unblock_plan_execution/sensor_map_policy_refresh.csv,TP/TW temperatures are forbidden as runtime inputs.
TP6,TP,scoreable_large_residual_review,false,post_solve_diagnostic_score_target,86.8774,206.787,work_products/2026-07/2026-07-15/2026-07-15_forward_v1_hydraulic_unblock_plan_execution/sensor_map_policy_refresh.csv,TP/TW temperatures are forbidden as runtime inputs.
TW1,TW,scoreable_large_residual_review,false,post_solve_diagnostic_score_target,109.265,244.914,work_products/2026-07/2026-07-15/2026-07-15_forward_v1_hydraulic_unblock_plan_execution/sensor_map_policy_refresh.csv,TP/TW temperatures are forbidden as runtime inputs.
TW10,TW,coordinate_upgrade_needed,false,blocked_until_coordinate_upgrade,,,work_products/2026-07/2026-07-15/2026-07-15_forward_v1_hydraulic_unblock_plan_execution/sensor_map_policy_refresh.csv,TP/TW temperatures are forbidden as runtime inputs.
TW11,TW,scoreable_large_residual_review,false,post_solve_diagnostic_score_target,87.4612,212.819,work_products/2026-07/2026-07-15/2026-07-15_forward_v1_hydraulic_unblock_plan_execution/sensor_map_policy_refresh.csv,TP/TW temperatures are forbidden as runtime inputs.
TW2,TW,scoreable_large_residual_review,false,post_solve_diagnostic_score_target,105.761,241.003,work_products/2026-07/2026-07-15/2026-07-15_forward_v1_hydraulic_unblock_plan_execution/sensor_map_policy_refresh.csv,TP/TW temperatures are forbidden as runtime inputs.
TW3,TW,scoreable_large_residual_review,false,post_solve_diagnostic_score_target,86.8782,217.949,work_products/2026-07/2026-07-15/2026-07-15_forward_v1_hydraulic_unblock_plan_execution/sensor_map_policy_refresh.csv,TP/TW temperatures are forbidden as runtime inputs.
TW4,TW,scoreable_large_residual_review,false,post_solve_diagnostic_score_target,84.5857,210.39,work_products/2026-07/2026-07-15/2026-07-15_forward_v1_hydraulic_unblock_plan_execution/sensor_map_policy_refresh.csv,TP/TW temperatures are forbidden as runtime inputs.
TW5,TW,scoreable_large_residual_review,false,post_solve_diagnostic_score_target,82.3004,202.917,work_products/2026-07/2026-07-15/2026-07-15_forward_v1_hydraulic_unblock_plan_execution/sensor_map_policy_refresh.csv,TP/TW temperatures are forbidden as runtime inputs.
TW6,TW,scoreable_large_residual_review,false,post_solve_diagnostic_score_target,80.0987,197.11,work_products/2026-07/2026-07-15/2026-07-15_forward_v1_hydraulic_unblock_plan_execution/sensor_map_policy_refresh.csv,TP/TW temperatures are forbidden as runtime inputs.
TW7,TW,scoreable_large_residual_review,false,post_solve_diagnostic_score_target,85.9911,205.841,work_products/2026-07/2026-07-15/2026-07-15_forward_v1_hydraulic_unblock_plan_execution/sensor_map_policy_refresh.csv,TP/TW temperatures are forbidden as runtime inputs.
TW8,TW,scoreable_large_residual_review,false,post_solve_diagnostic_score_target,86.0692,204.831,work_products/2026-07/2026-07-15/2026-07-15_forward_v1_hydraulic_unblock_plan_execution/sensor_map_policy_refresh.csv,TP/TW temperatures are forbidden as runtime inputs.
TW9,TW,scoreable_large_residual_review,false,post_solve_diagnostic_score_target,74.3144,189.401,work_products/2026-07/2026-07-15/2026-07-15_forward_v1_hydraulic_unblock_plan_execution/sensor_map_policy_refresh.csv,TP/TW temperatures are forbidden as runtime inputs.
