source_id,case_id,one_d_segment,role,mode,block_reason,next_evidence_needed
viscosity_screening_salt_test_2_jin_coarse_mesh,salt_2,cooling_branch,cooler,E0_bulk,missing_hA_W_K,existing segment bulk from July 8 thermal contract
viscosity_screening_salt_test_2_jin_coarse_mesh,salt_2,cooling_branch,cooler,E1_wall_shell,missing_T_wall_shell_K_and_hA_W_K,near-wall shell samples adjacent to heat-transfer patches
viscosity_screening_salt_test_2_jin_coarse_mesh,salt_2,cooling_branch,cooler,E2_low_dimensional_blend,missing_T_path_bulk_K_plus_beta_family_times_T_wall_shell_minus_T_path_bulk_and_hA_W_K_and_passive_fit_role,family-level beta fit using at least two passive rows
viscosity_screening_salt_test_2_jin_coarse_mesh,salt_2,junction,junction_other,E0_bulk,missing_T_path_bulk_K,existing segment bulk from July 8 thermal contract
viscosity_screening_salt_test_2_jin_coarse_mesh,salt_2,junction,junction_other,E2_low_dimensional_blend,missing_T_path_bulk_K_plus_beta_family_times_T_wall_shell_minus_T_path_bulk_and_beta_family_fit,family-level beta fit using at least two passive rows
viscosity_screening_salt_test_2_jin_coarse_mesh,salt_2,lower_leg,heater,E2_low_dimensional_blend,missing_T_path_bulk_K_plus_beta_family_times_T_wall_shell_minus_T_path_bulk_and_passive_fit_role,family-level beta fit using at least two passive rows
viscosity_screening_salt_test_2_jin_coarse_mesh,salt_2,upcomer,test_section,E2_low_dimensional_blend,missing_T_path_bulk_K_plus_beta_family_times_T_wall_shell_minus_T_path_bulk_and_passive_fit_role,family-level beta fit using at least two passive rows
viscosity_screening_salt_test_3_jin_coarse_mesh,salt_3,cooling_branch,cooler,E0_bulk,missing_hA_W_K,existing segment bulk from July 8 thermal contract
viscosity_screening_salt_test_3_jin_coarse_mesh,salt_3,cooling_branch,cooler,E1_wall_shell,missing_T_wall_shell_K_and_hA_W_K,near-wall shell samples adjacent to heat-transfer patches
viscosity_screening_salt_test_3_jin_coarse_mesh,salt_3,cooling_branch,cooler,E2_low_dimensional_blend,missing_T_path_bulk_K_plus_beta_family_times_T_wall_shell_minus_T_path_bulk_and_hA_W_K_and_passive_fit_role,family-level beta fit using at least two passive rows
viscosity_screening_salt_test_3_jin_coarse_mesh,salt_3,junction,junction_other,E0_bulk,missing_T_path_bulk_K,existing segment bulk from July 8 thermal contract
viscosity_screening_salt_test_3_jin_coarse_mesh,salt_3,junction,junction_other,E2_low_dimensional_blend,missing_T_path_bulk_K_plus_beta_family_times_T_wall_shell_minus_T_path_bulk_and_beta_family_fit,family-level beta fit using at least two passive rows
viscosity_screening_salt_test_3_jin_coarse_mesh,salt_3,lower_leg,heater,E2_low_dimensional_blend,missing_T_path_bulk_K_plus_beta_family_times_T_wall_shell_minus_T_path_bulk_and_passive_fit_role,family-level beta fit using at least two passive rows
viscosity_screening_salt_test_3_jin_coarse_mesh,salt_3,upcomer,test_section,E2_low_dimensional_blend,missing_T_path_bulk_K_plus_beta_family_times_T_wall_shell_minus_T_path_bulk_and_passive_fit_role,family-level beta fit using at least two passive rows
viscosity_screening_salt_test_4_jin_coarse_mesh,salt_4,cooling_branch,cooler,E0_bulk,missing_hA_W_K,existing segment bulk from July 8 thermal contract
viscosity_screening_salt_test_4_jin_coarse_mesh,salt_4,cooling_branch,cooler,E1_wall_shell,missing_T_wall_shell_K_and_hA_W_K,near-wall shell samples adjacent to heat-transfer patches
viscosity_screening_salt_test_4_jin_coarse_mesh,salt_4,cooling_branch,cooler,E2_low_dimensional_blend,missing_T_path_bulk_K_plus_beta_family_times_T_wall_shell_minus_T_path_bulk_and_hA_W_K_and_passive_fit_role,family-level beta fit using at least two passive rows
viscosity_screening_salt_test_4_jin_coarse_mesh,salt_4,junction,junction_other,E0_bulk,missing_T_path_bulk_K,existing segment bulk from July 8 thermal contract
viscosity_screening_salt_test_4_jin_coarse_mesh,salt_4,junction,junction_other,E2_low_dimensional_blend,missing_T_path_bulk_K_plus_beta_family_times_T_wall_shell_minus_T_path_bulk_and_beta_family_fit,family-level beta fit using at least two passive rows
viscosity_screening_salt_test_4_jin_coarse_mesh,salt_4,lower_leg,heater,E2_low_dimensional_blend,missing_T_path_bulk_K_plus_beta_family_times_T_wall_shell_minus_T_path_bulk_and_passive_fit_role,family-level beta fit using at least two passive rows
viscosity_screening_salt_test_4_jin_coarse_mesh,salt_4,upcomer,test_section,E2_low_dimensional_blend,missing_T_path_bulk_K_plus_beta_family_times_T_wall_shell_minus_T_path_bulk_and_passive_fit_role,family-level beta fit using at least two passive rows
