source_id,case_id,one_d_segment,role,patch_count,area_m2,hA_W_K,area_weighted_h_W_m2K,Ta_K,Tsur_K,emissivity,realized_wallHeatFlux_W,external_loss_realized_W,imposed_Q_W,T_mix_signed_K,T_fwd_bulk_K,T_path_bulk_K,T_wall_inner_K,T_wall_shell_K,recirculation_ratio_max,recirculation_status,T_ext_drive_signed_inverse_K,T_ext_drive_loss_positive_K,bulk_temperature_status,wall_inner_status,wall_shell_status,radiation_policy,fit_use_status,source_paths
viscosity_screening_salt_test_2_jin_coarse_mesh,salt_2,cooling_branch,ambient_wall,6,0.03257168,0.131759018,4.045201782,299.19,299.19,0.95,-12.367946808,12.367946808,0,446.246889,446.8655085,446.246889,447.924056,447.990315174,0.258402,moderate_recirculation_report_bulk_and_forward,393.057934034,393.057934034,computed_but_cooler_cut_planes_only_partially_bracket_sink,area_weighted_wall_T_mean_from_july8_contract,ok_area_weighted_patch_internal_owner_cell_proxy,CFD rcExternalTemperature uses emissivity/Tsur; wallHeatFlux is total and radiation is inseparable,diagnostic_passive_external_hA_candidate,jadyn_runs/modern_runs/2026-06-18_convergence_and_jin_envelope_wave/runs/salt2_jin/case_stage/viscosity_screening_salt_test_2_jin_coarse_mesh_continuation/postProcessing/wallHeatFlux/5398/wallHeatFlux.dat
viscosity_screening_salt_test_2_jin_coarse_mesh,salt_2,cooling_branch,cooler,3,0.029778515,,,,,,-136.35074,136.35074,-136.350739906,446.246889,446.8655085,446.246889,437.077222,,0.258402,moderate_recirculation_report_bulk_and_forward,,,computed_but_cooler_cut_planes_only_partially_bracket_sink,area_weighted_wall_T_mean_from_july8_contract,missing_near_wall_shell_temperature_no_existing_artifact,CFD rcExternalTemperature uses emissivity/Tsur; wallHeatFlux is total and radiation is inseparable,source_or_sink_role_document_only_keep_separate_from_passive_hA_fit,jadyn_runs/modern_runs/2026-06-18_convergence_and_jin_envelope_wave/runs/salt2_jin/case_stage/viscosity_screening_salt_test_2_jin_coarse_mesh_continuation/postProcessing/wallHeatFlux/5398/wallHeatFlux.dat
viscosity_screening_salt_test_2_jin_coarse_mesh,salt_2,downcomer,ambient_wall,3,0.063435,0.217194226,3.42388628,299.19,299.19,0.95,-23.117313813,23.117313813,0,447.952876,447.844505,447.952876,443.125114,443.18880182,0.76273,high_recirculation_forward_bulk_diagnostic;high_recirculation_forward_bulk_used,405.626134232,405.626134232,computed_from_span_endpoint_temperatures,area_weighted_wall_T_mean_from_july8_contract,ok_area_weighted_patch_internal_owner_cell_proxy,CFD rcExternalTemperature uses emissivity/Tsur; wallHeatFlux is total and radiation is inseparable,diagnostic_passive_external_hA_candidate,jadyn_runs/modern_runs/2026-06-18_convergence_and_jin_envelope_wave/runs/salt2_jin/case_stage/viscosity_screening_salt_test_2_jin_coarse_mesh_continuation/postProcessing/wallHeatFlux/5398/wallHeatFlux.dat
viscosity_screening_salt_test_2_jin_coarse_mesh,salt_2,junction,junction_other,29,0.042478796,0.408727585,9.621920204,299.19,299.19,0.95,-39.128349537,39.128349537,0,,,,428.096294,430.772668149,,missing_interface_temperature_sample,394.922098661,394.922098661,not_bracketed_by_endpoint_temperature_segment,area_weighted_wall_T_mean_from_july8_contract,ok_area_weighted_patch_internal_owner_cell_proxy,CFD rcExternalTemperature uses emissivity/Tsur; wallHeatFlux is total and radiation is inseparable,blocked_missing_path_bulk_temperature,jadyn_runs/modern_runs/2026-06-18_convergence_and_jin_envelope_wave/runs/salt2_jin/case_stage/viscosity_screening_salt_test_2_jin_coarse_mesh_continuation/postProcessing/wallHeatFlux/5398/wallHeatFlux.dat
viscosity_screening_salt_test_2_jin_coarse_mesh,salt_2,lower_leg,ambient_wall,6,0.016563776,0.065360646,3.945999179,299.19,299.19,0.95,-6.668141359,6.668141359,0,444.5526,450.8459435,444.5526,449.346308,449.416411222,0.286604,moderate_recirculation_report_bulk_and_forward,401.210737506,401.210737506,computed_from_span_endpoint_temperatures,area_weighted_wall_T_mean_from_july8_contract,ok_area_weighted_patch_internal_owner_cell_proxy,CFD rcExternalTemperature uses emissivity/Tsur; wallHeatFlux is total and radiation is inseparable,diagnostic_passive_external_hA_candidate,jadyn_runs/modern_runs/2026-06-18_convergence_and_jin_envelope_wave/runs/salt2_jin/case_stage/viscosity_screening_salt_test_2_jin_coarse_mesh_continuation/postProcessing/wallHeatFlux/5398/wallHeatFlux.dat
viscosity_screening_salt_test_2_jin_coarse_mesh,salt_2,lower_leg,heater,3,0.045786417,0.183332993,4.004091273,299.19,299.19,0.95,243.51909758,0,265.7,444.5526,450.8459435,444.5526,463.331165,462.40871458,0.286604,moderate_recirculation_report_bulk_and_forward,-1029.098454446,299.19,computed_from_span_endpoint_temperatures,area_weighted_wall_T_mean_from_july8_contract,ok_area_weighted_patch_internal_owner_cell_proxy,CFD rcExternalTemperature uses emissivity/Tsur; wallHeatFlux is total and radiation is inseparable,source_or_sink_role_document_only_keep_separate_from_passive_hA_fit,jadyn_runs/modern_runs/2026-06-18_convergence_and_jin_envelope_wave/runs/salt2_jin/case_stage/viscosity_screening_salt_test_2_jin_coarse_mesh_continuation/postProcessing/wallHeatFlux/5398/wallHeatFlux.dat
viscosity_screening_salt_test_2_jin_coarse_mesh,salt_2,upcomer,ambient_wall,6,0.050313118,0.186354144,3.703887805,299.19,299.19,0.95,-20.080505149,20.080505149,0,456.7385,454.6368075,456.7385,451.352922,451.422094043,0.895929,high_recirculation_forward_bulk_diagnostic;high_recirculation_forward_bulk_used,406.944540333,406.944540333,computed_diagnostic_only_high_recirculation,area_weighted_wall_T_mean_from_july8_contract,ok_area_weighted_patch_internal_owner_cell_proxy,CFD rcExternalTemperature uses emissivity/Tsur; wallHeatFlux is total and radiation is inseparable,diagnostic_passive_external_hA_candidate,jadyn_runs/modern_runs/2026-06-18_convergence_and_jin_envelope_wave/runs/salt2_jin/case_stage/viscosity_screening_salt_test_2_jin_coarse_mesh_continuation/postProcessing/wallHeatFlux/5398/wallHeatFlux.dat
viscosity_screening_salt_test_2_jin_coarse_mesh,salt_2,upcomer,test_section,1,0.012258449,0.091720624,7.482237304,299.19,299.19,0.95,-5.679836082,5.679836082,37,456.7385,454.6368075,456.7385,451.664413,451.740955877,0.895929,high_recirculation_forward_bulk_diagnostic;high_recirculation_forward_bulk_used,361.115397033,361.115397033,computed_diagnostic_only_high_recirculation,area_weighted_wall_T_mean_from_july8_contract,ok_area_weighted_patch_internal_owner_cell_proxy,CFD rcExternalTemperature uses emissivity/Tsur; wallHeatFlux is total and radiation is inseparable,source_or_sink_role_document_only_keep_separate_from_passive_hA_fit,jadyn_runs/modern_runs/2026-06-18_convergence_and_jin_envelope_wave/runs/salt2_jin/case_stage/viscosity_screening_salt_test_2_jin_coarse_mesh_continuation/postProcessing/wallHeatFlux/5398/wallHeatFlux.dat
viscosity_screening_salt_test_3_jin_coarse_mesh,salt_3,cooling_branch,ambient_wall,6,0.032571682,0.1341047,4.117217539,299.79,299.79,0.95,-13.570709177,13.570709177,0,459.043315,459.78227,459.043315,460.624924,460.697279063,0.279976,moderate_recirculation_report_bulk_and_forward,400.984880847,400.984880847,computed_but_cooler_cut_planes_only_partially_bracket_sink,area_weighted_wall_T_mean_from_july8_contract,ok_area_weighted_patch_internal_owner_cell_proxy,CFD rcExternalTemperature uses emissivity/Tsur; wallHeatFlux is total and radiation is inseparable,diagnostic_passive_external_hA_candidate,jadyn_runs/modern_runs/2026-06-18_convergence_and_jin_envelope_wave/runs/salt3_jin/case_stage/viscosity_screening_salt_test_3_jin_coarse_mesh_continuation/postProcessing/wallHeatFlux/5287/wallHeatFlux.dat
viscosity_screening_salt_test_3_jin_coarse_mesh,salt_3,cooling_branch,cooler,3,0.029778515,,,,,,-150.76963867,150.76963867,-150.769638673,459.043315,459.78227,459.043315,449.016456,,0.279976,moderate_recirculation_report_bulk_and_forward,,,computed_but_cooler_cut_planes_only_partially_bracket_sink,area_weighted_wall_T_mean_from_july8_contract,missing_near_wall_shell_temperature_no_existing_artifact,CFD rcExternalTemperature uses emissivity/Tsur; wallHeatFlux is total and radiation is inseparable,source_or_sink_role_document_only_keep_separate_from_passive_hA_fit,jadyn_runs/modern_runs/2026-06-18_convergence_and_jin_envelope_wave/runs/salt3_jin/case_stage/viscosity_screening_salt_test_3_jin_coarse_mesh_continuation/postProcessing/wallHeatFlux/5287/wallHeatFlux.dat
viscosity_screening_salt_test_3_jin_coarse_mesh,salt_3,downcomer,ambient_wall,3,0.063435,0.221408988,3.490328488,299.79,299.79,0.95,-25.347860491,25.347860491,0,460.589318,460.487703,460.589318,455.397441,455.466976504,0.944414,high_recirculation_forward_bulk_diagnostic;high_recirculation_forward_bulk_used,414.274334004,414.274334004,computed_from_span_endpoint_temperatures,area_weighted_wall_T_mean_from_july8_contract,ok_area_weighted_patch_internal_owner_cell_proxy,CFD rcExternalTemperature uses emissivity/Tsur; wallHeatFlux is total and radiation is inseparable,diagnostic_passive_external_hA_candidate,jadyn_runs/modern_runs/2026-06-18_convergence_and_jin_envelope_wave/runs/salt3_jin/case_stage/viscosity_screening_salt_test_3_jin_coarse_mesh_continuation/postProcessing/wallHeatFlux/5287/wallHeatFlux.dat
viscosity_screening_salt_test_3_jin_coarse_mesh,salt_3,junction,junction_other,29,0.042478796,0.416449962,9.80371389,299.79,299.79,0.95,-43.234690515,43.234690515,0,,,,439.702638,442.586814459,,missing_interface_temperature_sample,403.607251582,403.607251582,not_bracketed_by_endpoint_temperature_segment,area_weighted_wall_T_mean_from_july8_contract,ok_area_weighted_patch_internal_owner_cell_proxy,CFD rcExternalTemperature uses emissivity/Tsur; wallHeatFlux is total and radiation is inseparable,blocked_missing_path_bulk_temperature,jadyn_runs/modern_runs/2026-06-18_convergence_and_jin_envelope_wave/runs/salt3_jin/case_stage/viscosity_screening_salt_test_3_jin_coarse_mesh_continuation/postProcessing/wallHeatFlux/5287/wallHeatFlux.dat
