source_id,case_id,one_d_segment,role,T_path_bulk_K,T_wall_inner_K,T_wall_shell_K,T_ext_drive_loss_positive_K,bulk_minus_inverse_K,wall_inner_minus_inverse_K,required_beta_bulk_to_wall_shell,recommended_selector,selector_status
viscosity_screening_salt_test_2_jin_coarse_mesh,salt_2,cooling_branch,ambient_wall,446.246889,447.924056,447.990315174,393.057934034,53.188954966,54.866121966,-30.508292097,E2_low_dimensional_blend_candidate,candidate_requires_family_level_beta_gate
viscosity_screening_salt_test_2_jin_coarse_mesh,salt_2,cooling_branch,cooler,446.246889,437.077222,,,,,,E0_bulk_only_available,blocked_for_E1_E2_missing_T_wall_shell
viscosity_screening_salt_test_2_jin_coarse_mesh,salt_2,downcomer,ambient_wall,447.952876,443.125114,443.18880182,405.626134232,42.326741768,37.498979768,8.884568159,E2_low_dimensional_blend_candidate,candidate_requires_family_level_beta_gate
viscosity_screening_salt_test_2_jin_coarse_mesh,salt_2,junction,junction_other,,428.096294,430.772668149,394.922098661,,33.174195339,,E1_wall_shell,wall_shell_available_beta_not_identifiable
viscosity_screening_salt_test_2_jin_coarse_mesh,salt_2,lower_leg,ambient_wall,444.5526,449.346308,449.416411222,401.210737506,43.341862494,48.135570494,-8.911090607,E2_low_dimensional_blend_candidate,candidate_requires_family_level_beta_gate
viscosity_screening_salt_test_2_jin_coarse_mesh,salt_2,lower_leg,heater,444.5526,463.331165,462.40871458,299.19,145.3626,164.141165,-8.140774374,E2_low_dimensional_blend_candidate,candidate_requires_family_level_beta_gate
viscosity_screening_salt_test_2_jin_coarse_mesh,salt_2,upcomer,ambient_wall,456.7385,451.352922,451.422094043,406.944540333,49.793959667,44.408381667,9.366094326,E2_low_dimensional_blend_candidate,candidate_requires_family_level_beta_gate
viscosity_screening_salt_test_2_jin_coarse_mesh,salt_2,upcomer,test_section,456.7385,451.664413,451.740955877,361.115397033,95.623102967,90.549015967,19.134018753,E2_low_dimensional_blend_candidate,candidate_requires_family_level_beta_gate
viscosity_screening_salt_test_3_jin_coarse_mesh,salt_3,cooling_branch,ambient_wall,459.043315,460.624924,460.697279063,400.984880847,58.058434153,59.640043153,-35.102597119,E2_low_dimensional_blend_candidate,candidate_requires_family_level_beta_gate
viscosity_screening_salt_test_3_jin_coarse_mesh,salt_3,cooling_branch,cooler,459.043315,449.016456,,,,,,E0_bulk_only_available,blocked_for_E1_E2_missing_T_wall_shell
viscosity_screening_salt_test_3_jin_coarse_mesh,salt_3,downcomer,ambient_wall,460.589318,455.397441,455.466976504,414.274334004,46.314983996,41.123106996,9.041760303,E2_low_dimensional_blend_candidate,candidate_requires_family_level_beta_gate
viscosity_screening_salt_test_3_jin_coarse_mesh,salt_3,junction,junction_other,,439.702638,442.586814459,403.607251582,,36.095386418,,E1_wall_shell,wall_shell_available_beta_not_identifiable
viscosity_screening_salt_test_3_jin_coarse_mesh,salt_3,lower_leg,ambient_wall,457.2819,462.326915,462.403561779,409.738262252,47.543637748,52.588652748,-9.282853847,E2_low_dimensional_blend_candidate,candidate_requires_family_level_beta_gate
viscosity_screening_salt_test_3_jin_coarse_mesh,salt_3,lower_leg,heater,457.2819,477.036468,476.008360413,299.79,157.4919,177.246468,-8.410126448,E2_low_dimensional_blend_candidate,candidate_requires_family_level_beta_gate
viscosity_screening_salt_test_3_jin_coarse_mesh,salt_3,upcomer,ambient_wall,469.5229,464.541712,464.617355338,416.069003361,53.453896639,48.472708639,10.896628269,E2_low_dimensional_blend_candidate,candidate_requires_family_level_beta_gate
viscosity_screening_salt_test_3_jin_coarse_mesh,salt_3,upcomer,test_section,469.5229,463.770899,463.912384721,413.269826907,56.253073093,50.501072093,10.026364834,E2_low_dimensional_blend_candidate,candidate_requires_family_level_beta_gate
viscosity_screening_salt_test_4_jin_coarse_mesh,salt_4,cooling_branch,ambient_wall,474.243492,475.749519,475.829404566,409.811642458,64.431849542,65.937876542,-40.627617766,E2_low_dimensional_blend_candidate,candidate_requires_family_level_beta_gate
viscosity_screening_salt_test_4_jin_coarse_mesh,salt_4,cooling_branch,cooler,474.243492,463.355496,,,,,,E0_bulk_only_available,blocked_for_E1_E2_missing_T_wall_shell
viscosity_screening_salt_test_4_jin_coarse_mesh,salt_4,downcomer,ambient_wall,475.803991,469.82973,469.906414537,423.629225832,52.174765168,46.200504168,8.846814534,E2_low_dimensional_blend_candidate,candidate_requires_family_level_beta_gate
viscosity_screening_salt_test_4_jin_coarse_mesh,salt_4,junction,junction_other,,452.922037,456.008736502,413.4294978,,39.4925392,,E1_wall_shell,wall_shell_available_beta_not_identifiable
viscosity_screening_salt_test_4_jin_coarse_mesh,salt_4,lower_leg,ambient_wall,472.5491,477.733106,477.817791631,419.194954818,53.354145182,58.538151182,-10.126640335,E2_low_dimensional_blend_candidate,candidate_requires_family_level_beta_gate
viscosity_screening_salt_test_4_jin_coarse_mesh,salt_4,lower_leg,heater,472.5491,493.59471,492.436713106,299.97,172.5791,193.62471,-8.677718089,E2_low_dimensional_blend_candidate,candidate_requires_family_level_beta_gate
viscosity_screening_salt_test_4_jin_coarse_mesh,salt_4,upcomer,ambient_wall,484.9286,480.074817,480.158358404,425.983261083,58.945338917,54.091555917,12.356887535,E2_low_dimensional_blend_candidate,candidate_requires_family_level_beta_gate
viscosity_screening_salt_test_4_jin_coarse_mesh,salt_4,upcomer,test_section,484.9286,478.037354,478.26087718,477.537857568,7.390742432,0.499496432,1.108435763,E2_low_dimensional_blend_candidate,candidate_requires_family_level_beta_gate
